                                                                                                                                                                                                    
{'loss': 4.2709, 'grad_norm': 3.20672345161438, 'learning_rate': 2.7e-06, 'epoch': 0.14}
{'loss': 4.2575, 'grad_norm': 3.2579193115234375, 'learning_rate': 5.7000000000000005e-06, 'epoch': 0.29}
{'loss': 4.2169, 'grad_norm': 3.2434799671173096, 'learning_rate': 8.7e-06, 'epoch': 0.43}
{'loss': 4.1389, 'grad_norm': 3.3757781982421875, 'learning_rate': 1.1700000000000001e-05, 'epoch': 0.58}
{'loss': 4.0164, 'grad_norm': 3.806885242462158, 'learning_rate': 1.47e-05, 'epoch': 0.72}
{'loss': 3.8197, 'grad_norm': 4.7496490478515625, 'learning_rate': 1.77e-05, 'epoch': 0.87}
{'loss': 3.5252, 'grad_norm': 5.24176025390625, 'learning_rate': 2.07e-05, 'epoch': 1.01}
{'loss': 3.1463, 'grad_norm': 5.208508491516113, 'learning_rate': 2.37e-05, 'epoch': 1.16}
{'loss': 2.6824, 'grad_norm': 5.627872467041016, 'learning_rate': 2.6700000000000002e-05, 'epoch': 1.3}
{'loss': 2.1526, 'grad_norm': 4.979316711425781, 'learning_rate': 2.97e-05, 'epoch': 1.45}
{'loss': 1.644, 'grad_norm': 7.90391206741333, 'learning_rate': 2.9950184501845018e-05, 'epoch': 1.59}
{'loss': 1.2354, 'grad_norm': 2.7807180881500244, 'learning_rate': 2.9894833948339484e-05, 'epoch': 1.74}
{'loss': 0.994, 'grad_norm': 3.7336268424987793, 'learning_rate': 2.983948339483395e-05, 'epoch': 1.88}
{'loss': 0.7818, 'grad_norm': 0.41638487577438354, 'learning_rate': 2.9784132841328417e-05, 'epoch': 2.03}
{'loss': 0.7321, 'grad_norm': 0.17803546786308289, 'learning_rate': 2.9728782287822876e-05, 'epoch': 2.17}
{'loss': 0.726, 'grad_norm': 0.14303861558437347, 'learning_rate': 2.9673431734317342e-05, 'epoch': 2.32}
{'loss': 0.7221, 'grad_norm': 0.12682214379310608, 'learning_rate': 2.961808118081181e-05, 'epoch': 2.46}
{'loss': 0.719, 'grad_norm': 0.11780329793691635, 'learning_rate': 2.9562730627306275e-05, 'epoch': 2.61}
{'loss': 0.7166, 'grad_norm': 0.104948490858078, 'learning_rate': 2.9507380073800737e-05, 'epoch': 2.75}
{'loss': 0.7146, 'grad_norm': 0.08751063048839569, 'learning_rate': 2.9452029520295203e-05, 'epoch': 2.9}
{'loss': 0.7131, 'grad_norm': 0.0658884197473526, 'learning_rate': 2.939667896678967e-05, 'epoch': 3.04}
{'loss': 0.7121, 'grad_norm': 0.04926791787147522, 'learning_rate': 2.9341328413284136e-05, 'epoch': 3.19}
{'loss': 0.7116, 'grad_norm': 0.042866311967372894, 'learning_rate': 2.92859778597786e-05, 'epoch': 3.33}
{'loss': 0.7113, 'grad_norm': 0.04100969806313515, 'learning_rate': 2.923062730627306e-05, 'epoch': 3.48}
{'loss': 0.7111, 'grad_norm': 0.040899500250816345, 'learning_rate': 2.9175276752767527e-05, 'epoch': 3.62}
{'loss': 0.7108, 'grad_norm': 0.04262280464172363, 'learning_rate': 2.9119926199261994e-05, 'epoch': 3.77}
{'loss': 0.7105, 'grad_norm': 0.04219691827893257, 'learning_rate': 2.906457564575646e-05, 'epoch': 3.91}
{'loss': 0.7102, 'grad_norm': 0.042330753058195114, 'learning_rate': 2.9009225092250922e-05, 'epoch': 4.06}
{'loss': 0.7099, 'grad_norm': 0.045027174055576324, 'learning_rate': 2.895387453874539e-05, 'epoch': 4.2}
{'loss': 0.7096, 'grad_norm': 0.04669926315546036, 'learning_rate': 2.889852398523985e-05, 'epoch': 4.35}
{'loss': 0.7092, 'grad_norm': 0.049819521605968475, 'learning_rate': 2.8843173431734318e-05, 'epoch': 4.49}
{'loss': 0.7088, 'grad_norm': 0.05407991260290146, 'learning_rate': 2.8787822878228784e-05, 'epoch': 4.64}
{'loss': 0.7084, 'grad_norm': 0.05681367591023445, 'learning_rate': 2.8732472324723246e-05, 'epoch': 4.78}
{'loss': 0.7078, 'grad_norm': 0.06096622720360756, 'learning_rate': 2.8677121771217713e-05, 'epoch': 4.93}
{'loss': 0.7072, 'grad_norm': 0.06869684159755707, 'learning_rate': 2.862177121771218e-05, 'epoch': 5.07}
{'loss': 0.7064, 'grad_norm': 0.07697711139917374, 'learning_rate': 2.8566420664206645e-05, 'epoch': 5.22}
{'loss': 0.7055, 'grad_norm': 0.08618580549955368, 'learning_rate': 2.8511070110701108e-05, 'epoch': 5.36}
{'loss': 0.7044, 'grad_norm': 0.09627167135477066, 'learning_rate': 2.845571955719557e-05, 'epoch': 5.51}
{'loss': 0.703, 'grad_norm': 0.1073014959692955, 'learning_rate': 2.8400369003690037e-05, 'epoch': 5.65}
{'loss': 0.7013, 'grad_norm': 0.10744302719831467, 'learning_rate': 2.8345018450184503e-05, 'epoch': 5.8}
{'loss': 0.6993, 'grad_norm': 0.10519447922706604, 'learning_rate': 2.828966789667897e-05, 'epoch': 5.94}
{'loss': 0.6973, 'grad_norm': 0.10180893540382385, 'learning_rate': 2.823431734317343e-05, 'epoch': 6.09}
{'loss': 0.6954, 'grad_norm': 0.09432298690080643, 'learning_rate': 2.8178966789667898e-05, 'epoch': 6.23}
{'loss': 0.6935, 'grad_norm': 0.08501981943845749, 'learning_rate': 2.8123616236162364e-05, 'epoch': 6.38}
{'loss': 0.6919, 'grad_norm': 0.07373874634504318, 'learning_rate': 2.806826568265683e-05, 'epoch': 6.52}
{'loss': 0.6902, 'grad_norm': 0.06572183221578598, 'learning_rate': 2.801291512915129e-05, 'epoch': 6.67}
{'loss': 0.6887, 'grad_norm': 0.06101704761385918, 'learning_rate': 2.7957564575645756e-05, 'epoch': 6.81}
{'loss': 0.6871, 'grad_norm': 0.061733730137348175, 'learning_rate': 2.7902214022140222e-05, 'epoch': 6.96}
{'loss': 0.6855, 'grad_norm': 0.05909888446331024, 'learning_rate': 2.7846863468634688e-05, 'epoch': 7.1}
{'loss': 0.6838, 'grad_norm': 0.06123451888561249, 'learning_rate': 2.7791512915129154e-05, 'epoch': 7.25}
{'loss': 0.6821, 'grad_norm': 0.06392231583595276, 'learning_rate': 2.7736162361623617e-05, 'epoch': 7.39}
{'loss': 0.6804, 'grad_norm': 0.0629291757941246, 'learning_rate': 2.7680811808118083e-05, 'epoch': 7.54}
{'loss': 0.6786, 'grad_norm': 0.06340049207210541, 'learning_rate': 2.7625461254612546e-05, 'epoch': 7.68}
{'loss': 0.6767, 'grad_norm': 0.0686553344130516, 'learning_rate': 2.7570110701107012e-05, 'epoch': 7.83}
