                                                                                                                                                                                                           
{'loss': 4.271, 'grad_norm': 3.038015365600586, 'learning_rate': 2.7e-06, 'epoch': 0.14}
{'loss': 4.2576, 'grad_norm': 3.1058156490325928, 'learning_rate': 5.7000000000000005e-06, 'epoch': 0.29}
{'loss': 4.217, 'grad_norm': 3.1155083179473877, 'learning_rate': 8.7e-06, 'epoch': 0.43}
{'loss': 4.141, 'grad_norm': 3.228813409805298, 'learning_rate': 1.1700000000000001e-05, 'epoch': 0.58}
{'loss': 4.0213, 'grad_norm': 3.589484691619873, 'learning_rate': 1.47e-05, 'epoch': 0.72}
{'loss': 3.8312, 'grad_norm': 4.572610378265381, 'learning_rate': 1.77e-05, 'epoch': 0.87}
{'loss': 3.5453, 'grad_norm': 5.023823261260986, 'learning_rate': 2.07e-05, 'epoch': 1.01}
{'loss': 3.178, 'grad_norm': 5.0612921714782715, 'learning_rate': 2.37e-05, 'epoch': 1.16}
{'loss': 2.72, 'grad_norm': 5.514348983764648, 'learning_rate': 2.6700000000000002e-05, 'epoch': 1.3}
{'loss': 2.1819, 'grad_norm': 5.196159362792969, 'learning_rate': 2.97e-05, 'epoch': 1.45}
{'loss': 1.6714, 'grad_norm': 6.655893325805664, 'learning_rate': 2.9950184501845018e-05, 'epoch': 1.59}
{'loss': 1.2762, 'grad_norm': 3.2736523151397705, 'learning_rate': 2.9894833948339484e-05, 'epoch': 1.74}
{'loss': 1.0423, 'grad_norm': 3.187166452407837, 'learning_rate': 2.983948339483395e-05, 'epoch': 1.88}
{'loss': 0.82, 'grad_norm': 1.0403110980987549, 'learning_rate': 2.9784132841328417e-05, 'epoch': 2.03}
{'loss': 0.7355, 'grad_norm': 0.2118481546640396, 'learning_rate': 2.9728782287822876e-05, 'epoch': 2.17}
{'loss': 0.7272, 'grad_norm': 0.1668468564748764, 'learning_rate': 2.9673431734317342e-05, 'epoch': 2.32}
{'loss': 0.7227, 'grad_norm': 0.14338287711143494, 'learning_rate': 2.961808118081181e-05, 'epoch': 2.46}
{'loss': 0.7192, 'grad_norm': 0.12931834161281586, 'learning_rate': 2.9562730627306275e-05, 'epoch': 2.61}
{'loss': 0.7166, 'grad_norm': 0.11326602101325989, 'learning_rate': 2.9507380073800737e-05, 'epoch': 2.75}
{'loss': 0.7145, 'grad_norm': 0.09038090705871582, 'learning_rate': 2.9452029520295203e-05, 'epoch': 2.9}
{'loss': 0.713, 'grad_norm': 0.06507102400064468, 'learning_rate': 2.939667896678967e-05, 'epoch': 3.04}
{'loss': 0.7122, 'grad_norm': 0.04753619059920311, 'learning_rate': 2.9341328413284136e-05, 'epoch': 3.19}
{'loss': 0.7118, 'grad_norm': 0.04095521196722984, 'learning_rate': 2.92859778597786e-05, 'epoch': 3.33}
{'loss': 0.7115, 'grad_norm': 0.03962844982743263, 'learning_rate': 2.923062730627306e-05, 'epoch': 3.48}
{'loss': 0.7112, 'grad_norm': 0.03836708888411522, 'learning_rate': 2.9175276752767527e-05, 'epoch': 3.62}
{'loss': 0.711, 'grad_norm': 0.03946762904524803, 'learning_rate': 2.9119926199261994e-05, 'epoch': 3.77}
{'loss': 0.7108, 'grad_norm': 0.03957657888531685, 'learning_rate': 2.906457564575646e-05, 'epoch': 3.91}
{'loss': 0.7106, 'grad_norm': 0.03900022432208061, 'learning_rate': 2.9009225092250922e-05, 'epoch': 4.06}
{'loss': 0.7103, 'grad_norm': 0.04004444554448128, 'learning_rate': 2.895387453874539e-05, 'epoch': 4.2}
{'loss': 0.7101, 'grad_norm': 0.04116831347346306, 'learning_rate': 2.889852398523985e-05, 'epoch': 4.35}
{'loss': 0.7097, 'grad_norm': 0.04237360134720802, 'learning_rate': 2.8843173431734318e-05, 'epoch': 4.49}
{'loss': 0.7095, 'grad_norm': 0.04482812061905861, 'learning_rate': 2.8787822878228784e-05, 'epoch': 4.64}
{'loss': 0.7091, 'grad_norm': 0.046744219958782196, 'learning_rate': 2.8732472324723246e-05, 'epoch': 4.78}
{'loss': 0.7087, 'grad_norm': 0.04663723334670067, 'learning_rate': 2.8677121771217713e-05, 'epoch': 4.93}
{'loss': 0.7083, 'grad_norm': 0.05027960240840912, 'learning_rate': 2.862177121771218e-05, 'epoch': 5.07}
{'loss': 0.7079, 'grad_norm': 0.05326275900006294, 'learning_rate': 2.8566420664206645e-05, 'epoch': 5.22}
{'loss': 0.7074, 'grad_norm': 0.0568862147629261, 'learning_rate': 2.8511070110701108e-05, 'epoch': 5.36}
{'loss': 0.7068, 'grad_norm': 0.06060956418514252, 'learning_rate': 2.845571955719557e-05, 'epoch': 5.51}
{'loss': 0.7061, 'grad_norm': 0.06789832562208176, 'learning_rate': 2.8400369003690037e-05, 'epoch': 5.65}
{'loss': 0.7053, 'grad_norm': 0.0715329572558403, 'learning_rate': 2.8345018450184503e-05, 'epoch': 5.8}
{'loss': 0.7044, 'grad_norm': 0.08235033601522446, 'learning_rate': 2.828966789667897e-05, 'epoch': 5.94}
{'loss': 0.7032, 'grad_norm': 0.09520662575960159, 'learning_rate': 2.823431734317343e-05, 'epoch': 6.09}
{'loss': 0.7018, 'grad_norm': 0.10892346501350403, 'learning_rate': 2.8178966789667898e-05, 'epoch': 6.23}
{'loss': 0.7001, 'grad_norm': 0.11541681736707687, 'learning_rate': 2.8123616236162364e-05, 'epoch': 6.38}
{'loss': 0.698, 'grad_norm': 0.11206739395856857, 'learning_rate': 2.806826568265683e-05, 'epoch': 6.52}
{'loss': 0.6959, 'grad_norm': 0.10843265056610107, 'learning_rate': 2.801291512915129e-05, 'epoch': 6.67}
{'loss': 0.6937, 'grad_norm': 0.1014648973941803, 'learning_rate': 2.7957564575645756e-05, 'epoch': 6.81}
