                                                                                                                                                                                                           
{'loss': 4.2714, 'grad_norm': 2.742799758911133, 'learning_rate': 2.7e-06, 'epoch': 0.14}
{'loss': 4.2595, 'grad_norm': 2.7862534523010254, 'learning_rate': 5.7000000000000005e-06, 'epoch': 0.29}
{'loss': 4.2212, 'grad_norm': 2.8392655849456787, 'learning_rate': 8.7e-06, 'epoch': 0.43}
{'loss': 4.1487, 'grad_norm': 2.9891510009765625, 'learning_rate': 1.1700000000000001e-05, 'epoch': 0.58}
{'loss': 4.0342, 'grad_norm': 3.3146071434020996, 'learning_rate': 1.47e-05, 'epoch': 0.72}
{'loss': 3.8534, 'grad_norm': 4.267806053161621, 'learning_rate': 1.77e-05, 'epoch': 0.87}
{'loss': 3.5776, 'grad_norm': 4.668735504150391, 'learning_rate': 2.07e-05, 'epoch': 1.01}
{'loss': 3.2235, 'grad_norm': 4.862610340118408, 'learning_rate': 2.37e-05, 'epoch': 1.16}
{'loss': 2.7789, 'grad_norm': 5.605011940002441, 'learning_rate': 2.6700000000000002e-05, 'epoch': 1.3}
{'loss': 2.2566, 'grad_norm': 5.159924507141113, 'learning_rate': 2.97e-05, 'epoch': 1.45}
{'loss': 1.7548, 'grad_norm': 4.297358512878418, 'learning_rate': 2.9711229946524065e-05, 'epoch': 1.59}
{'loss': 1.3496, 'grad_norm': 3.453411340713501, 'learning_rate': 2.9390374331550804e-05, 'epoch': 1.74}
{'loss': 1.0473, 'grad_norm': 3.1186459064483643, 'learning_rate': 2.906951871657754e-05, 'epoch': 1.88}
{'loss': 0.8234, 'grad_norm': 1.4859881401062012, 'learning_rate': 2.874866310160428e-05, 'epoch': 2.03}
{'loss': 0.735, 'grad_norm': 0.2185765653848648, 'learning_rate': 2.8427807486631018e-05, 'epoch': 2.17}
{'loss': 0.7275, 'grad_norm': 0.17156125605106354, 'learning_rate': 2.8106951871657753e-05, 'epoch': 2.32}
{'loss': 0.723, 'grad_norm': 0.14988937973976135, 'learning_rate': 2.7786096256684492e-05, 'epoch': 2.46}
{'loss': 0.7196, 'grad_norm': 0.13643045723438263, 'learning_rate': 2.746524064171123e-05, 'epoch': 2.61}
{'loss': 0.7171, 'grad_norm': 0.12284619361162186, 'learning_rate': 2.7144385026737967e-05, 'epoch': 2.75}
{'loss': 0.715, 'grad_norm': 0.10673610866069794, 'learning_rate': 2.682352941176471e-05, 'epoch': 2.9}
{'loss': 0.7135, 'grad_norm': 0.08337780088186264, 'learning_rate': 2.6502673796791444e-05, 'epoch': 3.04}
{'loss': 0.7125, 'grad_norm': 0.05599864572286606, 'learning_rate': 2.618181818181818e-05, 'epoch': 3.19}
{'loss': 0.712, 'grad_norm': 0.041690926998853683, 'learning_rate': 2.5860962566844922e-05, 'epoch': 3.33}
