                                                                                                                                                                                                           
{'loss': 4.2712, 'grad_norm': 2.822843551635742, 'learning_rate': 2.7e-06, 'epoch': 0.14}
{'loss': 4.2584, 'grad_norm': 2.92630672454834, 'learning_rate': 5.7000000000000005e-06, 'epoch': 0.29}
{'loss': 4.2211, 'grad_norm': 2.947659492492676, 'learning_rate': 8.7e-06, 'epoch': 0.43}
{'loss': 4.1488, 'grad_norm': 3.0915870666503906, 'learning_rate': 1.1700000000000001e-05, 'epoch': 0.58}
{'loss': 4.0336, 'grad_norm': 3.4026968479156494, 'learning_rate': 1.47e-05, 'epoch': 0.72}
{'loss': 3.8493, 'grad_norm': 4.434926986694336, 'learning_rate': 1.77e-05, 'epoch': 0.87}
{'loss': 3.569, 'grad_norm': 4.775363445281982, 'learning_rate': 2.07e-05, 'epoch': 1.01}
{'loss': 3.2063, 'grad_norm': 4.876694679260254, 'learning_rate': 2.37e-05, 'epoch': 1.16}
{'loss': 2.7504, 'grad_norm': 5.36064338684082, 'learning_rate': 2.6700000000000002e-05, 'epoch': 1.3}
{'loss': 2.2144, 'grad_norm': 5.2180280685424805, 'learning_rate': 2.97e-05, 'epoch': 1.45}
{'loss': 1.691, 'grad_norm': 6.252436637878418, 'learning_rate': 2.9950184501845018e-05, 'epoch': 1.59}
{'loss': 1.2808, 'grad_norm': 3.436197519302368, 'learning_rate': 2.9894833948339484e-05, 'epoch': 1.74}
{'loss': 1.0295, 'grad_norm': 3.789093255996704, 'learning_rate': 2.983948339483395e-05, 'epoch': 1.88}
{'loss': 0.8124, 'grad_norm': 1.5140280723571777, 'learning_rate': 2.9784132841328417e-05, 'epoch': 2.03}
{'loss': 0.7348, 'grad_norm': 0.20754362642765045, 'learning_rate': 2.9728782287822876e-05, 'epoch': 2.17}
{'loss': 0.7272, 'grad_norm': 0.15493451058864594, 'learning_rate': 2.9673431734317342e-05, 'epoch': 2.32}
{'loss': 0.7229, 'grad_norm': 0.1357220858335495, 'learning_rate': 2.961808118081181e-05, 'epoch': 2.46}
{'loss': 0.7198, 'grad_norm': 0.12402858585119247, 'learning_rate': 2.9562730627306275e-05, 'epoch': 2.61}
{'loss': 0.7172, 'grad_norm': 0.1142466738820076, 'learning_rate': 2.9507380073800737e-05, 'epoch': 2.75}
{'loss': 0.7151, 'grad_norm': 0.09919415414333344, 'learning_rate': 2.9452029520295203e-05, 'epoch': 2.9}
{'loss': 0.7135, 'grad_norm': 0.07550610601902008, 'learning_rate': 2.939667896678967e-05, 'epoch': 3.04}
{'loss': 0.7124, 'grad_norm': 0.0465131551027298, 'learning_rate': 2.9341328413284136e-05, 'epoch': 3.19}
