                                                                                                                                                                                                           
{'loss': 4.271, 'grad_norm': 3.2496728897094727, 'learning_rate': 2.7e-06, 'epoch': 0.14}
{'loss': 4.2567, 'grad_norm': 3.2948763370513916, 'learning_rate': 5.7000000000000005e-06, 'epoch': 0.29}
{'loss': 4.2151, 'grad_norm': 3.3041555881500244, 'learning_rate': 8.7e-06, 'epoch': 0.43}
{'loss': 4.1361, 'grad_norm': 3.4146151542663574, 'learning_rate': 1.1700000000000001e-05, 'epoch': 0.58}
{'loss': 4.0107, 'grad_norm': 3.8971798419952393, 'learning_rate': 1.47e-05, 'epoch': 0.72}
{'loss': 3.8095, 'grad_norm': 4.798886299133301, 'learning_rate': 1.77e-05, 'epoch': 0.87}
{'loss': 3.5178, 'grad_norm': 5.07028865814209, 'learning_rate': 2.07e-05, 'epoch': 1.01}
{'loss': 3.1394, 'grad_norm': 5.126619338989258, 'learning_rate': 2.37e-05, 'epoch': 1.16}
{'loss': 2.6685, 'grad_norm': 5.74363374710083, 'learning_rate': 2.6700000000000002e-05, 'epoch': 1.3}
{'loss': 2.1168, 'grad_norm': 5.14594841003418, 'learning_rate': 2.97e-05, 'epoch': 1.45}
{'loss': 1.6115, 'grad_norm': 7.650655269622803, 'learning_rate': 2.9711229946524065e-05, 'epoch': 1.59}
{'loss': 1.2268, 'grad_norm': 2.727729558944702, 'learning_rate': 2.9390374331550804e-05, 'epoch': 1.74}
{'loss': 0.9986, 'grad_norm': 3.7348358631134033, 'learning_rate': 2.906951871657754e-05, 'epoch': 1.88}
{'loss': 0.7912, 'grad_norm': 0.9955636858940125, 'learning_rate': 2.874866310160428e-05, 'epoch': 2.03}
{'loss': 0.7324, 'grad_norm': 0.20955480635166168, 'learning_rate': 2.8427807486631018e-05, 'epoch': 2.17}
{'loss': 0.7259, 'grad_norm': 0.16305001080036163, 'learning_rate': 2.8106951871657753e-05, 'epoch': 2.32}
{'loss': 0.7217, 'grad_norm': 0.14691762626171112, 'learning_rate': 2.7786096256684492e-05, 'epoch': 2.46}
{'loss': 0.7185, 'grad_norm': 0.13970685005187988, 'learning_rate': 2.746524064171123e-05, 'epoch': 2.61}
{'loss': 0.7159, 'grad_norm': 0.12930698692798615, 'learning_rate': 2.7144385026737967e-05, 'epoch': 2.75}
{'loss': 0.7137, 'grad_norm': 0.09765709936618805, 'learning_rate': 2.682352941176471e-05, 'epoch': 2.9}
{'loss': 0.7123, 'grad_norm': 0.052028968930244446, 'learning_rate': 2.6502673796791444e-05, 'epoch': 3.04}
{'loss': 0.7118, 'grad_norm': 0.045604512095451355, 'learning_rate': 2.618181818181818e-05, 'epoch': 3.19}
{'loss': 0.7116, 'grad_norm': 0.04553331434726715, 'learning_rate': 2.5860962566844922e-05, 'epoch': 3.33}
{'loss': 0.7114, 'grad_norm': 0.045249756425619125, 'learning_rate': 2.5540106951871658e-05, 'epoch': 3.48}
{'loss': 0.7112, 'grad_norm': 0.042867209762334824, 'learning_rate': 2.5219251336898397e-05, 'epoch': 3.62}
{'loss': 0.7109, 'grad_norm': 0.04517786577343941, 'learning_rate': 2.4898395721925136e-05, 'epoch': 3.77}
{'loss': 0.7108, 'grad_norm': 0.044250886887311935, 'learning_rate': 2.457754010695187e-05, 'epoch': 3.91}
{'loss': 0.7105, 'grad_norm': 0.04324273020029068, 'learning_rate': 2.425668449197861e-05, 'epoch': 4.06}
{'loss': 0.7103, 'grad_norm': 0.045348647981882095, 'learning_rate': 2.393582887700535e-05, 'epoch': 4.2}
{'loss': 0.71, 'grad_norm': 0.045504309237003326, 'learning_rate': 2.3614973262032085e-05, 'epoch': 4.35}
{'loss': 0.7098, 'grad_norm': 0.0482073649764061, 'learning_rate': 2.3294117647058824e-05, 'epoch': 4.49}
{'loss': 0.7096, 'grad_norm': 0.05130203813314438, 'learning_rate': 2.2973262032085562e-05, 'epoch': 4.64}
{'loss': 0.7093, 'grad_norm': 0.05217429995536804, 'learning_rate': 2.26524064171123e-05, 'epoch': 4.78}
{'loss': 0.7089, 'grad_norm': 0.052698902785778046, 'learning_rate': 2.2331550802139037e-05, 'epoch': 4.93}
{'loss': 0.7086, 'grad_norm': 0.05655134841799736, 'learning_rate': 2.2010695187165776e-05, 'epoch': 5.07}
{'loss': 0.7082, 'grad_norm': 0.05960889160633087, 'learning_rate': 2.1689839572192515e-05, 'epoch': 5.22}
{'loss': 0.7078, 'grad_norm': 0.06315913796424866, 'learning_rate': 2.136898395721925e-05, 'epoch': 5.36}
{'loss': 0.7074, 'grad_norm': 0.0659918263554573, 'learning_rate': 2.1048128342245993e-05, 'epoch': 5.51}
{'loss': 0.7068, 'grad_norm': 0.07256153970956802, 'learning_rate': 2.0727272727272728e-05, 'epoch': 5.65}
{'loss': 0.7063, 'grad_norm': 0.07241956144571304, 'learning_rate': 2.0406417112299464e-05, 'epoch': 5.8}
{'loss': 0.7057, 'grad_norm': 0.08163947612047195, 'learning_rate': 2.0085561497326206e-05, 'epoch': 5.94}
{'loss': 0.7049, 'grad_norm': 0.09162082523107529, 'learning_rate': 1.976470588235294e-05, 'epoch': 6.09}
{'loss': 0.7041, 'grad_norm': 0.09964711964130402, 'learning_rate': 1.9443850267379677e-05, 'epoch': 6.23}
{'loss': 0.7031, 'grad_norm': 0.10776206105947495, 'learning_rate': 1.912299465240642e-05, 'epoch': 6.38}
{'loss': 0.7021, 'grad_norm': 0.1139865592122078, 'learning_rate': 1.8802139037433155e-05, 'epoch': 6.52}
{'loss': 0.7008, 'grad_norm': 0.11536630988121033, 'learning_rate': 1.8481283422459894e-05, 'epoch': 6.67}
{'loss': 0.6995, 'grad_norm': 0.11156666278839111, 'learning_rate': 1.8160427807486633e-05, 'epoch': 6.81}
{'loss': 0.6982, 'grad_norm': 0.10831759124994278, 'learning_rate': 1.7839572192513368e-05, 'epoch': 6.96}
{'loss': 0.6968, 'grad_norm': 0.10719408839941025, 'learning_rate': 1.7518716577540107e-05, 'epoch': 7.1}
{'loss': 0.6955, 'grad_norm': 0.10484587401151657, 'learning_rate': 1.7197860962566846e-05, 'epoch': 7.25}
{'loss': 0.6943, 'grad_norm': 0.09997083991765976, 'learning_rate': 1.6877005347593585e-05, 'epoch': 7.39}
{'loss': 0.6931, 'grad_norm': 0.09284677356481552, 'learning_rate': 1.655614973262032e-05, 'epoch': 7.54}
{'loss': 0.692, 'grad_norm': 0.08642328530550003, 'learning_rate': 1.623529411764706e-05, 'epoch': 7.68}
{'loss': 0.6908, 'grad_norm': 0.07903017103672028, 'learning_rate': 1.59144385026738e-05, 'epoch': 7.83}
{'loss': 0.6898, 'grad_norm': 0.07346697151660919, 'learning_rate': 1.5593582887700534e-05, 'epoch': 7.97}
{'loss': 0.6888, 'grad_norm': 0.07096702605485916, 'learning_rate': 1.5272727272727273e-05, 'epoch': 8.12}
{'loss': 0.6878, 'grad_norm': 0.06700929254293442, 'learning_rate': 1.4951871657754012e-05, 'epoch': 8.26}
