                                                                                                                                                                                                            
{'loss': 4.2713, 'grad_norm': 2.918509006500244, 'learning_rate': 2.7e-06, 'epoch': 0.3}
{'loss': 4.2586, 'grad_norm': 3.0098888874053955, 'learning_rate': 5.7000000000000005e-06, 'epoch': 0.6}
{'loss': 4.2193, 'grad_norm': 2.993161916732788, 'learning_rate': 8.7e-06, 'epoch': 0.9}
{'loss': 4.1509, 'grad_norm': 3.1044881343841553, 'learning_rate': 1.1400000000000001e-05, 'epoch': 1.18}
{'loss': 4.0401, 'grad_norm': 3.500514030456543, 'learning_rate': 1.44e-05, 'epoch': 1.48}
{'loss': 3.8612, 'grad_norm': 4.403803825378418, 'learning_rate': 1.74e-05, 'epoch': 1.78}
{'loss': 3.5864, 'grad_norm': 4.623419284820557, 'learning_rate': 2.04e-05, 'epoch': 2.06}
{'loss': 3.2276, 'grad_norm': 4.849470615386963, 'learning_rate': 2.3400000000000003e-05, 'epoch': 2.36}
{'loss': 2.7797, 'grad_norm': 5.437539100646973, 'learning_rate': 2.64e-05, 'epoch': 2.66}
{'loss': 2.2471, 'grad_norm': 5.240428924560547, 'learning_rate': 2.94e-05, 'epoch': 2.96}
{'loss': 1.7249, 'grad_norm': 6.816878318786621, 'learning_rate': 2.9586206896551724e-05, 'epoch': 3.24}
{'loss': 1.3024, 'grad_norm': 3.6779532432556152, 'learning_rate': 2.906896551724138e-05, 'epoch': 3.54}
{'loss': 1.0652, 'grad_norm': 2.3779425621032715, 'learning_rate': 2.8551724137931037e-05, 'epoch': 3.84}
{'loss': 0.8673, 'grad_norm': 2.221604347229004, 'learning_rate': 2.803448275862069e-05, 'epoch': 4.12}
{'loss': 0.7387, 'grad_norm': 0.23041611909866333, 'learning_rate': 2.7517241379310343e-05, 'epoch': 4.42}
{'loss': 0.7282, 'grad_norm': 0.16236689686775208, 'learning_rate': 2.7000000000000002e-05, 'epoch': 4.72}
{'loss': 0.7237, 'grad_norm': 0.1379460096359253, 'learning_rate': 2.6482758620689655e-05, 'epoch': 5.0}
{'loss': 0.7206, 'grad_norm': 0.12531344592571259, 'learning_rate': 2.5965517241379308e-05, 'epoch': 5.3}
{'loss': 0.7182, 'grad_norm': 0.1159525141119957, 'learning_rate': 2.5448275862068968e-05, 'epoch': 5.6}
{'loss': 0.7163, 'grad_norm': 0.10509690642356873, 'learning_rate': 2.493103448275862e-05, 'epoch': 5.9}
{'loss': 0.7147, 'grad_norm': 0.09322289377450943, 'learning_rate': 2.4413793103448277e-05, 'epoch': 6.18}
