                                                                                                                                                                                                            
{'loss': 4.2711, 'grad_norm': 2.9577267169952393, 'learning_rate': 2.7e-06, 'epoch': 0.3}
{'loss': 4.2579, 'grad_norm': 3.033475160598755, 'learning_rate': 5.7000000000000005e-06, 'epoch': 0.6}
{'loss': 4.2182, 'grad_norm': 2.991590738296509, 'learning_rate': 8.7e-06, 'epoch': 0.9}
{'loss': 4.1498, 'grad_norm': 3.1549274921417236, 'learning_rate': 1.1400000000000001e-05, 'epoch': 1.18}
{'loss': 4.0392, 'grad_norm': 3.5084917545318604, 'learning_rate': 1.44e-05, 'epoch': 1.48}
{'loss': 3.859, 'grad_norm': 4.498867034912109, 'learning_rate': 1.74e-05, 'epoch': 1.78}
{'loss': 3.5832, 'grad_norm': 4.824923992156982, 'learning_rate': 2.04e-05, 'epoch': 2.06}
{'loss': 3.2294, 'grad_norm': 5.064573764801025, 'learning_rate': 2.3400000000000003e-05, 'epoch': 2.36}
{'loss': 2.7883, 'grad_norm': 5.879702091217041, 'learning_rate': 2.64e-05, 'epoch': 2.66}
{'loss': 2.2679, 'grad_norm': 5.191339015960693, 'learning_rate': 2.94e-05, 'epoch': 2.96}
{'loss': 1.757, 'grad_norm': 5.568495273590088, 'learning_rate': 2.9586206896551724e-05, 'epoch': 3.24}
{'loss': 1.3275, 'grad_norm': 3.8888792991638184, 'learning_rate': 2.906896551724138e-05, 'epoch': 3.54}
{'loss': 1.0485, 'grad_norm': 3.2798421382904053, 'learning_rate': 2.8551724137931037e-05, 'epoch': 3.84}
{'loss': 0.8212, 'grad_norm': 1.0554242134094238, 'learning_rate': 2.803448275862069e-05, 'epoch': 4.12}
{'loss': 0.7354, 'grad_norm': 0.21652628481388092, 'learning_rate': 2.7517241379310343e-05, 'epoch': 4.42}
{'loss': 0.7273, 'grad_norm': 0.16595175862312317, 'learning_rate': 2.7000000000000002e-05, 'epoch': 4.72}
{'loss': 0.7228, 'grad_norm': 0.14220601320266724, 'learning_rate': 2.6482758620689655e-05, 'epoch': 5.0}
{'loss': 0.7196, 'grad_norm': 0.12957505881786346, 'learning_rate': 2.5965517241379308e-05, 'epoch': 5.3}
{'loss': 0.717, 'grad_norm': 0.11877327412366867, 'learning_rate': 2.5448275862068968e-05, 'epoch': 5.6}
{'loss': 0.715, 'grad_norm': 0.1009146198630333, 'learning_rate': 2.493103448275862e-05, 'epoch': 5.9}
{'loss': 0.7134, 'grad_norm': 0.07841113954782486, 'learning_rate': 2.4413793103448277e-05, 'epoch': 6.18}
{'loss': 0.7124, 'grad_norm': 0.06104985252022743, 'learning_rate': 2.3896551724137933e-05, 'epoch': 6.48}
