                                                                                                                                                                                                            
{'loss': 2.6929, 'grad_norm': 1.1688700914382935, 'learning_rate': 2.7e-06, 'epoch': 0.04}
{'loss': 2.8147, 'grad_norm': 1.3584473133087158, 'learning_rate': 5.7000000000000005e-06, 'epoch': 0.08}
{'loss': 2.771, 'grad_norm': 1.3681257963180542, 'learning_rate': 8.7e-06, 'epoch': 0.12}
{'loss': 2.6469, 'grad_norm': 1.150307536125183, 'learning_rate': 1.1700000000000001e-05, 'epoch': 0.16}
{'loss': 2.6937, 'grad_norm': 1.2555053234100342, 'learning_rate': 1.47e-05, 'epoch': 0.2}
{'loss': 2.6426, 'grad_norm': 1.318642258644104, 'learning_rate': 1.77e-05, 'epoch': 0.24}
{'loss': 2.4392, 'grad_norm': 1.7308584451675415, 'learning_rate': 2.07e-05, 'epoch': 0.28}
{'loss': 2.3004, 'grad_norm': 1.6401971578598022, 'learning_rate': 2.37e-05, 'epoch': 0.32}
{'loss': 2.249, 'grad_norm': 1.764438509941101, 'learning_rate': 2.6700000000000002e-05, 'epoch': 0.36}
{'loss': 2.1318, 'grad_norm': 2.1082239151000977, 'learning_rate': 2.97e-05, 'epoch': 0.4}
{'loss': 1.8913, 'grad_norm': 3.300028085708618, 'learning_rate': 2.995609756097561e-05, 'epoch': 0.44}
{'loss': 1.6138, 'grad_norm': 3.3156168460845947, 'learning_rate': 2.9907317073170735e-05, 'epoch': 0.48}
{'loss': 1.4087, 'grad_norm': 2.2049193382263184, 'learning_rate': 2.9858536585365853e-05, 'epoch': 0.52}
{'loss': 1.3659, 'grad_norm': 2.075887441635132, 'learning_rate': 2.9809756097560977e-05, 'epoch': 0.56}
{'loss': 1.2228, 'grad_norm': 1.7324204444885254, 'learning_rate': 2.9760975609756098e-05, 'epoch': 0.6}
{'loss': 1.1763, 'grad_norm': 1.4667006731033325, 'learning_rate': 2.971219512195122e-05, 'epoch': 0.64}
{'loss': 1.1444, 'grad_norm': 1.6689746379852295, 'learning_rate': 2.9663414634146344e-05, 'epoch': 0.68}
{'loss': 1.1625, 'grad_norm': 1.2287009954452515, 'learning_rate': 2.9614634146341465e-05, 'epoch': 0.72}
{'loss': 1.1283, 'grad_norm': 1.365359902381897, 'learning_rate': 2.9565853658536586e-05, 'epoch': 0.76}
{'loss': 1.1934, 'grad_norm': 1.3421701192855835, 'learning_rate': 2.9517073170731707e-05, 'epoch': 0.8}
{'loss': 1.1187, 'grad_norm': 1.2221064567565918, 'learning_rate': 2.946829268292683e-05, 'epoch': 0.84}
{'loss': 1.0591, 'grad_norm': 1.416458010673523, 'learning_rate': 2.9419512195121952e-05, 'epoch': 0.88}
{'loss': 1.1769, 'grad_norm': 1.2945457696914673, 'learning_rate': 2.9370731707317073e-05, 'epoch': 0.92}
{'loss': 1.1239, 'grad_norm': 1.5920535326004028, 'learning_rate': 2.9321951219512197e-05, 'epoch': 0.96}
{'loss': 1.1169, 'grad_norm': 3.2558999061584473, 'learning_rate': 2.927317073170732e-05, 'epoch': 1.0}
{'loss': 1.1372, 'grad_norm': 1.204984188079834, 'learning_rate': 2.922439024390244e-05, 'epoch': 1.04}
{'loss': 1.1695, 'grad_norm': 1.1929585933685303, 'learning_rate': 2.917560975609756e-05, 'epoch': 1.08}
{'loss': 1.1368, 'grad_norm': 1.085050344467163, 'learning_rate': 2.9126829268292685e-05, 'epoch': 1.12}
{'loss': 1.1653, 'grad_norm': 1.3612853288650513, 'learning_rate': 2.9078048780487806e-05, 'epoch': 1.16}
{'loss': 1.1196, 'grad_norm': 1.5942784547805786, 'learning_rate': 2.9029268292682927e-05, 'epoch': 1.2}
{'loss': 1.0881, 'grad_norm': 1.5318529605865479, 'learning_rate': 2.898048780487805e-05, 'epoch': 1.24}
{'loss': 1.0419, 'grad_norm': 1.0569325685501099, 'learning_rate': 2.893170731707317e-05, 'epoch': 1.28}
{'loss': 1.0811, 'grad_norm': 1.267160177230835, 'learning_rate': 2.8882926829268293e-05, 'epoch': 1.32}
{'loss': 1.058, 'grad_norm': 1.604270339012146, 'learning_rate': 2.8834146341463418e-05, 'epoch': 1.36}
{'loss': 1.0481, 'grad_norm': 1.3941470384597778, 'learning_rate': 2.8785365853658535e-05, 'epoch': 1.4}
{'loss': 1.1541, 'grad_norm': 1.546186923980713, 'learning_rate': 2.873658536585366e-05, 'epoch': 1.44}
{'loss': 1.1798, 'grad_norm': 1.3231552839279175, 'learning_rate': 2.868780487804878e-05, 'epoch': 1.48}
{'loss': 1.0881, 'grad_norm': 1.2655686140060425, 'learning_rate': 2.8639024390243902e-05, 'epoch': 1.52}
{'loss': 1.0932, 'grad_norm': 1.2145224809646606, 'learning_rate': 2.8590243902439026e-05, 'epoch': 1.56}
{'loss': 1.082, 'grad_norm': 1.5455907583236694, 'learning_rate': 2.8541463414634147e-05, 'epoch': 1.6}
{'loss': 1.0926, 'grad_norm': 1.3565700054168701, 'learning_rate': 2.8492682926829268e-05, 'epoch': 1.64}
{'loss': 1.0991, 'grad_norm': 1.3601484298706055, 'learning_rate': 2.844390243902439e-05, 'epoch': 1.68}
{'loss': 1.0546, 'grad_norm': 1.411371111869812, 'learning_rate': 2.8395121951219514e-05, 'epoch': 1.72}
{'loss': 1.177, 'grad_norm': 1.3540147542953491, 'learning_rate': 2.8346341463414635e-05, 'epoch': 1.76}
{'loss': 1.1056, 'grad_norm': 1.4171415567398071, 'learning_rate': 2.8297560975609756e-05, 'epoch': 1.8}
{'loss': 1.1107, 'grad_norm': 1.1550066471099854, 'learning_rate': 2.824878048780488e-05, 'epoch': 1.84}
{'loss': 1.1073, 'grad_norm': 1.2614080905914307, 'learning_rate': 2.8199999999999998e-05, 'epoch': 1.88}
{'loss': 1.0148, 'grad_norm': 1.2221201658248901, 'learning_rate': 2.8151219512195122e-05, 'epoch': 1.92}
{'loss': 1.03, 'grad_norm': 1.5668623447418213, 'learning_rate': 2.8102439024390246e-05, 'epoch': 1.96}
{'loss': 1.0954, 'grad_norm': 1.440462350845337, 'learning_rate': 2.8053658536585367e-05, 'epoch': 2.0}
{'loss': 1.1277, 'grad_norm': 1.1678764820098877, 'learning_rate': 2.800487804878049e-05, 'epoch': 2.04}
{'loss': 1.0191, 'grad_norm': 1.154958724975586, 'learning_rate': 2.795609756097561e-05, 'epoch': 2.08}
{'loss': 1.071, 'grad_norm': 1.5997684001922607, 'learning_rate': 2.7907317073170734e-05, 'epoch': 2.12}
{'loss': 1.1187, 'grad_norm': 1.381569266319275, 'learning_rate': 2.7858536585365855e-05, 'epoch': 2.16}
{'loss': 1.0187, 'grad_norm': 1.2863349914550781, 'learning_rate': 2.7809756097560976e-05, 'epoch': 2.2}
{'loss': 1.0914, 'grad_norm': 1.2421870231628418, 'learning_rate': 2.77609756097561e-05, 'epoch': 2.24}
{'loss': 1.0906, 'grad_norm': 1.1838794946670532, 'learning_rate': 2.7712195121951218e-05, 'epoch': 2.28}
{'loss': 1.1334, 'grad_norm': 1.1942822933197021, 'learning_rate': 2.7663414634146342e-05, 'epoch': 2.32}
{'loss': 1.0111, 'grad_norm': 1.2551262378692627, 'learning_rate': 2.7614634146341467e-05, 'epoch': 2.36}
{'loss': 1.0707, 'grad_norm': 1.4020637273788452, 'learning_rate': 2.7565853658536584e-05, 'epoch': 2.4}
{'loss': 1.0621, 'grad_norm': 1.3964531421661377, 'learning_rate': 2.751707317073171e-05, 'epoch': 2.44}
{'loss': 1.0552, 'grad_norm': 1.236642599105835, 'learning_rate': 2.746829268292683e-05, 'epoch': 2.48}
{'loss': 1.0772, 'grad_norm': 1.299494743347168, 'learning_rate': 2.741951219512195e-05, 'epoch': 2.52}
{'loss': 1.1162, 'grad_norm': 1.3094749450683594, 'learning_rate': 2.7370731707317075e-05, 'epoch': 2.56}
{'loss': 1.0906, 'grad_norm': 1.3155055046081543, 'learning_rate': 2.7321951219512196e-05, 'epoch': 2.6}
{'loss': 1.0682, 'grad_norm': 1.3959325551986694, 'learning_rate': 2.7273170731707317e-05, 'epoch': 2.64}
{'loss': 1.0543, 'grad_norm': 1.3226523399353027, 'learning_rate': 2.7224390243902438e-05, 'epoch': 2.68}
{'loss': 1.0559, 'grad_norm': 1.4103403091430664, 'learning_rate': 2.7175609756097563e-05, 'epoch': 2.72}
{'loss': 1.0382, 'grad_norm': 1.2313319444656372, 'learning_rate': 2.7126829268292684e-05, 'epoch': 2.76}
{'loss': 1.1001, 'grad_norm': 1.1227056980133057, 'learning_rate': 2.7078048780487805e-05, 'epoch': 2.8}
