                                                                                                                                                                                                            
{'loss': 2.6921, 'grad_norm': 1.0931264162063599, 'learning_rate': 2.7e-06, 'epoch': 0.04}
{'loss': 2.6629, 'grad_norm': 1.3348956108093262, 'learning_rate': 5.7000000000000005e-06, 'epoch': 0.08}
{'loss': 2.5683, 'grad_norm': 1.0814627408981323, 'learning_rate': 8.7e-06, 'epoch': 0.12}
{'loss': 2.7488, 'grad_norm': 1.2613462209701538, 'learning_rate': 1.1700000000000001e-05, 'epoch': 0.16}
{'loss': 2.6478, 'grad_norm': 1.0108643770217896, 'learning_rate': 1.47e-05, 'epoch': 0.2}
{'loss': 2.6847, 'grad_norm': 1.2002874612808228, 'learning_rate': 1.77e-05, 'epoch': 0.24}
{'loss': 2.5584, 'grad_norm': 1.673490047454834, 'learning_rate': 2.07e-05, 'epoch': 0.28}
{'loss': 2.3864, 'grad_norm': 1.5276501178741455, 'learning_rate': 2.37e-05, 'epoch': 0.32}
{'loss': 2.2457, 'grad_norm': 1.979907751083374, 'learning_rate': 2.6700000000000002e-05, 'epoch': 0.36}
{'loss': 2.0587, 'grad_norm': 2.0227901935577393, 'learning_rate': 2.97e-05, 'epoch': 0.4}
{'loss': 1.7926, 'grad_norm': 3.1365504264831543, 'learning_rate': 2.9963513513513512e-05, 'epoch': 0.44}
{'loss': 1.6702, 'grad_norm': 2.5320205688476562, 'learning_rate': 2.9922972972972972e-05, 'epoch': 0.48}
{'loss': 1.5061, 'grad_norm': 1.8896889686584473, 'learning_rate': 2.9882432432432432e-05, 'epoch': 0.52}
{'loss': 1.3745, 'grad_norm': 1.9034868478775024, 'learning_rate': 2.9841891891891892e-05, 'epoch': 0.56}
{'loss': 1.2855, 'grad_norm': 2.339062213897705, 'learning_rate': 2.9801351351351352e-05, 'epoch': 0.6}
{'loss': 1.1779, 'grad_norm': 1.4030025005340576, 'learning_rate': 2.9760810810810812e-05, 'epoch': 0.64}
{'loss': 1.1596, 'grad_norm': 1.7067049741744995, 'learning_rate': 2.9720270270270272e-05, 'epoch': 0.68}
{'loss': 1.0882, 'grad_norm': 1.4823803901672363, 'learning_rate': 2.9679729729729732e-05, 'epoch': 0.72}
{'loss': 1.1182, 'grad_norm': 1.1395207643508911, 'learning_rate': 2.963918918918919e-05, 'epoch': 0.76}
{'loss': 1.1754, 'grad_norm': 1.1084072589874268, 'learning_rate': 2.959864864864865e-05, 'epoch': 0.8}
{'loss': 1.2067, 'grad_norm': 1.7225207090377808, 'learning_rate': 2.955810810810811e-05, 'epoch': 0.84}
{'loss': 1.1197, 'grad_norm': 1.5656486749649048, 'learning_rate': 2.951756756756757e-05, 'epoch': 0.88}
{'loss': 1.1773, 'grad_norm': 1.2183152437210083, 'learning_rate': 2.947702702702703e-05, 'epoch': 0.92}
{'loss': 1.0476, 'grad_norm': 1.2970390319824219, 'learning_rate': 2.943648648648649e-05, 'epoch': 0.96}
{'loss': 1.0378, 'grad_norm': 1.3632463216781616, 'learning_rate': 2.939594594594595e-05, 'epoch': 1.0}
{'loss': 1.1304, 'grad_norm': 1.4168075323104858, 'learning_rate': 2.935540540540541e-05, 'epoch': 1.04}
{'loss': 1.0353, 'grad_norm': 1.2085808515548706, 'learning_rate': 2.9314864864864865e-05, 'epoch': 1.08}
{'loss': 1.088, 'grad_norm': 1.341692566871643, 'learning_rate': 2.9274324324324325e-05, 'epoch': 1.12}
{'loss': 1.0775, 'grad_norm': 1.0623589754104614, 'learning_rate': 2.9233783783783786e-05, 'epoch': 1.16}
{'loss': 1.0578, 'grad_norm': 2.7281851768493652, 'learning_rate': 2.9193243243243246e-05, 'epoch': 1.2}
{'loss': 1.0761, 'grad_norm': 1.4263553619384766, 'learning_rate': 2.9152702702702702e-05, 'epoch': 1.24}
{'loss': 1.0916, 'grad_norm': 1.3647888898849487, 'learning_rate': 2.9112162162162162e-05, 'epoch': 1.28}
{'loss': 1.1071, 'grad_norm': 1.4959251880645752, 'learning_rate': 2.9071621621621622e-05, 'epoch': 1.32}
{'loss': 1.1517, 'grad_norm': 1.3469465970993042, 'learning_rate': 2.9031081081081082e-05, 'epoch': 1.36}
{'loss': 1.0816, 'grad_norm': 1.1237493753433228, 'learning_rate': 2.899054054054054e-05, 'epoch': 1.4}
{'loss': 1.1131, 'grad_norm': 1.213716745376587, 'learning_rate': 2.895e-05, 'epoch': 1.44}
{'loss': 1.0302, 'grad_norm': 1.8495614528656006, 'learning_rate': 2.890945945945946e-05, 'epoch': 1.48}
{'loss': 1.0287, 'grad_norm': 1.1626802682876587, 'learning_rate': 2.886891891891892e-05, 'epoch': 1.52}
{'loss': 1.0434, 'grad_norm': 1.5138953924179077, 'learning_rate': 2.882837837837838e-05, 'epoch': 1.56}
{'loss': 1.098, 'grad_norm': 1.3588043451309204, 'learning_rate': 2.878783783783784e-05, 'epoch': 1.6}
{'loss': 1.1056, 'grad_norm': 1.7499724626541138, 'learning_rate': 2.87472972972973e-05, 'epoch': 1.64}
{'loss': 1.1374, 'grad_norm': 1.0739154815673828, 'learning_rate': 2.870675675675676e-05, 'epoch': 1.68}
{'loss': 1.0918, 'grad_norm': 1.2179515361785889, 'learning_rate': 2.8666216216216216e-05, 'epoch': 1.72}
{'loss': 1.0305, 'grad_norm': 1.172440767288208, 'learning_rate': 2.8625675675675676e-05, 'epoch': 1.76}
{'loss': 1.1036, 'grad_norm': 1.5629267692565918, 'learning_rate': 2.8585135135135136e-05, 'epoch': 1.8}
{'loss': 1.1086, 'grad_norm': 1.5615150928497314, 'learning_rate': 2.8544594594594596e-05, 'epoch': 1.84}
{'loss': 1.0931, 'grad_norm': 1.2012321949005127, 'learning_rate': 2.8504054054054056e-05, 'epoch': 1.88}
{'loss': 1.0813, 'grad_norm': 1.2184772491455078, 'learning_rate': 2.8463513513513516e-05, 'epoch': 1.92}
{'loss': 1.0707, 'grad_norm': 1.3534032106399536, 'learning_rate': 2.8422972972972976e-05, 'epoch': 1.96}
{'loss': 1.133, 'grad_norm': 1.2654935121536255, 'learning_rate': 2.8382432432432436e-05, 'epoch': 2.0}
