                                                                                                                                                                                                            
{'loss': 4.2708, 'grad_norm': 2.977351427078247, 'learning_rate': 2.7e-06, 'epoch': 0.08}
{'loss': 4.2577, 'grad_norm': 3.0055017471313477, 'learning_rate': 5.7000000000000005e-06, 'epoch': 0.17}
{'loss': 4.2173, 'grad_norm': 3.041508197784424, 'learning_rate': 8.7e-06, 'epoch': 0.25}
{'loss': 4.1428, 'grad_norm': 3.1650798320770264, 'learning_rate': 1.1700000000000001e-05, 'epoch': 0.33}
{'loss': 4.0238, 'grad_norm': 3.5412700176239014, 'learning_rate': 1.47e-05, 'epoch': 0.42}
{'loss': 3.8356, 'grad_norm': 4.4468092918396, 'learning_rate': 1.77e-05, 'epoch': 0.5}
{'loss': 3.5551, 'grad_norm': 4.836553573608398, 'learning_rate': 2.07e-05, 'epoch': 0.58}
{'loss': 3.1926, 'grad_norm': 4.884015083312988, 'learning_rate': 2.37e-05, 'epoch': 0.67}
{'loss': 2.7432, 'grad_norm': 5.426095485687256, 'learning_rate': 2.6700000000000002e-05, 'epoch': 0.75}
{'loss': 2.2056, 'grad_norm': 5.227954387664795, 'learning_rate': 2.97e-05, 'epoch': 0.83}
{'loss': 1.687, 'grad_norm': 5.911588668823242, 'learning_rate': 2.9922857142857145e-05, 'epoch': 0.92}
{'loss': 1.289, 'grad_norm': 3.6198885440826416, 'learning_rate': 2.9837142857142856e-05, 'epoch': 1.0}
{'loss': 1.0499, 'grad_norm': 2.7518813610076904, 'learning_rate': 2.975142857142857e-05, 'epoch': 1.08}
{'loss': 0.8282, 'grad_norm': 0.9576524496078491, 'learning_rate': 2.9665714285714287e-05, 'epoch': 1.17}
{'loss': 0.7344, 'grad_norm': 0.21719372272491455, 'learning_rate': 2.958e-05, 'epoch': 1.25}
{'loss': 0.7269, 'grad_norm': 0.15856753289699554, 'learning_rate': 2.9494285714285712e-05, 'epoch': 1.33}
{'loss': 0.7225, 'grad_norm': 0.1377015858888626, 'learning_rate': 2.940857142857143e-05, 'epoch': 1.42}
{'loss': 0.7193, 'grad_norm': 0.12634529173374176, 'learning_rate': 2.9322857142857144e-05, 'epoch': 1.5}
{'loss': 0.7169, 'grad_norm': 0.1158943921327591, 'learning_rate': 2.9237142857142858e-05, 'epoch': 1.58}
{'loss': 0.7148, 'grad_norm': 0.1020619124174118, 'learning_rate': 2.9151428571428572e-05, 'epoch': 1.67}
{'loss': 0.7133, 'grad_norm': 0.08140186965465546, 'learning_rate': 2.9065714285714286e-05, 'epoch': 1.75}
{'loss': 0.7123, 'grad_norm': 0.059591736644506454, 'learning_rate': 2.898e-05, 'epoch': 1.83}
{'loss': 0.7117, 'grad_norm': 0.04772892966866493, 'learning_rate': 2.8894285714285718e-05, 'epoch': 1.92}
