                                                                                                                                                                                                            
{'loss': 3.1438, 'grad_norm': 0.7689283490180969, 'learning_rate': 2.7e-06, 'epoch': 0.0}
{'loss': 3.1184, 'grad_norm': 0.8589470386505127, 'learning_rate': 5.7000000000000005e-06, 'epoch': 0.0}
{'loss': 3.1029, 'grad_norm': 1.0562485456466675, 'learning_rate': 8.7e-06, 'epoch': 0.0}
{'loss': 3.1459, 'grad_norm': 0.9544231295585632, 'learning_rate': 1.1700000000000001e-05, 'epoch': 0.0}
{'loss': 3.0097, 'grad_norm': 0.7678504586219788, 'learning_rate': 1.47e-05, 'epoch': 0.01}
{'loss': 3.0643, 'grad_norm': 0.7238173484802246, 'learning_rate': 1.77e-05, 'epoch': 0.01}
{'loss': 2.9685, 'grad_norm': 0.8373444080352783, 'learning_rate': 2.07e-05, 'epoch': 0.01}
{'loss': 2.9618, 'grad_norm': 1.014203429222107, 'learning_rate': 2.37e-05, 'epoch': 0.01}
{'loss': 2.7832, 'grad_norm': 1.0710448026657104, 'learning_rate': 2.6700000000000002e-05, 'epoch': 0.01}
{'loss': 2.818, 'grad_norm': 1.0682607889175415, 'learning_rate': 2.97e-05, 'epoch': 0.01}
{'loss': 2.7588, 'grad_norm': 1.5922726392745972, 'learning_rate': 2.9999094901277194e-05, 'epoch': 0.01}
{'loss': 2.6123, 'grad_norm': 1.4370602369308472, 'learning_rate': 2.9998089236029634e-05, 'epoch': 0.01}
{'loss': 2.4093, 'grad_norm': 1.9061603546142578, 'learning_rate': 2.9997083570782074e-05, 'epoch': 0.01}
{'loss': 2.3774, 'grad_norm': 1.689277172088623, 'learning_rate': 2.999607790553451e-05, 'epoch': 0.01}
{'loss': 2.2411, 'grad_norm': 1.638961672782898, 'learning_rate': 2.999507224028695e-05, 'epoch': 0.02}
{'loss': 2.2295, 'grad_norm': 3.2551217079162598, 'learning_rate': 2.999406657503939e-05, 'epoch': 0.02}
{'loss': 2.1781, 'grad_norm': 1.6602298021316528, 'learning_rate': 2.9993060909791827e-05, 'epoch': 0.02}
{'loss': 2.191, 'grad_norm': 1.6570508480072021, 'learning_rate': 2.9992055244544267e-05, 'epoch': 0.02}
{'loss': 2.1185, 'grad_norm': 1.5672694444656372, 'learning_rate': 2.9991049579296707e-05, 'epoch': 0.02}
{'loss': 2.0141, 'grad_norm': 3.8804962635040283, 'learning_rate': 2.9990043914049147e-05, 'epoch': 0.02}
{'loss': 1.9801, 'grad_norm': 1.5436838865280151, 'learning_rate': 2.9989038248801584e-05, 'epoch': 0.02}
{'loss': 1.9821, 'grad_norm': 1.6264162063598633, 'learning_rate': 2.998803258355402e-05, 'epoch': 0.02}
