                                                                                                                                                                                                            
{'loss': 3.1642, 'grad_norm': 0.8593980073928833, 'learning_rate': 2.7e-06, 'epoch': 0.0}
{'loss': 3.1501, 'grad_norm': 0.7727442979812622, 'learning_rate': 5.7000000000000005e-06, 'epoch': 0.0}
{'loss': 3.1639, 'grad_norm': 0.6269122362136841, 'learning_rate': 8.7e-06, 'epoch': 0.0}
{'loss': 3.1525, 'grad_norm': 0.9767593145370483, 'learning_rate': 1.1700000000000001e-05, 'epoch': 0.0}
{'loss': 3.0079, 'grad_norm': 0.8241017460823059, 'learning_rate': 1.47e-05, 'epoch': 0.01}
{'loss': 3.08, 'grad_norm': 0.776248037815094, 'learning_rate': 1.77e-05, 'epoch': 0.01}
{'loss': 2.9999, 'grad_norm': 1.1589140892028809, 'learning_rate': 2.07e-05, 'epoch': 0.01}
{'loss': 2.9778, 'grad_norm': 0.8926935791969299, 'learning_rate': 2.37e-05, 'epoch': 0.01}
{'loss': 2.8463, 'grad_norm': 1.0418747663497925, 'learning_rate': 2.6700000000000002e-05, 'epoch': 0.01}
{'loss': 2.7174, 'grad_norm': 1.1681439876556396, 'learning_rate': 2.97e-05, 'epoch': 0.01}
{'loss': 2.6609, 'grad_norm': 1.2794231176376343, 'learning_rate': 2.999092162334824e-05, 'epoch': 0.01}
{'loss': 2.54, 'grad_norm': 1.8364795446395874, 'learning_rate': 2.9980834538179617e-05, 'epoch': 0.01}
{'loss': 2.4438, 'grad_norm': 2.260150671005249, 'learning_rate': 2.9970747453010997e-05, 'epoch': 0.01}
{'loss': 2.2981, 'grad_norm': 2.1845273971557617, 'learning_rate': 2.9960660367842373e-05, 'epoch': 0.01}
{'loss': 2.2776, 'grad_norm': 1.7204320430755615, 'learning_rate': 2.9950573282673753e-05, 'epoch': 0.02}
{'loss': 2.1237, 'grad_norm': 2.0795083045959473, 'learning_rate': 2.9940486197505126e-05, 'epoch': 0.02}
{'loss': 2.1247, 'grad_norm': 1.9029721021652222, 'learning_rate': 2.9930399112336506e-05, 'epoch': 0.02}
{'loss': 2.0542, 'grad_norm': 1.551301121711731, 'learning_rate': 2.9920312027167882e-05, 'epoch': 0.02}
{'loss': 2.091, 'grad_norm': 2.1221811771392822, 'learning_rate': 2.9910224941999262e-05, 'epoch': 0.02}
{'loss': 1.9894, 'grad_norm': 2.2380731105804443, 'learning_rate': 2.9900137856830638e-05, 'epoch': 0.02}
{'loss': 2.0789, 'grad_norm': 1.5181841850280762, 'learning_rate': 2.9890050771662018e-05, 'epoch': 0.02}
{'loss': 2.0543, 'grad_norm': 1.7441436052322388, 'learning_rate': 2.987996368649339e-05, 'epoch': 0.02}
{'loss': 1.9761, 'grad_norm': 1.740822672843933, 'learning_rate': 2.986987660132477e-05, 'epoch': 0.02}
{'loss': 1.9652, 'grad_norm': 2.070430040359497, 'learning_rate': 2.985978951615615e-05, 'epoch': 0.02}
{'loss': 2.0564, 'grad_norm': 6.052666187286377, 'learning_rate': 2.9849702430987526e-05, 'epoch': 0.03}
{'loss': 2.0077, 'grad_norm': 2.084456443786621, 'learning_rate': 2.9839615345818906e-05, 'epoch': 0.03}
{'loss': 1.9719, 'grad_norm': 1.9908347129821777, 'learning_rate': 2.9829528260650282e-05, 'epoch': 0.03}
{'loss': 1.9569, 'grad_norm': 1.6231478452682495, 'learning_rate': 2.981944117548166e-05, 'epoch': 0.03}
{'loss': 1.9276, 'grad_norm': 1.6709409952163696, 'learning_rate': 2.9809354090313035e-05, 'epoch': 0.03}
{'loss': 1.9902, 'grad_norm': 2.623640537261963, 'learning_rate': 2.9799267005144415e-05, 'epoch': 0.03}
{'loss': 1.9831, 'grad_norm': 2.0517513751983643, 'learning_rate': 2.978917991997579e-05, 'epoch': 0.03}
{'loss': 1.9238, 'grad_norm': 1.8148112297058105, 'learning_rate': 2.977909283480717e-05, 'epoch': 0.03}
{'loss': 1.8883, 'grad_norm': 1.5474315881729126, 'learning_rate': 2.9769005749638547e-05, 'epoch': 0.03}
{'loss': 1.9588, 'grad_norm': 4.040038108825684, 'learning_rate': 2.9758918664469923e-05, 'epoch': 0.03}
{'loss': 1.8979, 'grad_norm': 2.3740382194519043, 'learning_rate': 2.97488315793013e-05, 'epoch': 0.04}
{'loss': 1.8878, 'grad_norm': 4.3878350257873535, 'learning_rate': 2.973874449413268e-05, 'epoch': 0.04}
{'loss': 1.8937, 'grad_norm': 2.0777432918548584, 'learning_rate': 2.9728657408964056e-05, 'epoch': 0.04}
{'loss': 1.9131, 'grad_norm': 2.0318732261657715, 'learning_rate': 2.9718570323795435e-05, 'epoch': 0.04}
{'loss': 1.9574, 'grad_norm': 1.5625004768371582, 'learning_rate': 2.9708483238626812e-05, 'epoch': 0.04}
{'loss': 1.9284, 'grad_norm': 1.7622026205062866, 'learning_rate': 2.9698396153458188e-05, 'epoch': 0.04}
{'loss': 1.8512, 'grad_norm': 1.9412175416946411, 'learning_rate': 2.9688309068289568e-05, 'epoch': 0.04}
{'loss': 1.8684, 'grad_norm': 2.27590012550354, 'learning_rate': 2.9678221983120944e-05, 'epoch': 0.04}
{'loss': 1.9106, 'grad_norm': 2.1942083835601807, 'learning_rate': 2.9668134897952324e-05, 'epoch': 0.04}
{'loss': 1.8786, 'grad_norm': 2.364565849304199, 'learning_rate': 2.96580478127837e-05, 'epoch': 0.04}
{'loss': 1.9216, 'grad_norm': 2.299863576889038, 'learning_rate': 2.964796072761508e-05, 'epoch': 0.05}
{'loss': 2.0376, 'grad_norm': 2.717315673828125, 'learning_rate': 2.9637873642446453e-05, 'epoch': 0.05}
{'loss': 1.8875, 'grad_norm': 2.9010121822357178, 'learning_rate': 2.9627786557277832e-05, 'epoch': 0.05}
{'loss': 1.8775, 'grad_norm': 3.459165096282959, 'learning_rate': 2.961769947210921e-05, 'epoch': 0.05}
{'loss': 1.8438, 'grad_norm': 2.1607155799865723, 'learning_rate': 2.960761238694059e-05, 'epoch': 0.05}
{'loss': 1.9616, 'grad_norm': 2.374803304672241, 'learning_rate': 2.9597525301771965e-05, 'epoch': 0.05}
{'loss': 1.9196, 'grad_norm': 3.351806640625, 'learning_rate': 2.9587438216603345e-05, 'epoch': 0.05}
{'loss': 1.9511, 'grad_norm': 3.412476062774658, 'learning_rate': 2.9577351131434717e-05, 'epoch': 0.05}
{'loss': 1.8831, 'grad_norm': 2.278491497039795, 'learning_rate': 2.9567264046266097e-05, 'epoch': 0.05}
{'loss': 1.8968, 'grad_norm': 1.9114049673080444, 'learning_rate': 2.9557176961097473e-05, 'epoch': 0.05}
{'loss': 1.8829, 'grad_norm': 2.1632630825042725, 'learning_rate': 2.9547089875928853e-05, 'epoch': 0.06}
{'loss': 1.8392, 'grad_norm': 2.003317356109619, 'learning_rate': 2.9537002790760233e-05, 'epoch': 0.06}
{'loss': 1.8904, 'grad_norm': 2.0191147327423096, 'learning_rate': 2.952691570559161e-05, 'epoch': 0.06}
{'loss': 1.7876, 'grad_norm': 1.8793458938598633, 'learning_rate': 2.9516828620422985e-05, 'epoch': 0.06}
{'loss': 1.8977, 'grad_norm': 1.7716037034988403, 'learning_rate': 2.9506741535254362e-05, 'epoch': 0.06}
{'loss': 2.0306, 'grad_norm': 2.1119182109832764, 'learning_rate': 2.949665445008574e-05, 'epoch': 0.06}
{'loss': 1.8606, 'grad_norm': 2.3468878269195557, 'learning_rate': 2.9486567364917118e-05, 'epoch': 0.06}
{'loss': 1.9162, 'grad_norm': 2.4917094707489014, 'learning_rate': 2.9476480279748498e-05, 'epoch': 0.06}
{'loss': 1.8228, 'grad_norm': 2.21484112739563, 'learning_rate': 2.9466393194579874e-05, 'epoch': 0.06}
{'loss': 1.9436, 'grad_norm': 1.9754680395126343, 'learning_rate': 2.945630610941125e-05, 'epoch': 0.06}
{'loss': 1.8704, 'grad_norm': 3.286773204803467, 'learning_rate': 2.9446219024242626e-05, 'epoch': 0.07}
{'loss': 1.8686, 'grad_norm': 2.6736907958984375, 'learning_rate': 2.9436131939074006e-05, 'epoch': 0.07}
{'loss': 1.8143, 'grad_norm': 2.365555763244629, 'learning_rate': 2.9426044853905382e-05, 'epoch': 0.07}
{'loss': 1.9594, 'grad_norm': 2.2626407146453857, 'learning_rate': 2.9415957768736762e-05, 'epoch': 0.07}
{'loss': 1.9475, 'grad_norm': 1.8847929239273071, 'learning_rate': 2.940587068356814e-05, 'epoch': 0.07}
{'loss': 1.8207, 'grad_norm': 2.748100996017456, 'learning_rate': 2.9395783598399515e-05, 'epoch': 0.07}
{'loss': 1.8115, 'grad_norm': 2.5311920642852783, 'learning_rate': 2.9385696513230894e-05, 'epoch': 0.07}
{'loss': 1.8946, 'grad_norm': 2.2166876792907715, 'learning_rate': 2.937560942806227e-05, 'epoch': 0.07}
{'loss': 1.8144, 'grad_norm': 2.5593111515045166, 'learning_rate': 2.936552234289365e-05, 'epoch': 0.07}
{'loss': 1.8937, 'grad_norm': 2.5342233180999756, 'learning_rate': 2.9355435257725027e-05, 'epoch': 0.07}
{'loss': 1.8166, 'grad_norm': 1.690926194190979, 'learning_rate': 2.9345348172556407e-05, 'epoch': 0.08}
{'loss': 1.845, 'grad_norm': 2.2186062335968018, 'learning_rate': 2.9335261087387783e-05, 'epoch': 0.08}
{'loss': 1.8356, 'grad_norm': 3.037296772003174, 'learning_rate': 2.932517400221916e-05, 'epoch': 0.08}
{'loss': 1.8043, 'grad_norm': 2.897390127182007, 'learning_rate': 2.9315086917050535e-05, 'epoch': 0.08}
{'loss': 1.8512, 'grad_norm': 2.1524951457977295, 'learning_rate': 2.9304999831881915e-05, 'epoch': 0.08}
{'loss': 1.8327, 'grad_norm': 2.2488296031951904, 'learning_rate': 2.929491274671329e-05, 'epoch': 0.08}
{'loss': 1.9092, 'grad_norm': 2.28145432472229, 'learning_rate': 2.928482566154467e-05, 'epoch': 0.08}
{'loss': 1.8301, 'grad_norm': 1.9267644882202148, 'learning_rate': 2.9274738576376047e-05, 'epoch': 0.08}
{'loss': 1.804, 'grad_norm': 2.260857105255127, 'learning_rate': 2.9264651491207424e-05, 'epoch': 0.08}
{'loss': 1.8006, 'grad_norm': 2.8524410724639893, 'learning_rate': 2.92545644060388e-05, 'epoch': 0.08}
{'loss': 1.9006, 'grad_norm': 1.953039526939392, 'learning_rate': 2.924447732087018e-05, 'epoch': 0.09}
{'loss': 1.7838, 'grad_norm': 2.4916329383850098, 'learning_rate': 2.923439023570156e-05, 'epoch': 0.09}
{'loss': 1.8433, 'grad_norm': 2.1277213096618652, 'learning_rate': 2.9224303150532936e-05, 'epoch': 0.09}
{'loss': 1.9034, 'grad_norm': 1.979656457901001, 'learning_rate': 2.9214216065364316e-05, 'epoch': 0.09}
{'loss': 1.8532, 'grad_norm': 2.2034006118774414, 'learning_rate': 2.920412898019569e-05, 'epoch': 0.09}
{'loss': 1.883, 'grad_norm': 2.1270463466644287, 'learning_rate': 2.9194041895027068e-05, 'epoch': 0.09}
{'loss': 1.8433, 'grad_norm': 2.72247576713562, 'learning_rate': 2.9183954809858444e-05, 'epoch': 0.09}
{'loss': 1.8111, 'grad_norm': 2.994781970977783, 'learning_rate': 2.9173867724689824e-05, 'epoch': 0.09}
{'loss': 1.7924, 'grad_norm': 2.503239154815674, 'learning_rate': 2.91637806395212e-05, 'epoch': 0.09}
{'loss': 1.7851, 'grad_norm': 2.7220842838287354, 'learning_rate': 2.915369355435258e-05, 'epoch': 0.09}
{'loss': 1.8162, 'grad_norm': 2.1322154998779297, 'learning_rate': 2.9143606469183953e-05, 'epoch': 0.1}
{'loss': 1.8474, 'grad_norm': 1.8680012226104736, 'learning_rate': 2.9133519384015333e-05, 'epoch': 0.1}
{'loss': 1.8492, 'grad_norm': 2.2748868465423584, 'learning_rate': 2.912343229884671e-05, 'epoch': 0.1}
{'loss': 1.8081, 'grad_norm': 2.70405912399292, 'learning_rate': 2.911334521367809e-05, 'epoch': 0.1}
{'loss': 1.8874, 'grad_norm': 2.4465715885162354, 'learning_rate': 2.9103258128509465e-05, 'epoch': 0.1}
{'loss': 1.8274, 'grad_norm': 1.9776325225830078, 'learning_rate': 2.9093171043340845e-05, 'epoch': 0.1}
{'loss': 1.8483, 'grad_norm': 2.844968318939209, 'learning_rate': 2.908308395817222e-05, 'epoch': 0.1}
{'loss': 1.8754, 'grad_norm': 3.142763137817383, 'learning_rate': 2.9072996873003597e-05, 'epoch': 0.1}
{'loss': 1.7733, 'grad_norm': 2.305720329284668, 'learning_rate': 2.9062909787834977e-05, 'epoch': 0.1}
{'loss': 1.8062, 'grad_norm': 2.5930662155151367, 'learning_rate': 2.9052822702666353e-05, 'epoch': 0.1}
{'loss': 1.8051, 'grad_norm': 2.0751543045043945, 'learning_rate': 2.9042735617497733e-05, 'epoch': 0.11}
{'loss': 1.8279, 'grad_norm': 3.1218643188476562, 'learning_rate': 2.903264853232911e-05, 'epoch': 0.11}
{'loss': 1.8473, 'grad_norm': 1.8414572477340698, 'learning_rate': 2.9022561447160486e-05, 'epoch': 0.11}
{'loss': 1.858, 'grad_norm': 2.2607836723327637, 'learning_rate': 2.9012474361991862e-05, 'epoch': 0.11}
{'loss': 1.7747, 'grad_norm': 1.7849160432815552, 'learning_rate': 2.9002387276823242e-05, 'epoch': 0.11}
{'loss': 1.8745, 'grad_norm': 2.1496264934539795, 'learning_rate': 2.8992300191654618e-05, 'epoch': 0.11}
{'loss': 1.8014, 'grad_norm': 2.4677512645721436, 'learning_rate': 2.8982213106485998e-05, 'epoch': 0.11}
{'loss': 1.8852, 'grad_norm': 2.7962918281555176, 'learning_rate': 2.8972126021317374e-05, 'epoch': 0.11}
{'loss': 1.8571, 'grad_norm': 2.3797335624694824, 'learning_rate': 2.896203893614875e-05, 'epoch': 0.11}
{'loss': 1.7965, 'grad_norm': 2.134577989578247, 'learning_rate': 2.8951951850980127e-05, 'epoch': 0.11}
{'loss': 1.8247, 'grad_norm': 2.070488214492798, 'learning_rate': 2.8941864765811507e-05, 'epoch': 0.12}
{'loss': 1.8107, 'grad_norm': 2.7699620723724365, 'learning_rate': 2.8931777680642886e-05, 'epoch': 0.12}
{'loss': 1.8338, 'grad_norm': 2.6800549030303955, 'learning_rate': 2.8921690595474263e-05, 'epoch': 0.12}
{'loss': 1.8288, 'grad_norm': 1.8205945491790771, 'learning_rate': 2.8911603510305642e-05, 'epoch': 0.12}
{'loss': 1.8522, 'grad_norm': 1.8642176389694214, 'learning_rate': 2.8901516425137015e-05, 'epoch': 0.12}
{'loss': 1.8266, 'grad_norm': 1.7910958528518677, 'learning_rate': 2.8891429339968395e-05, 'epoch': 0.12}
{'loss': 1.827, 'grad_norm': 2.302273988723755, 'learning_rate': 2.888134225479977e-05, 'epoch': 0.12}
{'loss': 1.9057, 'grad_norm': 2.145380973815918, 'learning_rate': 2.887125516963115e-05, 'epoch': 0.12}
{'loss': 1.8057, 'grad_norm': 2.013181686401367, 'learning_rate': 2.8861168084462527e-05, 'epoch': 0.12}
{'loss': 1.8095, 'grad_norm': 3.1762659549713135, 'learning_rate': 2.8851080999293907e-05, 'epoch': 0.12}
{'loss': 1.9681, 'grad_norm': 2.5776031017303467, 'learning_rate': 2.884099391412528e-05, 'epoch': 0.13}
{'loss': 1.7861, 'grad_norm': 2.235424757003784, 'learning_rate': 2.883090682895666e-05, 'epoch': 0.13}
{'loss': 1.8901, 'grad_norm': 3.336393117904663, 'learning_rate': 2.8820819743788036e-05, 'epoch': 0.13}
{'loss': 1.8538, 'grad_norm': 2.0966711044311523, 'learning_rate': 2.8810732658619416e-05, 'epoch': 0.13}
{'loss': 1.8577, 'grad_norm': 2.071383237838745, 'learning_rate': 2.8800645573450792e-05, 'epoch': 0.13}
{'loss': 1.8274, 'grad_norm': 2.2588064670562744, 'learning_rate': 2.879055848828217e-05, 'epoch': 0.13}
{'loss': 1.8449, 'grad_norm': 2.2016701698303223, 'learning_rate': 2.8780471403113548e-05, 'epoch': 0.13}
{'loss': 1.8099, 'grad_norm': 2.03275990486145, 'learning_rate': 2.8770384317944924e-05, 'epoch': 0.13}
{'loss': 1.9358, 'grad_norm': 1.9920220375061035, 'learning_rate': 2.8760297232776304e-05, 'epoch': 0.13}
{'loss': 1.8636, 'grad_norm': 2.284839391708374, 'learning_rate': 2.875021014760768e-05, 'epoch': 0.13}
