                                                                                                                                                                                                                    
{'loss': 4.2714, 'grad_norm': 2.8179469108581543, 'learning_rate': 2.7e-06, 'epoch': 0.1}
{'loss': 4.2592, 'grad_norm': 2.8827550411224365, 'learning_rate': 5.7000000000000005e-06, 'epoch': 0.21}
{'loss': 4.2203, 'grad_norm': 2.929788827896118, 'learning_rate': 8.7e-06, 'epoch': 0.31}
{'loss': 4.1478, 'grad_norm': 3.0841667652130127, 'learning_rate': 1.1700000000000001e-05, 'epoch': 0.41}
{'loss': 4.0307, 'grad_norm': 3.4655628204345703, 'learning_rate': 1.47e-05, 'epoch': 0.52}
{'loss': 3.8469, 'grad_norm': 4.4226603507995605, 'learning_rate': 1.77e-05, 'epoch': 0.62}
{'loss': 3.5671, 'grad_norm': 4.855010032653809, 'learning_rate': 2.07e-05, 'epoch': 0.72}
{'loss': 3.2045, 'grad_norm': 4.986307621002197, 'learning_rate': 2.37e-05, 'epoch': 0.82}
{'loss': 2.7506, 'grad_norm': 5.576315879821777, 'learning_rate': 2.6700000000000002e-05, 'epoch': 0.93}
{'loss': 2.215, 'grad_norm': 5.194387912750244, 'learning_rate': 2.97e-05, 'epoch': 1.03}
{'loss': 1.709, 'grad_norm': 5.446160316467285, 'learning_rate': 2.9800738007380074e-05, 'epoch': 1.13}
{'loss': 1.3034, 'grad_norm': 3.3426973819732666, 'learning_rate': 2.9579335793357932e-05, 'epoch': 1.24}
{'loss': 1.052, 'grad_norm': 2.501882314682007, 'learning_rate': 2.9357933579335793e-05, 'epoch': 1.34}
{'loss': 0.8433, 'grad_norm': 2.9676289558410645, 'learning_rate': 2.913653136531365e-05, 'epoch': 1.44}
{'loss': 0.7357, 'grad_norm': 0.21904398500919342, 'learning_rate': 2.8915129151291516e-05, 'epoch': 1.55}
{'loss': 0.7274, 'grad_norm': 0.16380742192268372, 'learning_rate': 2.8693726937269373e-05, 'epoch': 1.65}
{'loss': 0.7232, 'grad_norm': 0.14628693461418152, 'learning_rate': 2.8472324723247235e-05, 'epoch': 1.75}
{'loss': 0.72, 'grad_norm': 0.1387074589729309, 'learning_rate': 2.8250922509225092e-05, 'epoch': 1.86}
{'loss': 0.7173, 'grad_norm': 0.13255265355110168, 'learning_rate': 2.8029520295202954e-05, 'epoch': 1.96}
{'loss': 0.7149, 'grad_norm': 0.12113526463508606, 'learning_rate': 2.780811808118081e-05, 'epoch': 2.06}
{'loss': 0.713, 'grad_norm': 0.06823544949293137, 'learning_rate': 2.7586715867158673e-05, 'epoch': 2.16}
{'loss': 0.7122, 'grad_norm': 0.03951640427112579, 'learning_rate': 2.736531365313653e-05, 'epoch': 2.27}
{'loss': 0.7119, 'grad_norm': 0.03923898935317993, 'learning_rate': 2.7143911439114392e-05, 'epoch': 2.37}
{'loss': 0.7117, 'grad_norm': 0.03870414197444916, 'learning_rate': 2.692250922509225e-05, 'epoch': 2.47}
{'loss': 0.7115, 'grad_norm': 0.036489006131887436, 'learning_rate': 2.6701107011070114e-05, 'epoch': 2.58}
{'loss': 0.7113, 'grad_norm': 0.0377531424164772, 'learning_rate': 2.6479704797047972e-05, 'epoch': 2.68}
{'loss': 0.7112, 'grad_norm': 0.037934981286525726, 'learning_rate': 2.6258302583025833e-05, 'epoch': 2.78}
{'loss': 0.711, 'grad_norm': 0.037356823682785034, 'learning_rate': 2.603690036900369e-05, 'epoch': 2.89}
