                                                                                                                                                                                                                    
{'loss': 3.8227, 'grad_norm': 2.3080947399139404, 'learning_rate': 2.4000000000000003e-06, 'epoch': 0.0}
{'loss': 3.8311, 'grad_norm': 2.3398942947387695, 'learning_rate': 5.4e-06, 'epoch': 0.01}
{'loss': 3.876, 'grad_norm': 2.2236790657043457, 'learning_rate': 8.400000000000001e-06, 'epoch': 0.01}
{'loss': 3.7752, 'grad_norm': 2.124279499053955, 'learning_rate': 1.1400000000000001e-05, 'epoch': 0.02}
{'loss': 3.7143, 'grad_norm': 2.0587708950042725, 'learning_rate': 1.44e-05, 'epoch': 0.02}
{'loss': 3.5593, 'grad_norm': 2.2888472080230713, 'learning_rate': 1.74e-05, 'epoch': 0.03}
{'loss': 3.4863, 'grad_norm': 2.415184497833252, 'learning_rate': 2.04e-05, 'epoch': 0.03}
{'loss': 3.2434, 'grad_norm': 2.6201837062835693, 'learning_rate': 2.3400000000000003e-05, 'epoch': 0.03}
{'loss': 3.0245, 'grad_norm': 2.887389659881592, 'learning_rate': 2.64e-05, 'epoch': 0.04}
{'loss': 2.691, 'grad_norm': 3.3313825130462646, 'learning_rate': 2.94e-05, 'epoch': 0.04}
{'loss': 2.3165, 'grad_norm': 3.366274833679199, 'learning_rate': 2.9993104439017383e-05, 'epoch': 0.05}
{'loss': 1.9634, 'grad_norm': 4.078771114349365, 'learning_rate': 2.998534693291194e-05, 'epoch': 0.05}
{'loss': 1.5984, 'grad_norm': 5.289332866668701, 'learning_rate': 2.9976727481683667e-05, 'epoch': 0.06}
{'loss': 1.3371, 'grad_norm': 4.120986461639404, 'learning_rate': 2.9968108030455395e-05, 'epoch': 0.06}
{'loss': 1.1117, 'grad_norm': 3.2012970447540283, 'learning_rate': 2.9959488579227124e-05, 'epoch': 0.06}
{'loss': 0.9709, 'grad_norm': 2.0355348587036133, 'learning_rate': 2.995086912799885e-05, 'epoch': 0.07}
{'loss': 0.9612, 'grad_norm': 3.068370819091797, 'learning_rate': 2.994224967677058e-05, 'epoch': 0.07}
{'loss': 0.9736, 'grad_norm': 2.5879673957824707, 'learning_rate': 2.993363022554231e-05, 'epoch': 0.08}
{'loss': 0.9283, 'grad_norm': 2.1510932445526123, 'learning_rate': 2.9925010774314037e-05, 'epoch': 0.08}
{'loss': 0.9619, 'grad_norm': 1.7689323425292969, 'learning_rate': 2.9916391323085765e-05, 'epoch': 0.09}
{'loss': 0.9203, 'grad_norm': 1.485887885093689, 'learning_rate': 2.990777187185749e-05, 'epoch': 0.09}
{'loss': 0.9748, 'grad_norm': 1.9558712244033813, 'learning_rate': 2.989915242062922e-05, 'epoch': 0.09}
{'loss': 0.9756, 'grad_norm': 2.9420065879821777, 'learning_rate': 2.989053296940095e-05, 'epoch': 0.1}
{'loss': 0.9482, 'grad_norm': 2.13163685798645, 'learning_rate': 2.9881913518172678e-05, 'epoch': 0.1}
{'loss': 0.9292, 'grad_norm': 2.372354030609131, 'learning_rate': 2.9873294066944406e-05, 'epoch': 0.11}
{'loss': 0.9511, 'grad_norm': 1.6683677434921265, 'learning_rate': 2.986467461571613e-05, 'epoch': 0.11}
{'loss': 0.9429, 'grad_norm': 2.1563966274261475, 'learning_rate': 2.985605516448786e-05, 'epoch': 0.12}
{'loss': 0.9018, 'grad_norm': 1.5220582485198975, 'learning_rate': 2.984743571325959e-05, 'epoch': 0.12}
{'loss': 0.9297, 'grad_norm': 2.275432825088501, 'learning_rate': 2.983881626203132e-05, 'epoch': 0.12}
{'loss': 0.888, 'grad_norm': 2.0506131649017334, 'learning_rate': 2.9830196810803048e-05, 'epoch': 0.13}
{'loss': 0.9137, 'grad_norm': 1.9858728647232056, 'learning_rate': 2.9821577359574773e-05, 'epoch': 0.13}
{'loss': 0.9338, 'grad_norm': 6.6099371910095215, 'learning_rate': 2.98129579083465e-05, 'epoch': 0.14}
{'loss': 0.9095, 'grad_norm': 1.610007405281067, 'learning_rate': 2.9804338457118233e-05, 'epoch': 0.14}
{'loss': 0.8956, 'grad_norm': 1.9231098890304565, 'learning_rate': 2.979571900588996e-05, 'epoch': 0.15}
{'loss': 0.9071, 'grad_norm': 1.758112907409668, 'learning_rate': 2.978709955466169e-05, 'epoch': 0.15}
{'loss': 0.8968, 'grad_norm': 1.4491944313049316, 'learning_rate': 2.9778480103433414e-05, 'epoch': 0.15}
{'loss': 0.9546, 'grad_norm': 2.1352829933166504, 'learning_rate': 2.9769860652205142e-05, 'epoch': 0.16}
{'loss': 0.9069, 'grad_norm': 1.8994271755218506, 'learning_rate': 2.976124120097687e-05, 'epoch': 0.16}
{'loss': 0.8922, 'grad_norm': 2.4803988933563232, 'learning_rate': 2.9752621749748602e-05, 'epoch': 0.17}
{'loss': 0.866, 'grad_norm': 1.5629910230636597, 'learning_rate': 2.974400229852033e-05, 'epoch': 0.17}
{'loss': 0.9448, 'grad_norm': 1.3757596015930176, 'learning_rate': 2.9735382847292055e-05, 'epoch': 0.18}
{'loss': 0.9236, 'grad_norm': 1.9857044219970703, 'learning_rate': 2.9726763396063784e-05, 'epoch': 0.18}
{'loss': 0.9248, 'grad_norm': 1.4545493125915527, 'learning_rate': 2.9718143944835512e-05, 'epoch': 0.18}
{'loss': 0.9284, 'grad_norm': 1.8943920135498047, 'learning_rate': 2.9709524493607244e-05, 'epoch': 0.19}
{'loss': 0.8978, 'grad_norm': 2.327207565307617, 'learning_rate': 2.9700905042378972e-05, 'epoch': 0.19}
{'loss': 0.8978, 'grad_norm': 1.9037275314331055, 'learning_rate': 2.9692285591150697e-05, 'epoch': 0.2}
{'loss': 0.9015, 'grad_norm': 1.7082403898239136, 'learning_rate': 2.9683666139922425e-05, 'epoch': 0.2}
{'loss': 0.9177, 'grad_norm': 1.7968335151672363, 'learning_rate': 2.9675046688694153e-05, 'epoch': 0.21}
{'loss': 0.8529, 'grad_norm': 1.1994576454162598, 'learning_rate': 2.966642723746588e-05, 'epoch': 0.21}
{'loss': 0.8761, 'grad_norm': 1.1833243370056152, 'learning_rate': 2.9657807786237613e-05, 'epoch': 0.21}
{'loss': 0.8988, 'grad_norm': 1.8380407094955444, 'learning_rate': 2.9649188335009338e-05, 'epoch': 0.22}
{'loss': 0.8733, 'grad_norm': 1.5742015838623047, 'learning_rate': 2.9640568883781066e-05, 'epoch': 0.22}
{'loss': 0.8943, 'grad_norm': 1.9743633270263672, 'learning_rate': 2.9631949432552795e-05, 'epoch': 0.23}
{'loss': 0.8993, 'grad_norm': 1.6811200380325317, 'learning_rate': 2.9623329981324523e-05, 'epoch': 0.23}
{'loss': 0.8782, 'grad_norm': 1.8415123224258423, 'learning_rate': 2.961471053009625e-05, 'epoch': 0.24}
{'loss': 0.9161, 'grad_norm': 1.332008719444275, 'learning_rate': 2.960609107886798e-05, 'epoch': 0.24}
{'loss': 0.8712, 'grad_norm': 1.4743801355361938, 'learning_rate': 2.9597471627639708e-05, 'epoch': 0.24}
{'loss': 0.8892, 'grad_norm': 1.5296491384506226, 'learning_rate': 2.9588852176411436e-05, 'epoch': 0.25}
