                                                                                                                                                                                                                    
{'loss': 4.2711, 'grad_norm': 2.8852572441101074, 'learning_rate': 2.7e-06, 'epoch': 0.1}
{'loss': 4.2592, 'grad_norm': 2.9242453575134277, 'learning_rate': 5.7000000000000005e-06, 'epoch': 0.21}
{'loss': 4.2209, 'grad_norm': 3.0398521423339844, 'learning_rate': 8.7e-06, 'epoch': 0.31}
{'loss': 4.148, 'grad_norm': 3.177349090576172, 'learning_rate': 1.1700000000000001e-05, 'epoch': 0.41}
{'loss': 4.03, 'grad_norm': 3.504631280899048, 'learning_rate': 1.47e-05, 'epoch': 0.52}
{'loss': 3.8428, 'grad_norm': 4.516543865203857, 'learning_rate': 1.77e-05, 'epoch': 0.62}
{'loss': 3.5609, 'grad_norm': 4.829545497894287, 'learning_rate': 2.07e-05, 'epoch': 0.72}
{'loss': 3.1955, 'grad_norm': 4.9151082038879395, 'learning_rate': 2.37e-05, 'epoch': 0.82}
{'loss': 2.7385, 'grad_norm': 5.433284759521484, 'learning_rate': 2.6700000000000002e-05, 'epoch': 0.93}
{'loss': 2.1999, 'grad_norm': 5.078189849853516, 'learning_rate': 2.97e-05, 'epoch': 1.03}
{'loss': 1.6834, 'grad_norm': 6.039065837860107, 'learning_rate': 2.9800738007380074e-05, 'epoch': 1.13}
{'loss': 1.2803, 'grad_norm': 3.9825079441070557, 'learning_rate': 2.9579335793357932e-05, 'epoch': 1.24}
{'loss': 1.0353, 'grad_norm': 3.4676005840301514, 'learning_rate': 2.9357933579335793e-05, 'epoch': 1.34}
{'loss': 0.8158, 'grad_norm': 1.3226354122161865, 'learning_rate': 2.913653136531365e-05, 'epoch': 1.44}
{'loss': 0.7346, 'grad_norm': 0.21673135459423065, 'learning_rate': 2.8915129151291516e-05, 'epoch': 1.55}
{'loss': 0.727, 'grad_norm': 0.16362540423870087, 'learning_rate': 2.8693726937269373e-05, 'epoch': 1.65}
{'loss': 0.7226, 'grad_norm': 0.14210520684719086, 'learning_rate': 2.8472324723247235e-05, 'epoch': 1.75}
