                                                                                                                                                                                              
{'loss': 3.5426, 'grad_norm': 1.5116084814071655, 'learning_rate': 2.7e-06, 'epoch': 0.0}
{'loss': 3.5279, 'grad_norm': 1.5031850337982178, 'learning_rate': 5.7000000000000005e-06, 'epoch': 0.0}
{'loss': 3.4449, 'grad_norm': 1.6213551759719849, 'learning_rate': 8.7e-06, 'epoch': 0.0}
{'loss': 3.437, 'grad_norm': 1.4776029586791992, 'learning_rate': 1.1700000000000001e-05, 'epoch': 0.0}
{'loss': 3.3735, 'grad_norm': 1.5233337879180908, 'learning_rate': 1.47e-05, 'epoch': 0.01}
{'loss': 3.3251, 'grad_norm': 1.7253303527832031, 'learning_rate': 1.77e-05, 'epoch': 0.01}
{'loss': 3.1965, 'grad_norm': 1.962069034576416, 'learning_rate': 2.07e-05, 'epoch': 0.01}
{'loss': 3.0805, 'grad_norm': 2.1825270652770996, 'learning_rate': 2.37e-05, 'epoch': 0.01}
{'loss': 2.8415, 'grad_norm': 2.1575779914855957, 'learning_rate': 2.6700000000000002e-05, 'epoch': 0.01}
{'loss': 2.6868, 'grad_norm': 2.6607162952423096, 'learning_rate': 2.97e-05, 'epoch': 0.01}
{'loss': 2.3459, 'grad_norm': 3.516744613647461, 'learning_rate': 2.9989143109895855e-05, 'epoch': 0.01}
{'loss': 2.0916, 'grad_norm': 2.745177745819092, 'learning_rate': 2.997707989866903e-05, 'epoch': 0.01}
{'loss': 1.8336, 'grad_norm': 3.190153121948242, 'learning_rate': 2.9965016687442198e-05, 'epoch': 0.02}
{'loss': 1.6822, 'grad_norm': 2.3150789737701416, 'learning_rate': 2.9952953476215368e-05, 'epoch': 0.02}
{'loss': 1.5445, 'grad_norm': 2.4594714641571045, 'learning_rate': 2.994089026498854e-05, 'epoch': 0.02}
{'loss': 1.4647, 'grad_norm': 4.821500778198242, 'learning_rate': 2.992882705376171e-05, 'epoch': 0.02}
{'loss': 1.4278, 'grad_norm': 1.9051167964935303, 'learning_rate': 2.9916763842534884e-05, 'epoch': 0.02}
{'loss': 1.3477, 'grad_norm': 2.198530912399292, 'learning_rate': 2.9904700631308054e-05, 'epoch': 0.02}
{'loss': 1.3819, 'grad_norm': 1.8714778423309326, 'learning_rate': 2.9892637420081227e-05, 'epoch': 0.02}
{'loss': 1.424, 'grad_norm': 2.036940097808838, 'learning_rate': 2.98805742088544e-05, 'epoch': 0.02}
{'loss': 1.3498, 'grad_norm': 1.9101154804229736, 'learning_rate': 2.986851099762757e-05, 'epoch': 0.03}
{'loss': 1.3527, 'grad_norm': 2.480670928955078, 'learning_rate': 2.985644778640074e-05, 'epoch': 0.03}
{'loss': 1.3804, 'grad_norm': 2.278871774673462, 'learning_rate': 2.9844384575173913e-05, 'epoch': 0.03}
{'loss': 1.3889, 'grad_norm': 2.3463714122772217, 'learning_rate': 2.9832321363947082e-05, 'epoch': 0.03}
{'loss': 1.3607, 'grad_norm': 2.0933642387390137, 'learning_rate': 2.9820258152720255e-05, 'epoch': 0.03}
{'loss': 1.2693, 'grad_norm': 2.2344131469726562, 'learning_rate': 2.9808194941493425e-05, 'epoch': 0.03}
{'loss': 1.2733, 'grad_norm': 3.5238962173461914, 'learning_rate': 2.9796131730266598e-05, 'epoch': 0.03}
{'loss': 1.3599, 'grad_norm': 4.2955427169799805, 'learning_rate': 2.978406851903977e-05, 'epoch': 0.03}
{'loss': 1.2554, 'grad_norm': 2.4744832515716553, 'learning_rate': 2.977200530781294e-05, 'epoch': 0.03}
{'loss': 1.2991, 'grad_norm': 2.429614782333374, 'learning_rate': 2.9759942096586114e-05, 'epoch': 0.04}
{'loss': 1.31, 'grad_norm': 2.793595552444458, 'learning_rate': 2.974787888535928e-05, 'epoch': 0.04}
{'loss': 1.2603, 'grad_norm': 4.0776166915893555, 'learning_rate': 2.9735815674132454e-05, 'epoch': 0.04}
{'loss': 1.3098, 'grad_norm': 2.617753744125366, 'learning_rate': 2.9723752462905627e-05, 'epoch': 0.04}
{'loss': 1.2983, 'grad_norm': 2.8304083347320557, 'learning_rate': 2.9711689251678797e-05, 'epoch': 0.04}
{'loss': 1.3479, 'grad_norm': 2.8210995197296143, 'learning_rate': 2.969962604045197e-05, 'epoch': 0.04}
{'loss': 1.3127, 'grad_norm': 2.309291124343872, 'learning_rate': 2.968756282922514e-05, 'epoch': 0.04}
{'loss': 1.2944, 'grad_norm': 4.0539045333862305, 'learning_rate': 2.9675499617998313e-05, 'epoch': 0.04}
{'loss': 1.3034, 'grad_norm': 2.976132392883301, 'learning_rate': 2.9663436406771486e-05, 'epoch': 0.05}
{'loss': 1.2343, 'grad_norm': 3.0868868827819824, 'learning_rate': 2.9651373195544652e-05, 'epoch': 0.05}
{'loss': 1.253, 'grad_norm': 3.2126779556274414, 'learning_rate': 2.9639309984317825e-05, 'epoch': 0.05}
{'loss': 1.3036, 'grad_norm': 3.535245180130005, 'learning_rate': 2.9627246773091e-05, 'epoch': 0.05}
{'loss': 1.2874, 'grad_norm': 3.9565508365631104, 'learning_rate': 2.9615183561864168e-05, 'epoch': 0.05}
{'loss': 1.2878, 'grad_norm': 2.702371835708618, 'learning_rate': 2.960312035063734e-05, 'epoch': 0.05}
{'loss': 1.236, 'grad_norm': 3.1470212936401367, 'learning_rate': 2.959105713941051e-05, 'epoch': 0.05}
{'loss': 1.2854, 'grad_norm': 2.5428287982940674, 'learning_rate': 2.9578993928183684e-05, 'epoch': 0.05}
{'loss': 1.2022, 'grad_norm': 3.988659143447876, 'learning_rate': 2.9566930716956857e-05, 'epoch': 0.06}
{'loss': 1.1505, 'grad_norm': 4.263434886932373, 'learning_rate': 2.9554867505730027e-05, 'epoch': 0.06}
{'loss': 1.2126, 'grad_norm': 3.4618430137634277, 'learning_rate': 2.9542804294503197e-05, 'epoch': 0.06}
{'loss': 1.3147, 'grad_norm': 4.282726764678955, 'learning_rate': 2.9530741083276367e-05, 'epoch': 0.06}
{'loss': 1.2096, 'grad_norm': 3.059387445449829, 'learning_rate': 2.951867787204954e-05, 'epoch': 0.06}
{'loss': 1.2522, 'grad_norm': 3.8561482429504395, 'learning_rate': 2.9506614660822713e-05, 'epoch': 0.06}
{'loss': 1.23, 'grad_norm': 3.398397445678711, 'learning_rate': 2.9494551449595883e-05, 'epoch': 0.06}
{'loss': 1.2422, 'grad_norm': 2.6418042182922363, 'learning_rate': 2.9482488238369056e-05, 'epoch': 0.06}
{'loss': 1.256, 'grad_norm': 3.97812557220459, 'learning_rate': 2.9470425027142225e-05, 'epoch': 0.06}
{'loss': 1.2518, 'grad_norm': 3.0207877159118652, 'learning_rate': 2.94583618159154e-05, 'epoch': 0.07}
{'loss': 1.2632, 'grad_norm': 2.90387225151062, 'learning_rate': 2.944629860468857e-05, 'epoch': 0.07}
{'loss': 1.2814, 'grad_norm': 3.2614831924438477, 'learning_rate': 2.9434235393461738e-05, 'epoch': 0.07}
{'loss': 1.2392, 'grad_norm': 4.093662738800049, 'learning_rate': 2.942217218223491e-05, 'epoch': 0.07}
{'loss': 1.2539, 'grad_norm': 4.043828964233398, 'learning_rate': 2.9410108971008084e-05, 'epoch': 0.07}
{'loss': 1.2292, 'grad_norm': 3.531358480453491, 'learning_rate': 2.9398045759781254e-05, 'epoch': 0.07}
{'loss': 1.2445, 'grad_norm': 4.50909423828125, 'learning_rate': 2.9385982548554427e-05, 'epoch': 0.07}
{'loss': 1.2477, 'grad_norm': 3.5146377086639404, 'learning_rate': 2.9373919337327597e-05, 'epoch': 0.07}
{'loss': 1.2771, 'grad_norm': 2.81449556350708, 'learning_rate': 2.936185612610077e-05, 'epoch': 0.08}
{'loss': 1.2213, 'grad_norm': 3.4573771953582764, 'learning_rate': 2.934979291487394e-05, 'epoch': 0.08}
{'loss': 1.2424, 'grad_norm': 3.7241146564483643, 'learning_rate': 2.933772970364711e-05, 'epoch': 0.08}
{'loss': 1.2027, 'grad_norm': 2.7369191646575928, 'learning_rate': 2.9325666492420283e-05, 'epoch': 0.08}
{'loss': 1.2317, 'grad_norm': 3.1821393966674805, 'learning_rate': 2.9313603281193453e-05, 'epoch': 0.08}
{'loss': 1.2421, 'grad_norm': 3.1531219482421875, 'learning_rate': 2.9301540069966626e-05, 'epoch': 0.08}
{'loss': 1.2199, 'grad_norm': 2.9677958488464355, 'learning_rate': 2.92894768587398e-05, 'epoch': 0.08}
{'loss': 1.2167, 'grad_norm': 3.804534435272217, 'learning_rate': 2.927741364751297e-05, 'epoch': 0.08}
{'loss': 1.2682, 'grad_norm': 3.6997809410095215, 'learning_rate': 2.926535043628614e-05, 'epoch': 0.09}
{'loss': 1.2213, 'grad_norm': 3.3514444828033447, 'learning_rate': 2.925328722505931e-05, 'epoch': 0.09}
{'loss': 1.2434, 'grad_norm': 2.8474130630493164, 'learning_rate': 2.924122401383248e-05, 'epoch': 0.09}
{'loss': 1.2375, 'grad_norm': 3.2790286540985107, 'learning_rate': 2.9229160802605654e-05, 'epoch': 0.09}
{'loss': 1.2527, 'grad_norm': 3.5173404216766357, 'learning_rate': 2.9217097591378824e-05, 'epoch': 0.09}
{'loss': 1.2036, 'grad_norm': 3.006845712661743, 'learning_rate': 2.9205034380151997e-05, 'epoch': 0.09}
{'loss': 1.2105, 'grad_norm': 3.5282721519470215, 'learning_rate': 2.919297116892517e-05, 'epoch': 0.09}
{'loss': 1.2308, 'grad_norm': 2.738481044769287, 'learning_rate': 2.918090795769834e-05, 'epoch': 0.09}
{'loss': 1.2098, 'grad_norm': 3.206223487854004, 'learning_rate': 2.9168844746471513e-05, 'epoch': 0.09}
{'loss': 1.2626, 'grad_norm': 3.956221103668213, 'learning_rate': 2.9156781535244683e-05, 'epoch': 0.1}
{'loss': 1.2203, 'grad_norm': 3.943030595779419, 'learning_rate': 2.9144718324017853e-05, 'epoch': 0.1}
{'loss': 1.2135, 'grad_norm': 4.67495059967041, 'learning_rate': 2.9132655112791026e-05, 'epoch': 0.1}
{'loss': 1.2406, 'grad_norm': 3.573629856109619, 'learning_rate': 2.9120591901564196e-05, 'epoch': 0.1}
{'loss': 1.2208, 'grad_norm': 3.0222315788269043, 'learning_rate': 2.910852869033737e-05, 'epoch': 0.1}
{'loss': 1.2204, 'grad_norm': 3.082379102706909, 'learning_rate': 2.909646547911054e-05, 'epoch': 0.1}
{'loss': 1.1679, 'grad_norm': 3.340676784515381, 'learning_rate': 2.908440226788371e-05, 'epoch': 0.1}
{'loss': 1.2326, 'grad_norm': 3.8764865398406982, 'learning_rate': 2.9072339056656885e-05, 'epoch': 0.1}
{'loss': 1.1665, 'grad_norm': 3.043596029281616, 'learning_rate': 2.9060275845430054e-05, 'epoch': 0.11}
{'loss': 1.245, 'grad_norm': 2.668414354324341, 'learning_rate': 2.9048212634203228e-05, 'epoch': 0.11}
{'loss': 1.1804, 'grad_norm': 3.899970054626465, 'learning_rate': 2.9036149422976397e-05, 'epoch': 0.11}
{'loss': 1.2481, 'grad_norm': 5.11782169342041, 'learning_rate': 2.9024086211749567e-05, 'epoch': 0.11}
{'loss': 1.2551, 'grad_norm': 3.212787389755249, 'learning_rate': 2.901202300052274e-05, 'epoch': 0.11}
{'loss': 1.2353, 'grad_norm': 3.3496947288513184, 'learning_rate': 2.899995978929591e-05, 'epoch': 0.11}
{'loss': 1.2284, 'grad_norm': 2.814592123031616, 'learning_rate': 2.8987896578069083e-05, 'epoch': 0.11}
{'loss': 1.2109, 'grad_norm': 3.0554122924804688, 'learning_rate': 2.8975833366842256e-05, 'epoch': 0.11}
{'loss': 1.2114, 'grad_norm': 3.1446585655212402, 'learning_rate': 2.8963770155615426e-05, 'epoch': 0.12}
{'loss': 1.2484, 'grad_norm': 3.081615686416626, 'learning_rate': 2.89517069443886e-05, 'epoch': 0.12}
{'loss': 1.1902, 'grad_norm': 3.173919439315796, 'learning_rate': 2.8939643733161766e-05, 'epoch': 0.12}
{'loss': 1.2342, 'grad_norm': 2.765817403793335, 'learning_rate': 2.892758052193494e-05, 'epoch': 0.12}
{'loss': 1.2167, 'grad_norm': 3.2356655597686768, 'learning_rate': 2.8915517310708112e-05, 'epoch': 0.12}
{'loss': 1.2206, 'grad_norm': 3.798879384994507, 'learning_rate': 2.890345409948128e-05, 'epoch': 0.12}
{'loss': 1.1688, 'grad_norm': 3.5250067710876465, 'learning_rate': 2.8891390888254455e-05, 'epoch': 0.12}
{'loss': 1.2217, 'grad_norm': 2.9274370670318604, 'learning_rate': 2.8879327677027624e-05, 'epoch': 0.12}
{'loss': 1.1972, 'grad_norm': 3.4029173851013184, 'learning_rate': 2.8867264465800798e-05, 'epoch': 0.12}
{'loss': 1.1991, 'grad_norm': 3.372037887573242, 'learning_rate': 2.885520125457397e-05, 'epoch': 0.13}
{'loss': 1.1865, 'grad_norm': 3.346813440322876, 'learning_rate': 2.8843138043347137e-05, 'epoch': 0.13}
{'loss': 1.1838, 'grad_norm': 3.1983561515808105, 'learning_rate': 2.883107483212031e-05, 'epoch': 0.13}
{'loss': 1.2278, 'grad_norm': 2.898772954940796, 'learning_rate': 2.8819011620893483e-05, 'epoch': 0.13}
{'loss': 1.1775, 'grad_norm': 2.5481839179992676, 'learning_rate': 2.8806948409666653e-05, 'epoch': 0.13}
{'loss': 1.2459, 'grad_norm': 3.4974820613861084, 'learning_rate': 2.8794885198439826e-05, 'epoch': 0.13}
{'loss': 1.2434, 'grad_norm': 3.0567595958709717, 'learning_rate': 2.8782821987212996e-05, 'epoch': 0.13}
{'loss': 1.2255, 'grad_norm': 3.084474563598633, 'learning_rate': 2.877075877598617e-05, 'epoch': 0.13}
{'loss': 1.1772, 'grad_norm': 2.7856132984161377, 'learning_rate': 2.8758695564759342e-05, 'epoch': 0.14}
{'loss': 1.194, 'grad_norm': 3.0650382041931152, 'learning_rate': 2.8746632353532512e-05, 'epoch': 0.14}
{'loss': 1.2396, 'grad_norm': 2.8601291179656982, 'learning_rate': 2.8734569142305682e-05, 'epoch': 0.14}
{'loss': 1.2608, 'grad_norm': 2.712372064590454, 'learning_rate': 2.872250593107885e-05, 'epoch': 0.14}
{'loss': 1.2454, 'grad_norm': 3.4842655658721924, 'learning_rate': 2.8710442719852025e-05, 'epoch': 0.14}
{'loss': 1.2269, 'grad_norm': 4.201077461242676, 'learning_rate': 2.8698379508625198e-05, 'epoch': 0.14}
{'loss': 1.1778, 'grad_norm': 3.484178066253662, 'learning_rate': 2.8686316297398367e-05, 'epoch': 0.14}
{'loss': 1.1777, 'grad_norm': 3.628647804260254, 'learning_rate': 2.867425308617154e-05, 'epoch': 0.14}
{'loss': 1.205, 'grad_norm': 2.645080804824829, 'learning_rate': 2.866218987494471e-05, 'epoch': 0.15}
{'loss': 1.2081, 'grad_norm': 3.2507119178771973, 'learning_rate': 2.8650126663717883e-05, 'epoch': 0.15}
{'loss': 1.1975, 'grad_norm': 2.4118294715881348, 'learning_rate': 2.8638063452491053e-05, 'epoch': 0.15}
{'loss': 1.179, 'grad_norm': 3.3499131202697754, 'learning_rate': 2.8626000241264223e-05, 'epoch': 0.15}
{'loss': 1.2136, 'grad_norm': 3.5867154598236084, 'learning_rate': 2.8613937030037396e-05, 'epoch': 0.15}
{'loss': 1.2694, 'grad_norm': 2.5262954235076904, 'learning_rate': 2.860187381881057e-05, 'epoch': 0.15}
{'loss': 1.2522, 'grad_norm': 3.189723014831543, 'learning_rate': 2.858981060758374e-05, 'epoch': 0.15}
{'loss': 1.2421, 'grad_norm': 3.0475358963012695, 'learning_rate': 2.8577747396356912e-05, 'epoch': 0.15}
{'loss': 1.178, 'grad_norm': 3.365471601486206, 'learning_rate': 2.8565684185130082e-05, 'epoch': 0.16}
{'loss': 1.1716, 'grad_norm': 2.5528554916381836, 'learning_rate': 2.8553620973903255e-05, 'epoch': 0.16}
{'loss': 1.1828, 'grad_norm': 4.957707405090332, 'learning_rate': 2.8541557762676428e-05, 'epoch': 0.16}
{'loss': 1.1896, 'grad_norm': 3.5033607482910156, 'learning_rate': 2.8529494551449595e-05, 'epoch': 0.16}
{'loss': 1.2129, 'grad_norm': 4.14617395401001, 'learning_rate': 2.8517431340222768e-05, 'epoch': 0.16}
{'loss': 1.2551, 'grad_norm': 2.72965931892395, 'learning_rate': 2.8505368128995937e-05, 'epoch': 0.16}
{'loss': 1.1859, 'grad_norm': 3.2533180713653564, 'learning_rate': 2.849330491776911e-05, 'epoch': 0.16}
{'loss': 1.1798, 'grad_norm': 2.8084828853607178, 'learning_rate': 2.8481241706542284e-05, 'epoch': 0.16}
{'loss': 1.214, 'grad_norm': 3.155818462371826, 'learning_rate': 2.8469178495315453e-05, 'epoch': 0.16}
{'loss': 1.177, 'grad_norm': 2.7658448219299316, 'learning_rate': 2.8457115284088627e-05, 'epoch': 0.17}
{'loss': 1.2134, 'grad_norm': 2.922373056411743, 'learning_rate': 2.84450520728618e-05, 'epoch': 0.17}
{'loss': 1.1572, 'grad_norm': 2.9000587463378906, 'learning_rate': 2.8432988861634966e-05, 'epoch': 0.17}
{'loss': 1.2167, 'grad_norm': 4.395987033843994, 'learning_rate': 2.842092565040814e-05, 'epoch': 0.17}
{'loss': 1.19, 'grad_norm': 2.976578950881958, 'learning_rate': 2.840886243918131e-05, 'epoch': 0.17}
{'loss': 1.141, 'grad_norm': 2.519343137741089, 'learning_rate': 2.8396799227954482e-05, 'epoch': 0.17}
{'loss': 1.1954, 'grad_norm': 2.8838138580322266, 'learning_rate': 2.8384736016727655e-05, 'epoch': 0.17}
{'loss': 1.2308, 'grad_norm': 2.653329849243164, 'learning_rate': 2.8372672805500825e-05, 'epoch': 0.17}
{'loss': 1.2624, 'grad_norm': 2.461439371109009, 'learning_rate': 2.8360609594273998e-05, 'epoch': 0.18}
{'loss': 1.2014, 'grad_norm': 2.4295592308044434, 'learning_rate': 2.8348546383047168e-05, 'epoch': 0.18}
{'loss': 1.1977, 'grad_norm': 2.544816255569458, 'learning_rate': 2.8336483171820338e-05, 'epoch': 0.18}
{'loss': 1.2032, 'grad_norm': 3.06707763671875, 'learning_rate': 2.832441996059351e-05, 'epoch': 0.18}
{'loss': 1.2116, 'grad_norm': 3.7675437927246094, 'learning_rate': 2.831235674936668e-05, 'epoch': 0.18}
{'loss': 1.1766, 'grad_norm': 3.069058895111084, 'learning_rate': 2.8300293538139854e-05, 'epoch': 0.18}
{'loss': 1.184, 'grad_norm': 2.8357627391815186, 'learning_rate': 2.8288230326913023e-05, 'epoch': 0.18}
{'loss': 1.1678, 'grad_norm': 2.623751640319824, 'learning_rate': 2.8276167115686196e-05, 'epoch': 0.18}
{'loss': 1.2185, 'grad_norm': 2.913203001022339, 'learning_rate': 2.826410390445937e-05, 'epoch': 0.19}
{'loss': 1.1726, 'grad_norm': 3.063725233078003, 'learning_rate': 2.825204069323254e-05, 'epoch': 0.19}
{'loss': 1.1218, 'grad_norm': 3.411050796508789, 'learning_rate': 2.8239977482005712e-05, 'epoch': 0.19}
{'loss': 1.1379, 'grad_norm': 3.589996814727783, 'learning_rate': 2.8227914270778882e-05, 'epoch': 0.19}
{'loss': 1.1374, 'grad_norm': 2.9896657466888428, 'learning_rate': 2.8215851059552052e-05, 'epoch': 0.19}
{'loss': 1.1768, 'grad_norm': 2.896535634994507, 'learning_rate': 2.8203787848325225e-05, 'epoch': 0.19}
{'loss': 1.1837, 'grad_norm': 2.947843074798584, 'learning_rate': 2.8191724637098395e-05, 'epoch': 0.19}
{'loss': 1.223, 'grad_norm': 2.5519959926605225, 'learning_rate': 2.8179661425871568e-05, 'epoch': 0.19}
{'loss': 1.1541, 'grad_norm': 2.714463472366333, 'learning_rate': 2.816759821464474e-05, 'epoch': 0.19}
{'loss': 1.1655, 'grad_norm': 2.7553255558013916, 'learning_rate': 2.815553500341791e-05, 'epoch': 0.2}
{'loss': 1.2248, 'grad_norm': 3.16828989982605, 'learning_rate': 2.8143471792191084e-05, 'epoch': 0.2}
{'loss': 1.2075, 'grad_norm': 2.1743533611297607, 'learning_rate': 2.813140858096425e-05, 'epoch': 0.2}
{'loss': 1.1854, 'grad_norm': 2.789656639099121, 'learning_rate': 2.8119345369737424e-05, 'epoch': 0.2}
{'loss': 1.1702, 'grad_norm': 3.018982172012329, 'learning_rate': 2.8107282158510597e-05, 'epoch': 0.2}
{'loss': 1.1456, 'grad_norm': 3.103595495223999, 'learning_rate': 2.8095218947283766e-05, 'epoch': 0.2}
{'loss': 1.1698, 'grad_norm': 2.7387607097625732, 'learning_rate': 2.808315573605694e-05, 'epoch': 0.2}
{'loss': 1.1758, 'grad_norm': 2.638671636581421, 'learning_rate': 2.807109252483011e-05, 'epoch': 0.2}
{'loss': 1.1589, 'grad_norm': 2.649474620819092, 'learning_rate': 2.8059029313603282e-05, 'epoch': 0.21}
