                                                                                                                                                                                              
{'loss': 2.8399, 'grad_norm': 1.1094379425048828, 'learning_rate': 2.7e-06, 'epoch': 0.02}
{'loss': 2.8094, 'grad_norm': 1.2220977544784546, 'learning_rate': 5.7000000000000005e-06, 'epoch': 0.04}
{'loss': 2.8026, 'grad_norm': 1.387528419494629, 'learning_rate': 8.7e-06, 'epoch': 0.06}
{'loss': 2.8175, 'grad_norm': 1.1705507040023804, 'learning_rate': 1.1700000000000001e-05, 'epoch': 0.08}
{'loss': 2.7471, 'grad_norm': 1.2309848070144653, 'learning_rate': 1.47e-05, 'epoch': 0.09}
{'loss': 2.6316, 'grad_norm': 1.594820499420166, 'learning_rate': 1.77e-05, 'epoch': 0.11}
{'loss': 2.596, 'grad_norm': 1.7081929445266724, 'learning_rate': 2.07e-05, 'epoch': 0.13}
{'loss': 2.4656, 'grad_norm': 1.7112157344818115, 'learning_rate': 2.37e-05, 'epoch': 0.15}
{'loss': 2.3691, 'grad_norm': 1.8878610134124756, 'learning_rate': 2.6700000000000002e-05, 'epoch': 0.17}
{'loss': 2.1244, 'grad_norm': 2.450871706008911, 'learning_rate': 2.97e-05, 'epoch': 0.19}
{'loss': 1.8726, 'grad_norm': 2.8185551166534424, 'learning_rate': 2.9965801139962003e-05, 'epoch': 0.21}
{'loss': 1.5775, 'grad_norm': 3.1246769428253174, 'learning_rate': 2.9927802406586447e-05, 'epoch': 0.23}
{'loss': 1.4961, 'grad_norm': 2.5108232498168945, 'learning_rate': 2.9889803673210895e-05, 'epoch': 0.24}
{'loss': 1.2594, 'grad_norm': 1.9887381792068481, 'learning_rate': 2.985180493983534e-05, 'epoch': 0.26}
{'loss': 1.2494, 'grad_norm': 2.8004441261291504, 'learning_rate': 2.9813806206459787e-05, 'epoch': 0.28}
{'loss': 1.1626, 'grad_norm': 1.620752215385437, 'learning_rate': 2.977580747308423e-05, 'epoch': 0.3}
{'loss': 1.1554, 'grad_norm': 1.4732372760772705, 'learning_rate': 2.973780873970868e-05, 'epoch': 0.32}
{'loss': 1.1579, 'grad_norm': 1.4307116270065308, 'learning_rate': 2.9699810006333124e-05, 'epoch': 0.34}
{'loss': 1.0208, 'grad_norm': 1.212185025215149, 'learning_rate': 2.9661811272957568e-05, 'epoch': 0.36}
{'loss': 1.064, 'grad_norm': 1.481795072555542, 'learning_rate': 2.9623812539582012e-05, 'epoch': 0.38}
{'loss': 1.0434, 'grad_norm': 1.464186668395996, 'learning_rate': 2.958581380620646e-05, 'epoch': 0.39}
