                                                                                                                                                                                                                 
{'loss': 3.4358, 'grad_norm': 1.6356604099273682, 'learning_rate': 2.7e-06, 'epoch': 0.0}
{'loss': 3.508, 'grad_norm': 1.6478530168533325, 'learning_rate': 5.7000000000000005e-06, 'epoch': 0.0}
{'loss': 3.4768, 'grad_norm': 1.499620795249939, 'learning_rate': 8.7e-06, 'epoch': 0.0}
{'loss': 3.4399, 'grad_norm': 1.4761016368865967, 'learning_rate': 1.1700000000000001e-05, 'epoch': 0.0}
{'loss': 3.3971, 'grad_norm': 1.5773042440414429, 'learning_rate': 1.47e-05, 'epoch': 0.01}
{'loss': 3.3916, 'grad_norm': 1.5374075174331665, 'learning_rate': 1.77e-05, 'epoch': 0.01}
{'loss': 3.1998, 'grad_norm': 1.9481515884399414, 'learning_rate': 2.07e-05, 'epoch': 0.01}
{'loss': 3.1257, 'grad_norm': 2.063148260116577, 'learning_rate': 2.37e-05, 'epoch': 0.01}
{'loss': 2.8737, 'grad_norm': 2.382978677749634, 'learning_rate': 2.6700000000000002e-05, 'epoch': 0.01}
{'loss': 2.6568, 'grad_norm': 2.6205005645751953, 'learning_rate': 2.97e-05, 'epoch': 0.01}
{'loss': 2.3795, 'grad_norm': 3.3479576110839844, 'learning_rate': 2.9989143109895855e-05, 'epoch': 0.01}
{'loss': 2.0833, 'grad_norm': 2.8395771980285645, 'learning_rate': 2.997707989866903e-05, 'epoch': 0.01}
{'loss': 1.8169, 'grad_norm': 3.247994899749756, 'learning_rate': 2.9965016687442198e-05, 'epoch': 0.02}
{'loss': 1.687, 'grad_norm': 2.483731269836426, 'learning_rate': 2.9952953476215368e-05, 'epoch': 0.02}
{'loss': 1.5726, 'grad_norm': 3.453052282333374, 'learning_rate': 2.994089026498854e-05, 'epoch': 0.02}
{'loss': 1.3906, 'grad_norm': 2.409130334854126, 'learning_rate': 2.992882705376171e-05, 'epoch': 0.02}
{'loss': 1.4046, 'grad_norm': 1.9381115436553955, 'learning_rate': 2.9916763842534884e-05, 'epoch': 0.02}
{'loss': 1.3976, 'grad_norm': 2.2987771034240723, 'learning_rate': 2.9904700631308054e-05, 'epoch': 0.02}
{'loss': 1.4163, 'grad_norm': 1.884333610534668, 'learning_rate': 2.9892637420081227e-05, 'epoch': 0.02}
{'loss': 1.3762, 'grad_norm': 2.4653539657592773, 'learning_rate': 2.98805742088544e-05, 'epoch': 0.02}
{'loss': 1.3996, 'grad_norm': 1.780578374862671, 'learning_rate': 2.986851099762757e-05, 'epoch': 0.03}
{'loss': 1.3904, 'grad_norm': 2.289854049682617, 'learning_rate': 2.985644778640074e-05, 'epoch': 0.03}
{'loss': 1.3898, 'grad_norm': 1.9651415348052979, 'learning_rate': 2.9844384575173913e-05, 'epoch': 0.03}
{'loss': 1.3204, 'grad_norm': 2.1148476600646973, 'learning_rate': 2.9832321363947082e-05, 'epoch': 0.03}
{'loss': 1.3663, 'grad_norm': 2.7151269912719727, 'learning_rate': 2.9820258152720255e-05, 'epoch': 0.03}
{'loss': 1.3814, 'grad_norm': 2.975978374481201, 'learning_rate': 2.9808194941493425e-05, 'epoch': 0.03}
{'loss': 1.269, 'grad_norm': 2.8652048110961914, 'learning_rate': 2.9796131730266598e-05, 'epoch': 0.03}
{'loss': 1.3665, 'grad_norm': 2.0454177856445312, 'learning_rate': 2.978406851903977e-05, 'epoch': 0.03}
{'loss': 1.2644, 'grad_norm': 2.449887990951538, 'learning_rate': 2.977200530781294e-05, 'epoch': 0.03}
{'loss': 1.3696, 'grad_norm': 2.392212152481079, 'learning_rate': 2.9759942096586114e-05, 'epoch': 0.04}
{'loss': 1.3183, 'grad_norm': 2.532525062561035, 'learning_rate': 2.974787888535928e-05, 'epoch': 0.04}
{'loss': 1.3077, 'grad_norm': 2.4599335193634033, 'learning_rate': 2.9735815674132454e-05, 'epoch': 0.04}
{'loss': 1.3115, 'grad_norm': 2.8134970664978027, 'learning_rate': 2.9723752462905627e-05, 'epoch': 0.04}
{'loss': 1.3665, 'grad_norm': 2.86922025680542, 'learning_rate': 2.9711689251678797e-05, 'epoch': 0.04}
{'loss': 1.336, 'grad_norm': 2.154834270477295, 'learning_rate': 2.969962604045197e-05, 'epoch': 0.04}
{'loss': 1.241, 'grad_norm': 2.722572088241577, 'learning_rate': 2.968756282922514e-05, 'epoch': 0.04}
{'loss': 1.2526, 'grad_norm': 3.5805208683013916, 'learning_rate': 2.9675499617998313e-05, 'epoch': 0.04}
{'loss': 1.2757, 'grad_norm': 3.475782632827759, 'learning_rate': 2.9663436406771486e-05, 'epoch': 0.05}
{'loss': 1.282, 'grad_norm': 3.9300997257232666, 'learning_rate': 2.9651373195544652e-05, 'epoch': 0.05}
{'loss': 1.2299, 'grad_norm': 4.978875160217285, 'learning_rate': 2.9639309984317825e-05, 'epoch': 0.05}
{'loss': 1.2578, 'grad_norm': 2.831456422805786, 'learning_rate': 2.9627246773091e-05, 'epoch': 0.05}
{'loss': 1.2432, 'grad_norm': 4.581047058105469, 'learning_rate': 2.9615183561864168e-05, 'epoch': 0.05}
{'loss': 1.2777, 'grad_norm': 3.067068338394165, 'learning_rate': 2.960312035063734e-05, 'epoch': 0.05}
{'loss': 1.2726, 'grad_norm': 3.9223921298980713, 'learning_rate': 2.959105713941051e-05, 'epoch': 0.05}
{'loss': 1.2983, 'grad_norm': 2.735332727432251, 'learning_rate': 2.9578993928183684e-05, 'epoch': 0.05}
{'loss': 1.2477, 'grad_norm': 3.4082462787628174, 'learning_rate': 2.9566930716956857e-05, 'epoch': 0.06}
{'loss': 1.2271, 'grad_norm': 2.8860857486724854, 'learning_rate': 2.9554867505730027e-05, 'epoch': 0.06}
{'loss': 1.242, 'grad_norm': 4.297685623168945, 'learning_rate': 2.9542804294503197e-05, 'epoch': 0.06}
{'loss': 1.2889, 'grad_norm': 2.971956729888916, 'learning_rate': 2.9530741083276367e-05, 'epoch': 0.06}
{'loss': 1.2079, 'grad_norm': 3.7332370281219482, 'learning_rate': 2.951867787204954e-05, 'epoch': 0.06}
{'loss': 1.2534, 'grad_norm': 2.5436880588531494, 'learning_rate': 2.9506614660822713e-05, 'epoch': 0.06}
{'loss': 1.2328, 'grad_norm': 3.360830783843994, 'learning_rate': 2.9494551449595883e-05, 'epoch': 0.06}
{'loss': 1.2553, 'grad_norm': 3.571169137954712, 'learning_rate': 2.9482488238369056e-05, 'epoch': 0.06}
{'loss': 1.2103, 'grad_norm': 4.080465316772461, 'learning_rate': 2.9470425027142225e-05, 'epoch': 0.06}
{'loss': 1.2024, 'grad_norm': 2.5470800399780273, 'learning_rate': 2.94583618159154e-05, 'epoch': 0.07}
{'loss': 1.2455, 'grad_norm': 3.557190179824829, 'learning_rate': 2.944629860468857e-05, 'epoch': 0.07}
{'loss': 1.289, 'grad_norm': 4.857729434967041, 'learning_rate': 2.9434235393461738e-05, 'epoch': 0.07}
{'loss': 1.2101, 'grad_norm': 5.1125688552856445, 'learning_rate': 2.942217218223491e-05, 'epoch': 0.07}
{'loss': 1.2749, 'grad_norm': 3.097302198410034, 'learning_rate': 2.9410108971008084e-05, 'epoch': 0.07}
{'loss': 1.2716, 'grad_norm': 4.489323139190674, 'learning_rate': 2.9398045759781254e-05, 'epoch': 0.07}
{'loss': 1.1782, 'grad_norm': 4.920882225036621, 'learning_rate': 2.9385982548554427e-05, 'epoch': 0.07}
{'loss': 1.2189, 'grad_norm': 3.8641903400421143, 'learning_rate': 2.9373919337327597e-05, 'epoch': 0.07}
{'loss': 1.2214, 'grad_norm': 3.2635018825531006, 'learning_rate': 2.936185612610077e-05, 'epoch': 0.08}
{'loss': 1.2094, 'grad_norm': 5.973597526550293, 'learning_rate': 2.934979291487394e-05, 'epoch': 0.08}
{'loss': 1.1915, 'grad_norm': 3.089153528213501, 'learning_rate': 2.933772970364711e-05, 'epoch': 0.08}
