                                                                                                                                                                  
{'loss': 3.8523, 'grad_norm': 2.2439193725585938, 'learning_rate': 2.7e-06, 'epoch': 0.0}
{'loss': 3.8315, 'grad_norm': 2.1270856857299805, 'learning_rate': 5.7000000000000005e-06, 'epoch': 0.01}
{'loss': 3.7844, 'grad_norm': 2.0917789936065674, 'learning_rate': 8.400000000000001e-06, 'epoch': 0.01}
{'loss': 3.7719, 'grad_norm': 2.099583387374878, 'learning_rate': 1.1400000000000001e-05, 'epoch': 0.02}
{'loss': 3.7045, 'grad_norm': 2.098783016204834, 'learning_rate': 1.44e-05, 'epoch': 0.02}
{'loss': 3.5445, 'grad_norm': 2.1914336681365967, 'learning_rate': 1.74e-05, 'epoch': 0.03}
{'loss': 3.4395, 'grad_norm': 2.4008970260620117, 'learning_rate': 2.04e-05, 'epoch': 0.03}
{'loss': 3.2564, 'grad_norm': 2.646775245666504, 'learning_rate': 2.3400000000000003e-05, 'epoch': 0.03}
{'loss': 3.0029, 'grad_norm': 2.8657212257385254, 'learning_rate': 2.64e-05, 'epoch': 0.04}
{'loss': 2.6844, 'grad_norm': 3.165053129196167, 'learning_rate': 2.94e-05, 'epoch': 0.04}
{'loss': 2.3384, 'grad_norm': 3.6331276893615723, 'learning_rate': 2.9979193758127437e-05, 'epoch': 0.05}
{'loss': 1.9197, 'grad_norm': 4.566567897796631, 'learning_rate': 2.995318595578674e-05, 'epoch': 0.05}
{'loss': 1.4856, 'grad_norm': 3.8959412574768066, 'learning_rate': 2.9927178153446036e-05, 'epoch': 0.06}
{'loss': 1.2154, 'grad_norm': 3.5852532386779785, 'learning_rate': 2.9901170351105333e-05, 'epoch': 0.06}
{'loss': 1.0908, 'grad_norm': 2.251152515411377, 'learning_rate': 2.987516254876463e-05, 'epoch': 0.06}
{'loss': 0.9624, 'grad_norm': 2.477384328842163, 'learning_rate': 2.984915474642393e-05, 'epoch': 0.07}
{'loss': 0.9393, 'grad_norm': 1.6339043378829956, 'learning_rate': 2.9823146944083226e-05, 'epoch': 0.07}
{'loss': 0.9549, 'grad_norm': 1.3877806663513184, 'learning_rate': 2.9797139141742524e-05, 'epoch': 0.08}
{'loss': 0.955, 'grad_norm': 1.8207998275756836, 'learning_rate': 2.977113133940182e-05, 'epoch': 0.08}
{'loss': 0.9096, 'grad_norm': 1.221486210823059, 'learning_rate': 2.974512353706112e-05, 'epoch': 0.09}
{'loss': 0.9851, 'grad_norm': 1.6938754320144653, 'learning_rate': 2.9719115734720416e-05, 'epoch': 0.09}
{'loss': 0.9584, 'grad_norm': 2.2557573318481445, 'learning_rate': 2.9693107932379714e-05, 'epoch': 0.09}
{'loss': 0.9186, 'grad_norm': 1.5922590494155884, 'learning_rate': 2.966710013003901e-05, 'epoch': 0.1}
{'loss': 0.9183, 'grad_norm': 2.7211382389068604, 'learning_rate': 2.964109232769831e-05, 'epoch': 0.1}
{'loss': 0.9253, 'grad_norm': 2.013387680053711, 'learning_rate': 2.961508452535761e-05, 'epoch': 0.11}
{'loss': 0.9193, 'grad_norm': 1.8031048774719238, 'learning_rate': 2.9589076723016907e-05, 'epoch': 0.11}
{'loss': 0.9005, 'grad_norm': 1.9260324239730835, 'learning_rate': 2.9563068920676205e-05, 'epoch': 0.12}
{'loss': 0.9417, 'grad_norm': 1.6062299013137817, 'learning_rate': 2.9537061118335502e-05, 'epoch': 0.12}
{'loss': 0.9025, 'grad_norm': 2.0572381019592285, 'learning_rate': 2.95110533159948e-05, 'epoch': 0.12}
{'loss': 0.9053, 'grad_norm': 1.6503078937530518, 'learning_rate': 2.9485045513654097e-05, 'epoch': 0.13}
{'loss': 0.9321, 'grad_norm': 1.9801955223083496, 'learning_rate': 2.9459037711313395e-05, 'epoch': 0.13}
{'loss': 0.872, 'grad_norm': 1.8264697790145874, 'learning_rate': 2.9433029908972693e-05, 'epoch': 0.14}
{'loss': 0.9091, 'grad_norm': 2.2063682079315186, 'learning_rate': 2.940702210663199e-05, 'epoch': 0.14}
{'loss': 0.8944, 'grad_norm': 2.4447221755981445, 'learning_rate': 2.9381014304291288e-05, 'epoch': 0.15}
{'loss': 0.9017, 'grad_norm': 2.272000789642334, 'learning_rate': 2.9355006501950585e-05, 'epoch': 0.15}
{'loss': 0.897, 'grad_norm': 1.5556195974349976, 'learning_rate': 2.9328998699609883e-05, 'epoch': 0.15}
{'loss': 0.8921, 'grad_norm': 1.4963613748550415, 'learning_rate': 2.930299089726918e-05, 'epoch': 0.16}
{'loss': 0.9138, 'grad_norm': 1.2491198778152466, 'learning_rate': 2.9276983094928478e-05, 'epoch': 0.16}
{'loss': 0.9234, 'grad_norm': 2.2678825855255127, 'learning_rate': 2.925097529258778e-05, 'epoch': 0.17}
{'loss': 0.9025, 'grad_norm': 1.7287007570266724, 'learning_rate': 2.9224967490247076e-05, 'epoch': 0.17}
{'loss': 0.8964, 'grad_norm': 3.1042118072509766, 'learning_rate': 2.9198959687906374e-05, 'epoch': 0.18}
{'loss': 0.9077, 'grad_norm': 1.8487852811813354, 'learning_rate': 2.917295188556567e-05, 'epoch': 0.18}
{'loss': 0.8892, 'grad_norm': 1.9388614892959595, 'learning_rate': 2.914694408322497e-05, 'epoch': 0.18}
{'loss': 0.9436, 'grad_norm': 2.078889846801758, 'learning_rate': 2.9120936280884266e-05, 'epoch': 0.19}
{'loss': 0.9306, 'grad_norm': 2.1568830013275146, 'learning_rate': 2.9094928478543564e-05, 'epoch': 0.19}
{'loss': 0.8761, 'grad_norm': 1.2709153890609741, 'learning_rate': 2.906892067620286e-05, 'epoch': 0.2}
{'loss': 0.9449, 'grad_norm': 1.471901297569275, 'learning_rate': 2.904291287386216e-05, 'epoch': 0.2}
{'loss': 0.9026, 'grad_norm': 1.8028442859649658, 'learning_rate': 2.9016905071521457e-05, 'epoch': 0.21}
{'loss': 0.8714, 'grad_norm': 1.513261318206787, 'learning_rate': 2.8990897269180754e-05, 'epoch': 0.21}
{'loss': 0.8932, 'grad_norm': 1.2649246454238892, 'learning_rate': 2.896488946684005e-05, 'epoch': 0.21}
