                                                                                                                                                       
{'loss': 3.3558, 'grad_norm': 1.756215214729309, 'learning_rate': 2.7e-06, 'epoch': 0.01}
{'loss': 3.3034, 'grad_norm': 1.752993106842041, 'learning_rate': 5.7000000000000005e-06, 'epoch': 0.02}
{'loss': 3.2912, 'grad_norm': 1.7655502557754517, 'learning_rate': 8.7e-06, 'epoch': 0.02}
{'loss': 3.2783, 'grad_norm': 1.3982210159301758, 'learning_rate': 1.1700000000000001e-05, 'epoch': 0.03}
{'loss': 3.2416, 'grad_norm': 1.6441909074783325, 'learning_rate': 1.47e-05, 'epoch': 0.04}
{'loss': 3.1066, 'grad_norm': 1.5710030794143677, 'learning_rate': 1.77e-05, 'epoch': 0.05}
{'loss': 3.0285, 'grad_norm': 1.9287712574005127, 'learning_rate': 2.07e-05, 'epoch': 0.06}
{'loss': 2.9188, 'grad_norm': 2.0362753868103027, 'learning_rate': 2.37e-05, 'epoch': 0.07}
{'loss': 2.7159, 'grad_norm': 2.1672632694244385, 'learning_rate': 2.6700000000000002e-05, 'epoch': 0.07}
{'loss': 2.4579, 'grad_norm': 2.4566586017608643, 'learning_rate': 2.97e-05, 'epoch': 0.08}
{'loss': 2.2011, 'grad_norm': 2.895225763320923, 'learning_rate': 2.9923512747875356e-05, 'epoch': 0.09}
{'loss': 1.9867, 'grad_norm': 3.7146999835968018, 'learning_rate': 2.9838526912181304e-05, 'epoch': 0.1}
{'loss': 1.6824, 'grad_norm': 2.5795164108276367, 'learning_rate': 2.9753541076487252e-05, 'epoch': 0.11}
{'loss': 1.5286, 'grad_norm': 2.636284112930298, 'learning_rate': 2.96685552407932e-05, 'epoch': 0.12}
{'loss': 1.3347, 'grad_norm': 2.8281455039978027, 'learning_rate': 2.9583569405099153e-05, 'epoch': 0.12}
{'loss': 1.2909, 'grad_norm': 2.061628580093384, 'learning_rate': 2.9498583569405098e-05, 'epoch': 0.13}
{'loss': 1.311, 'grad_norm': 1.5762178897857666, 'learning_rate': 2.941359773371105e-05, 'epoch': 0.14}
{'loss': 1.263, 'grad_norm': 1.7008037567138672, 'learning_rate': 2.9328611898016998e-05, 'epoch': 0.15}
{'loss': 1.3214, 'grad_norm': 1.8857333660125732, 'learning_rate': 2.9243626062322946e-05, 'epoch': 0.16}
{'loss': 1.3044, 'grad_norm': 1.4929569959640503, 'learning_rate': 2.9158640226628895e-05, 'epoch': 0.17}
{'loss': 1.3358, 'grad_norm': 1.3408827781677246, 'learning_rate': 2.9073654390934846e-05, 'epoch': 0.17}
{'loss': 1.2749, 'grad_norm': 1.6168785095214844, 'learning_rate': 2.8988668555240795e-05, 'epoch': 0.18}
{'loss': 1.2767, 'grad_norm': 1.6387059688568115, 'learning_rate': 2.8903682719546743e-05, 'epoch': 0.19}
{'loss': 1.3062, 'grad_norm': 1.7577881813049316, 'learning_rate': 2.881869688385269e-05, 'epoch': 0.2}
{'loss': 1.2996, 'grad_norm': 1.4629862308502197, 'learning_rate': 2.873371104815864e-05, 'epoch': 0.21}
{'loss': 1.2563, 'grad_norm': 1.6897460222244263, 'learning_rate': 2.8648725212464592e-05, 'epoch': 0.22}
{'loss': 1.2537, 'grad_norm': 2.6333374977111816, 'learning_rate': 2.8563739376770537e-05, 'epoch': 0.22}
{'loss': 1.2138, 'grad_norm': 1.8025819063186646, 'learning_rate': 2.847875354107649e-05, 'epoch': 0.23}
{'loss': 1.2877, 'grad_norm': 1.747097373008728, 'learning_rate': 2.8393767705382437e-05, 'epoch': 0.24}
