                                                                                                                                                       
{'loss': 2.8165, 'grad_norm': 1.1202815771102905, 'learning_rate': 2.7e-06, 'epoch': 0.02}
{'loss': 2.8241, 'grad_norm': 1.282605528831482, 'learning_rate': 5.7000000000000005e-06, 'epoch': 0.04}
{'loss': 2.795, 'grad_norm': 1.1786776781082153, 'learning_rate': 8.7e-06, 'epoch': 0.06}
{'loss': 2.8472, 'grad_norm': 1.3664096593856812, 'learning_rate': 1.1700000000000001e-05, 'epoch': 0.08}
{'loss': 2.7466, 'grad_norm': 1.1133095026016235, 'learning_rate': 1.47e-05, 'epoch': 0.09}
{'loss': 2.6504, 'grad_norm': 1.4065557718276978, 'learning_rate': 1.77e-05, 'epoch': 0.11}
{'loss': 2.6131, 'grad_norm': 1.7345391511917114, 'learning_rate': 2.07e-05, 'epoch': 0.13}
{'loss': 2.5351, 'grad_norm': 1.5699130296707153, 'learning_rate': 2.37e-05, 'epoch': 0.15}
{'loss': 2.3406, 'grad_norm': 1.9949438571929932, 'learning_rate': 2.6700000000000002e-05, 'epoch': 0.17}
{'loss': 2.1522, 'grad_norm': 2.472611427307129, 'learning_rate': 2.97e-05, 'epoch': 0.19}
{'loss': 1.8667, 'grad_norm': 2.6940503120422363, 'learning_rate': 2.9894736842105264e-05, 'epoch': 0.21}
{'loss': 1.6395, 'grad_norm': 2.631016254425049, 'learning_rate': 2.9777777777777777e-05, 'epoch': 0.23}
{'loss': 1.4721, 'grad_norm': 2.3752858638763428, 'learning_rate': 2.9660818713450293e-05, 'epoch': 0.24}
{'loss': 1.2358, 'grad_norm': 1.7891391515731812, 'learning_rate': 2.9543859649122806e-05, 'epoch': 0.26}
{'loss': 1.2231, 'grad_norm': 2.395554542541504, 'learning_rate': 2.9426900584795322e-05, 'epoch': 0.28}
{'loss': 1.1338, 'grad_norm': 1.5866427421569824, 'learning_rate': 2.9309941520467835e-05, 'epoch': 0.3}
{'loss': 1.1657, 'grad_norm': 1.8508955240249634, 'learning_rate': 2.919298245614035e-05, 'epoch': 0.32}
{'loss': 1.1155, 'grad_norm': 3.399611234664917, 'learning_rate': 2.9076023391812864e-05, 'epoch': 0.34}
{'loss': 1.0131, 'grad_norm': 1.3900465965270996, 'learning_rate': 2.895906432748538e-05, 'epoch': 0.36}
{'loss': 1.1262, 'grad_norm': 1.222495436668396, 'learning_rate': 2.8842105263157897e-05, 'epoch': 0.38}
{'loss': 1.1066, 'grad_norm': 1.7063308954238892, 'learning_rate': 2.872514619883041e-05, 'epoch': 0.39}
{'loss': 1.0642, 'grad_norm': 1.3656322956085205, 'learning_rate': 2.8608187134502926e-05, 'epoch': 0.41}
{'loss': 1.0222, 'grad_norm': 1.4196778535842896, 'learning_rate': 2.849122807017544e-05, 'epoch': 0.43}
{'loss': 1.1129, 'grad_norm': 1.4950852394104004, 'learning_rate': 2.8374269005847955e-05, 'epoch': 0.45}
{'loss': 1.0533, 'grad_norm': 1.4057639837265015, 'learning_rate': 2.8257309941520468e-05, 'epoch': 0.47}
{'loss': 1.0232, 'grad_norm': 1.5042389631271362, 'learning_rate': 2.8140350877192984e-05, 'epoch': 0.49}
{'loss': 1.0451, 'grad_norm': 1.5826506614685059, 'learning_rate': 2.8023391812865497e-05, 'epoch': 0.51}
{'loss': 1.0618, 'grad_norm': 1.4087214469909668, 'learning_rate': 2.7906432748538013e-05, 'epoch': 0.53}
{'loss': 1.0691, 'grad_norm': 1.649901270866394, 'learning_rate': 2.7789473684210526e-05, 'epoch': 0.54}
{'loss': 1.1502, 'grad_norm': 1.2997617721557617, 'learning_rate': 2.7672514619883042e-05, 'epoch': 0.56}
{'loss': 1.0637, 'grad_norm': 1.2227699756622314, 'learning_rate': 2.7555555555555555e-05, 'epoch': 0.58}
{'loss': 1.0155, 'grad_norm': 1.534529209136963, 'learning_rate': 2.743859649122807e-05, 'epoch': 0.6}
{'loss': 1.0909, 'grad_norm': 1.3677250146865845, 'learning_rate': 2.7321637426900584e-05, 'epoch': 0.62}
{'loss': 1.0056, 'grad_norm': 1.306428074836731, 'learning_rate': 2.72046783625731e-05, 'epoch': 0.64}
{'loss': 1.0213, 'grad_norm': 1.3206686973571777, 'learning_rate': 2.7087719298245613e-05, 'epoch': 0.66}
{'loss': 1.0881, 'grad_norm': 1.320477843284607, 'learning_rate': 2.697076023391813e-05, 'epoch': 0.68}
{'loss': 1.0384, 'grad_norm': 1.7826400995254517, 'learning_rate': 2.6853801169590643e-05, 'epoch': 0.69}
{'loss': 1.0948, 'grad_norm': 1.3410555124282837, 'learning_rate': 2.673684210526316e-05, 'epoch': 0.71}
{'loss': 1.0217, 'grad_norm': 0.943024754524231, 'learning_rate': 2.6619883040935672e-05, 'epoch': 0.73}
{'loss': 1.024, 'grad_norm': 1.2511401176452637, 'learning_rate': 2.6502923976608188e-05, 'epoch': 0.75}
{'loss': 1.088, 'grad_norm': 1.409589409828186, 'learning_rate': 2.63859649122807e-05, 'epoch': 0.77}
