                                                                                                                                                                             
{'loss': 3.1167, 'grad_norm': 1.336616039276123, 'learning_rate': 2.7e-06, 'epoch': 0.0}
{'loss': 3.2348, 'grad_norm': 2.0778236389160156, 'learning_rate': 5.7000000000000005e-06, 'epoch': 0.01}
{'loss': 2.87, 'grad_norm': 1.117733359336853, 'learning_rate': 8.7e-06, 'epoch': 0.01}
{'loss': 3.0879, 'grad_norm': 1.6424542665481567, 'learning_rate': 1.1700000000000001e-05, 'epoch': 0.01}
{'loss': 2.8449, 'grad_norm': 1.2395447492599487, 'learning_rate': 1.47e-05, 'epoch': 0.01}
{'loss': 2.7722, 'grad_norm': 1.4522346258163452, 'learning_rate': 1.77e-05, 'epoch': 0.02}
{'loss': 2.7898, 'grad_norm': 1.742368459701538, 'learning_rate': 2.07e-05, 'epoch': 0.02}
{'loss': 2.5757, 'grad_norm': 1.4795271158218384, 'learning_rate': 2.37e-05, 'epoch': 0.02}
{'loss': 2.3894, 'grad_norm': 1.2638542652130127, 'learning_rate': 2.6700000000000002e-05, 'epoch': 0.02}
{'loss': 2.3161, 'grad_norm': 1.8540011644363403, 'learning_rate': 2.97e-05, 'epoch': 0.03}
{'loss': 2.2068, 'grad_norm': 2.472282648086548, 'learning_rate': 2.9986428750942448e-05, 'epoch': 0.03}
{'loss': 1.9669, 'grad_norm': 2.658179759979248, 'learning_rate': 2.9971349585322948e-05, 'epoch': 0.03}
{'loss': 1.72, 'grad_norm': 2.579451560974121, 'learning_rate': 2.9956270419703444e-05, 'epoch': 0.03}
{'loss': 1.4656, 'grad_norm': 2.2256360054016113, 'learning_rate': 2.994119125408394e-05, 'epoch': 0.04}
{'loss': 1.366, 'grad_norm': 3.0719292163848877, 'learning_rate': 2.992611208846444e-05, 'epoch': 0.04}
{'loss': 1.2083, 'grad_norm': 1.8937184810638428, 'learning_rate': 2.9911032922844937e-05, 'epoch': 0.04}
{'loss': 1.1955, 'grad_norm': 2.2564327716827393, 'learning_rate': 2.9895953757225433e-05, 'epoch': 0.04}
{'loss': 1.1965, 'grad_norm': 1.7596596479415894, 'learning_rate': 2.988087459160593e-05, 'epoch': 0.05}
{'loss': 1.2164, 'grad_norm': 2.272094249725342, 'learning_rate': 2.986579542598643e-05, 'epoch': 0.05}
{'loss': 1.1882, 'grad_norm': 1.9827511310577393, 'learning_rate': 2.985071626036693e-05, 'epoch': 0.05}
{'loss': 1.1087, 'grad_norm': 1.521257996559143, 'learning_rate': 2.9835637094747422e-05, 'epoch': 0.05}
{'loss': 1.2272, 'grad_norm': 2.800804615020752, 'learning_rate': 2.9820557929127922e-05, 'epoch': 0.06}
