                                                                                                                                                                             
{'loss': 4.271, 'grad_norm': 3.2262184619903564, 'learning_rate': 2.7e-06, 'epoch': 0.05}
{'loss': 4.2567, 'grad_norm': 3.221301317214966, 'learning_rate': 5.7000000000000005e-06, 'epoch': 0.09}
{'loss': 4.2149, 'grad_norm': 3.273289680480957, 'learning_rate': 8.7e-06, 'epoch': 0.14}
{'loss': 4.1389, 'grad_norm': 3.3328475952148438, 'learning_rate': 1.1700000000000001e-05, 'epoch': 0.18}
{'loss': 4.0152, 'grad_norm': 3.760270833969116, 'learning_rate': 1.47e-05, 'epoch': 0.23}
{'loss': 3.8228, 'grad_norm': 4.735976219177246, 'learning_rate': 1.77e-05, 'epoch': 0.27}
{'loss': 3.5315, 'grad_norm': 5.052960395812988, 'learning_rate': 2.07e-05, 'epoch': 0.32}
{'loss': 3.163, 'grad_norm': 4.950183391571045, 'learning_rate': 2.37e-05, 'epoch': 0.36}
{'loss': 2.7004, 'grad_norm': 5.441255569458008, 'learning_rate': 2.6700000000000002e-05, 'epoch': 0.41}
{'loss': 2.1487, 'grad_norm': 5.279714107513428, 'learning_rate': 2.97e-05, 'epoch': 0.45}
{'loss': 1.6203, 'grad_norm': 7.759075164794922, 'learning_rate': 2.9915625e-05, 'epoch': 0.5}
{'loss': 1.2292, 'grad_norm': 3.702158212661743, 'learning_rate': 2.9821874999999998e-05, 'epoch': 0.55}
{'loss': 0.9756, 'grad_norm': 5.645754337310791, 'learning_rate': 2.9728125000000003e-05, 'epoch': 0.59}
{'loss': 0.7686, 'grad_norm': 0.35452747344970703, 'learning_rate': 2.9634375e-05, 'epoch': 0.64}
{'loss': 0.7306, 'grad_norm': 0.18483828008174896, 'learning_rate': 2.9540625e-05, 'epoch': 0.68}
{'loss': 0.7246, 'grad_norm': 0.1431702971458435, 'learning_rate': 2.9446875000000003e-05, 'epoch': 0.73}
{'loss': 0.7207, 'grad_norm': 0.12451247870922089, 'learning_rate': 2.9353125e-05, 'epoch': 0.77}
{'loss': 0.7178, 'grad_norm': 0.11362084746360779, 'learning_rate': 2.9259375e-05, 'epoch': 0.82}
{'loss': 0.7155, 'grad_norm': 0.09908411651849747, 'learning_rate': 2.9165625e-05, 'epoch': 0.86}
{'loss': 0.7139, 'grad_norm': 0.07769176363945007, 'learning_rate': 2.9071875000000004e-05, 'epoch': 0.91}
{'loss': 0.7126, 'grad_norm': 0.058658771216869354, 'learning_rate': 2.8978125e-05, 'epoch': 0.95}
{'loss': 0.7119, 'grad_norm': 0.046722158789634705, 'learning_rate': 2.8884375e-05, 'epoch': 1.0}
{'loss': 0.7115, 'grad_norm': 0.04270189255475998, 'learning_rate': 2.8790625e-05, 'epoch': 1.05}
{'loss': 0.7112, 'grad_norm': 0.04177898168563843, 'learning_rate': 2.8696875e-05, 'epoch': 1.09}
{'loss': 0.7109, 'grad_norm': 0.04291342571377754, 'learning_rate': 2.8603125000000002e-05, 'epoch': 1.14}
{'loss': 0.7107, 'grad_norm': 0.04347534850239754, 'learning_rate': 2.8509375e-05, 'epoch': 1.18}
{'loss': 0.7104, 'grad_norm': 0.04420815780758858, 'learning_rate': 2.8415625e-05, 'epoch': 1.23}
{'loss': 0.7101, 'grad_norm': 0.04491610452532768, 'learning_rate': 2.8321875000000002e-05, 'epoch': 1.27}
{'loss': 0.7098, 'grad_norm': 0.04719921573996544, 'learning_rate': 2.8228125e-05, 'epoch': 1.32}
{'loss': 0.7095, 'grad_norm': 0.048907339572906494, 'learning_rate': 2.8134375e-05, 'epoch': 1.36}
{'loss': 0.7091, 'grad_norm': 0.0499207004904747, 'learning_rate': 2.8040625000000002e-05, 'epoch': 1.41}
{'loss': 0.7087, 'grad_norm': 0.05085679143667221, 'learning_rate': 2.7946875e-05, 'epoch': 1.45}
{'loss': 0.7082, 'grad_norm': 0.05713757872581482, 'learning_rate': 2.7853125e-05, 'epoch': 1.5}
{'loss': 0.7076, 'grad_norm': 0.060226887464523315, 'learning_rate': 2.7759375e-05, 'epoch': 1.55}
{'loss': 0.707, 'grad_norm': 0.06827356666326523, 'learning_rate': 2.7665625000000003e-05, 'epoch': 1.59}
{'loss': 0.7063, 'grad_norm': 0.07566419243812561, 'learning_rate': 2.7571875e-05, 'epoch': 1.64}
{'loss': 0.7054, 'grad_norm': 0.08422645926475525, 'learning_rate': 2.7478125e-05, 'epoch': 1.68}
{'loss': 0.7043, 'grad_norm': 0.09637946635484695, 'learning_rate': 2.7384375e-05, 'epoch': 1.73}
{'loss': 0.7029, 'grad_norm': 0.10653674602508545, 'learning_rate': 2.7290625e-05, 'epoch': 1.77}
{'loss': 0.7012, 'grad_norm': 0.1110888347029686, 'learning_rate': 2.7196875000000002e-05, 'epoch': 1.82}
{'loss': 0.6994, 'grad_norm': 0.1068524494767189, 'learning_rate': 2.7103125e-05, 'epoch': 1.86}
{'loss': 0.6974, 'grad_norm': 0.10287202149629593, 'learning_rate': 2.7009375e-05, 'epoch': 1.91}
{'loss': 0.6955, 'grad_norm': 0.09753187000751495, 'learning_rate': 2.6915625000000002e-05, 'epoch': 1.95}
{'loss': 0.6936, 'grad_norm': 0.08923305571079254, 'learning_rate': 2.6821875e-05, 'epoch': 2.0}
{'loss': 0.6918, 'grad_norm': 0.07714486867189407, 'learning_rate': 2.6728125e-05, 'epoch': 2.05}
{'loss': 0.6902, 'grad_norm': 0.06733009219169617, 'learning_rate': 2.6634375000000002e-05, 'epoch': 2.09}
{'loss': 0.6886, 'grad_norm': 0.06269686669111252, 'learning_rate': 2.6540625e-05, 'epoch': 2.14}
{'loss': 0.6871, 'grad_norm': 0.05934766307473183, 'learning_rate': 2.6446875e-05, 'epoch': 2.18}
{'loss': 0.6856, 'grad_norm': 0.06064564362168312, 'learning_rate': 2.6353125e-05, 'epoch': 2.23}
{'loss': 0.684, 'grad_norm': 0.060373369604349136, 'learning_rate': 2.6259375000000003e-05, 'epoch': 2.27}
{'loss': 0.6823, 'grad_norm': 0.06047175079584122, 'learning_rate': 2.6165625e-05, 'epoch': 2.32}
{'loss': 0.6806, 'grad_norm': 0.06366169452667236, 'learning_rate': 2.6071875e-05, 'epoch': 2.36}
{'loss': 0.679, 'grad_norm': 0.062235064804553986, 'learning_rate': 2.5978125000000003e-05, 'epoch': 2.41}
{'loss': 0.6772, 'grad_norm': 0.06497540324926376, 'learning_rate': 2.5884375e-05, 'epoch': 2.45}
{'loss': 0.6753, 'grad_norm': 0.06673881411552429, 'learning_rate': 2.5790625000000002e-05, 'epoch': 2.5}
{'loss': 0.6734, 'grad_norm': 0.06807079166173935, 'learning_rate': 2.5696875e-05, 'epoch': 2.55}
{'loss': 0.6713, 'grad_norm': 0.070711649954319, 'learning_rate': 2.5603125e-05, 'epoch': 2.59}
{'loss': 0.6692, 'grad_norm': 0.07279399782419205, 'learning_rate': 2.5509375000000002e-05, 'epoch': 2.64}
{'loss': 0.6669, 'grad_norm': 0.07654078304767609, 'learning_rate': 2.5415625e-05, 'epoch': 2.68}
{'loss': 0.6646, 'grad_norm': 0.08276063948869705, 'learning_rate': 2.5321875e-05, 'epoch': 2.73}
