                                                                                                                                                                             
{'loss': 3.0612, 'grad_norm': 1.848596453666687, 'learning_rate': 2.7e-06, 'epoch': 0.0}
{'loss': 3.0936, 'grad_norm': 1.6933575868606567, 'learning_rate': 5.7000000000000005e-06, 'epoch': 0.01}
{'loss': 3.1926, 'grad_norm': 1.5116249322891235, 'learning_rate': 8.7e-06, 'epoch': 0.01}
{'loss': 2.9335, 'grad_norm': 1.0510804653167725, 'learning_rate': 1.1700000000000001e-05, 'epoch': 0.01}
{'loss': 2.8287, 'grad_norm': 1.0742143392562866, 'learning_rate': 1.47e-05, 'epoch': 0.01}
{'loss': 2.7912, 'grad_norm': 1.2045135498046875, 'learning_rate': 1.77e-05, 'epoch': 0.02}
{'loss': 2.6635, 'grad_norm': 1.7735519409179688, 'learning_rate': 2.07e-05, 'epoch': 0.02}
{'loss': 2.7079, 'grad_norm': 1.5546375513076782, 'learning_rate': 2.37e-05, 'epoch': 0.02}
{'loss': 2.5402, 'grad_norm': 1.4147676229476929, 'learning_rate': 2.6700000000000002e-05, 'epoch': 0.02}
{'loss': 2.3415, 'grad_norm': 1.8263378143310547, 'learning_rate': 2.97e-05, 'epoch': 0.03}
{'loss': 2.1522, 'grad_norm': 2.11407470703125, 'learning_rate': 2.9986428750942448e-05, 'epoch': 0.03}
{'loss': 1.8594, 'grad_norm': 1.9380638599395752, 'learning_rate': 2.9971349585322948e-05, 'epoch': 0.03}
{'loss': 1.7218, 'grad_norm': 2.952100992202759, 'learning_rate': 2.9956270419703444e-05, 'epoch': 0.03}
{'loss': 1.4965, 'grad_norm': 2.6348774433135986, 'learning_rate': 2.994119125408394e-05, 'epoch': 0.04}
{'loss': 1.295, 'grad_norm': 3.6457362174987793, 'learning_rate': 2.992611208846444e-05, 'epoch': 0.04}
{'loss': 1.2809, 'grad_norm': 1.606382131576538, 'learning_rate': 2.9911032922844937e-05, 'epoch': 0.04}
{'loss': 1.2651, 'grad_norm': 1.8128122091293335, 'learning_rate': 2.9895953757225433e-05, 'epoch': 0.04}
{'loss': 1.2441, 'grad_norm': 1.4140881299972534, 'learning_rate': 2.988087459160593e-05, 'epoch': 0.05}
{'loss': 1.2277, 'grad_norm': 1.719605803489685, 'learning_rate': 2.986579542598643e-05, 'epoch': 0.05}
{'loss': 1.1978, 'grad_norm': 1.7955849170684814, 'learning_rate': 2.985071626036693e-05, 'epoch': 0.05}
{'loss': 1.1944, 'grad_norm': 1.8814716339111328, 'learning_rate': 2.9835637094747422e-05, 'epoch': 0.05}
{'loss': 1.1485, 'grad_norm': 1.1452209949493408, 'learning_rate': 2.9820557929127922e-05, 'epoch': 0.06}
{'loss': 1.1825, 'grad_norm': 1.706874966621399, 'learning_rate': 2.9805478763508422e-05, 'epoch': 0.06}
{'loss': 1.1806, 'grad_norm': 1.890178918838501, 'learning_rate': 2.9790399597888918e-05, 'epoch': 0.06}
{'loss': 1.1849, 'grad_norm': 2.3192524909973145, 'learning_rate': 2.9775320432269415e-05, 'epoch': 0.06}
{'loss': 1.1515, 'grad_norm': 1.4285073280334473, 'learning_rate': 2.976024126664991e-05, 'epoch': 0.07}
{'loss': 1.2404, 'grad_norm': 1.683820128440857, 'learning_rate': 2.974516210103041e-05, 'epoch': 0.07}
{'loss': 1.1126, 'grad_norm': 1.6671974658966064, 'learning_rate': 2.973008293541091e-05, 'epoch': 0.07}
{'loss': 1.1921, 'grad_norm': 2.724445104598999, 'learning_rate': 2.9715003769791404e-05, 'epoch': 0.07}
{'loss': 1.2083, 'grad_norm': 1.6673007011413574, 'learning_rate': 2.9699924604171904e-05, 'epoch': 0.08}
{'loss': 1.1809, 'grad_norm': 2.035677671432495, 'learning_rate': 2.96848454385524e-05, 'epoch': 0.08}
{'loss': 1.1418, 'grad_norm': 1.6175267696380615, 'learning_rate': 2.96697662729329e-05, 'epoch': 0.08}
{'loss': 1.1708, 'grad_norm': 1.745935320854187, 'learning_rate': 2.9654687107313396e-05, 'epoch': 0.08}
{'loss': 1.113, 'grad_norm': 1.8633334636688232, 'learning_rate': 2.9639607941693893e-05, 'epoch': 0.09}
{'loss': 1.2098, 'grad_norm': 2.5076026916503906, 'learning_rate': 2.9624528776074392e-05, 'epoch': 0.09}
{'loss': 1.1757, 'grad_norm': 1.793565273284912, 'learning_rate': 2.960944961045489e-05, 'epoch': 0.09}
{'loss': 1.1997, 'grad_norm': 1.4937478303909302, 'learning_rate': 2.9594370444835385e-05, 'epoch': 0.09}
{'loss': 1.1717, 'grad_norm': 1.8020058870315552, 'learning_rate': 2.9579291279215885e-05, 'epoch': 0.1}
{'loss': 1.1643, 'grad_norm': 1.3781818151474, 'learning_rate': 2.956421211359638e-05, 'epoch': 0.1}
{'loss': 1.194, 'grad_norm': 1.4701604843139648, 'learning_rate': 2.9549132947976878e-05, 'epoch': 0.1}
{'loss': 1.1423, 'grad_norm': 2.2095859050750732, 'learning_rate': 2.9534053782357378e-05, 'epoch': 0.1}
{'loss': 1.101, 'grad_norm': 3.4272079467773438, 'learning_rate': 2.9518974616737874e-05, 'epoch': 0.11}
{'loss': 1.1451, 'grad_norm': 2.324846029281616, 'learning_rate': 2.9503895451118374e-05, 'epoch': 0.11}
{'loss': 1.1377, 'grad_norm': 1.9975972175598145, 'learning_rate': 2.9488816285498867e-05, 'epoch': 0.11}
{'loss': 1.2032, 'grad_norm': 2.198505401611328, 'learning_rate': 2.9473737119879367e-05, 'epoch': 0.11}
{'loss': 1.1279, 'grad_norm': 1.919996738433838, 'learning_rate': 2.9458657954259867e-05, 'epoch': 0.12}
{'loss': 1.189, 'grad_norm': 1.7160115242004395, 'learning_rate': 2.9443578788640363e-05, 'epoch': 0.12}
{'loss': 1.0912, 'grad_norm': 1.680362343788147, 'learning_rate': 2.942849962302086e-05, 'epoch': 0.12}
{'loss': 1.1042, 'grad_norm': 1.3594170808792114, 'learning_rate': 2.941342045740136e-05, 'epoch': 0.12}
{'loss': 1.1647, 'grad_norm': 1.4367023706436157, 'learning_rate': 2.9398341291781856e-05, 'epoch': 0.13}
{'loss': 1.1898, 'grad_norm': 1.69464111328125, 'learning_rate': 2.9383262126162355e-05, 'epoch': 0.13}
{'loss': 1.1091, 'grad_norm': 2.0418496131896973, 'learning_rate': 2.936818296054285e-05, 'epoch': 0.13}
{'loss': 1.085, 'grad_norm': 1.3661160469055176, 'learning_rate': 2.9353103794923348e-05, 'epoch': 0.13}
{'loss': 1.1332, 'grad_norm': 1.8476754426956177, 'learning_rate': 2.9338024629303848e-05, 'epoch': 0.14}
{'loss': 1.1601, 'grad_norm': 1.550046443939209, 'learning_rate': 2.932294546368434e-05, 'epoch': 0.14}
{'loss': 1.0723, 'grad_norm': 1.628635048866272, 'learning_rate': 2.930786629806484e-05, 'epoch': 0.14}
{'loss': 1.1367, 'grad_norm': 1.830184817314148, 'learning_rate': 2.9292787132445337e-05, 'epoch': 0.14}
{'loss': 1.2227, 'grad_norm': 1.6407710313796997, 'learning_rate': 2.9277707966825837e-05, 'epoch': 0.15}
{'loss': 1.1292, 'grad_norm': 1.8274807929992676, 'learning_rate': 2.9262628801206334e-05, 'epoch': 0.15}
{'loss': 1.2335, 'grad_norm': 1.8724586963653564, 'learning_rate': 2.924754963558683e-05, 'epoch': 0.15}
{'loss': 1.1984, 'grad_norm': 1.5080660581588745, 'learning_rate': 2.923247046996733e-05, 'epoch': 0.15}
{'loss': 1.1544, 'grad_norm': 1.6450859308242798, 'learning_rate': 2.921739130434783e-05, 'epoch': 0.16}
{'loss': 1.1655, 'grad_norm': 1.8589484691619873, 'learning_rate': 2.9202312138728323e-05, 'epoch': 0.16}
{'loss': 1.1639, 'grad_norm': 1.8443593978881836, 'learning_rate': 2.9187232973108822e-05, 'epoch': 0.16}
{'loss': 1.1839, 'grad_norm': 1.5906100273132324, 'learning_rate': 2.917215380748932e-05, 'epoch': 0.16}
{'loss': 1.1808, 'grad_norm': 1.5940055847167969, 'learning_rate': 2.915707464186982e-05, 'epoch': 0.17}
{'loss': 1.2173, 'grad_norm': 2.154905319213867, 'learning_rate': 2.9141995476250315e-05, 'epoch': 0.17}
{'loss': 1.186, 'grad_norm': 1.8702776432037354, 'learning_rate': 2.912691631063081e-05, 'epoch': 0.17}
{'loss': 1.2094, 'grad_norm': 1.6613702774047852, 'learning_rate': 2.911183714501131e-05, 'epoch': 0.17}
{'loss': 1.1461, 'grad_norm': 1.7934913635253906, 'learning_rate': 2.9096757979391808e-05, 'epoch': 0.18}
