                                                                                                                                                                             
{'loss': 4.2707, 'grad_norm': 2.9941370487213135, 'learning_rate': 2.7e-06, 'epoch': 0.05}
{'loss': 4.2581, 'grad_norm': 3.0065464973449707, 'learning_rate': 5.7000000000000005e-06, 'epoch': 0.09}
{'loss': 4.2191, 'grad_norm': 3.091063976287842, 'learning_rate': 8.7e-06, 'epoch': 0.14}
{'loss': 4.1458, 'grad_norm': 3.1578032970428467, 'learning_rate': 1.1700000000000001e-05, 'epoch': 0.18}
{'loss': 4.0264, 'grad_norm': 3.5113072395324707, 'learning_rate': 1.47e-05, 'epoch': 0.23}
{'loss': 3.8414, 'grad_norm': 4.4908928871154785, 'learning_rate': 1.77e-05, 'epoch': 0.27}
{'loss': 3.5537, 'grad_norm': 4.926671028137207, 'learning_rate': 2.07e-05, 'epoch': 0.32}
{'loss': 3.1886, 'grad_norm': 4.851468086242676, 'learning_rate': 2.37e-05, 'epoch': 0.36}
{'loss': 2.7378, 'grad_norm': 5.560506343841553, 'learning_rate': 2.6700000000000002e-05, 'epoch': 0.41}
{'loss': 2.2012, 'grad_norm': 5.13209342956543, 'learning_rate': 2.97e-05, 'epoch': 0.45}
{'loss': 1.6829, 'grad_norm': 5.846700668334961, 'learning_rate': 2.9915625e-05, 'epoch': 0.5}
{'loss': 1.2848, 'grad_norm': 3.469672918319702, 'learning_rate': 2.9821874999999998e-05, 'epoch': 0.55}
{'loss': 1.0309, 'grad_norm': 3.6652908325195312, 'learning_rate': 2.9728125000000003e-05, 'epoch': 0.59}
{'loss': 0.8117, 'grad_norm': 2.1457035541534424, 'learning_rate': 2.9634375e-05, 'epoch': 0.64}
{'loss': 0.7356, 'grad_norm': 0.24729572236537933, 'learning_rate': 2.9540625e-05, 'epoch': 0.68}
{'loss': 0.7269, 'grad_norm': 0.17855264246463776, 'learning_rate': 2.9446875000000003e-05, 'epoch': 0.73}
{'loss': 0.7219, 'grad_norm': 0.1528666466474533, 'learning_rate': 2.9353125e-05, 'epoch': 0.77}
