                                                                                                                                                              
{'loss': 3.7576, 'grad_norm': 1.9117872714996338, 'learning_rate': 2.7e-06, 'epoch': 0.0}
{'loss': 3.7461, 'grad_norm': 1.9629536867141724, 'learning_rate': 5.7000000000000005e-06, 'epoch': 0.0}
{'loss': 3.67, 'grad_norm': 1.8843337297439575, 'learning_rate': 8.7e-06, 'epoch': 0.0}
{'loss': 3.7126, 'grad_norm': 1.6954119205474854, 'learning_rate': 1.1700000000000001e-05, 'epoch': 0.0}
{'loss': 3.5163, 'grad_norm': 1.913343071937561, 'learning_rate': 1.47e-05, 'epoch': 0.0}
{'loss': 3.4468, 'grad_norm': 1.8398901224136353, 'learning_rate': 1.77e-05, 'epoch': 0.0}
{'loss': 3.4141, 'grad_norm': 2.3952956199645996, 'learning_rate': 2.07e-05, 'epoch': 0.0}
{'loss': 3.1859, 'grad_norm': 2.5747063159942627, 'learning_rate': 2.37e-05, 'epoch': 0.01}
{'loss': 2.9878, 'grad_norm': 2.613248586654663, 'learning_rate': 2.6700000000000002e-05, 'epoch': 0.01}
{'loss': 2.6839, 'grad_norm': 3.0131685733795166, 'learning_rate': 2.97e-05, 'epoch': 0.01}
{'loss': 2.3129, 'grad_norm': 3.628626585006714, 'learning_rate': 2.999428450465707e-05, 'epoch': 0.01}
{'loss': 1.9783, 'grad_norm': 3.504011869430542, 'learning_rate': 2.9987933954276038e-05, 'epoch': 0.01}
{'loss': 1.6821, 'grad_norm': 3.0373315811157227, 'learning_rate': 2.9981583403895007e-05, 'epoch': 0.01}
{'loss': 1.4791, 'grad_norm': 2.904947519302368, 'learning_rate': 2.997523285351397e-05, 'epoch': 0.01}
{'loss': 1.3516, 'grad_norm': 4.103780269622803, 'learning_rate': 2.9968882303132937e-05, 'epoch': 0.01}
{'loss': 1.2661, 'grad_norm': 2.2443034648895264, 'learning_rate': 2.9962531752751907e-05, 'epoch': 0.01}
{'loss': 1.2268, 'grad_norm': 2.082948923110962, 'learning_rate': 2.9956181202370873e-05, 'epoch': 0.01}
{'loss': 1.194, 'grad_norm': 2.696936845779419, 'learning_rate': 2.994983065198984e-05, 'epoch': 0.01}
{'loss': 1.1856, 'grad_norm': 2.160275459289551, 'learning_rate': 2.9943480101608806e-05, 'epoch': 0.01}
{'loss': 1.1432, 'grad_norm': 1.7468996047973633, 'learning_rate': 2.9937129551227772e-05, 'epoch': 0.01}
{'loss': 1.1428, 'grad_norm': 1.9496897459030151, 'learning_rate': 2.9930779000846742e-05, 'epoch': 0.01}
{'loss': 1.11, 'grad_norm': 1.8727227449417114, 'learning_rate': 2.992442845046571e-05, 'epoch': 0.01}
{'loss': 1.1374, 'grad_norm': 1.8571088314056396, 'learning_rate': 2.9918077900084675e-05, 'epoch': 0.01}
{'loss': 1.116, 'grad_norm': 2.1544878482818604, 'learning_rate': 2.991172734970364e-05, 'epoch': 0.02}
{'loss': 1.1418, 'grad_norm': 1.8210844993591309, 'learning_rate': 2.9905376799322608e-05, 'epoch': 0.02}
{'loss': 1.1154, 'grad_norm': 2.422865390777588, 'learning_rate': 2.9899026248941574e-05, 'epoch': 0.02}
{'loss': 1.1005, 'grad_norm': 2.2297041416168213, 'learning_rate': 2.9892675698560544e-05, 'epoch': 0.02}
{'loss': 1.1489, 'grad_norm': 2.2503745555877686, 'learning_rate': 2.988632514817951e-05, 'epoch': 0.02}
{'loss': 1.062, 'grad_norm': 2.0805060863494873, 'learning_rate': 2.9879974597798474e-05, 'epoch': 0.02}
{'loss': 1.1196, 'grad_norm': 2.4523537158966064, 'learning_rate': 2.9873624047417443e-05, 'epoch': 0.02}
{'loss': 1.1173, 'grad_norm': 2.0582127571105957, 'learning_rate': 2.986727349703641e-05, 'epoch': 0.02}
{'loss': 1.081, 'grad_norm': 1.9782936573028564, 'learning_rate': 2.9860922946655376e-05, 'epoch': 0.02}
{'loss': 1.1322, 'grad_norm': 1.9162189960479736, 'learning_rate': 2.9854572396274346e-05, 'epoch': 0.02}
{'loss': 1.101, 'grad_norm': 2.451296091079712, 'learning_rate': 2.9848221845893313e-05, 'epoch': 0.02}
{'loss': 1.0976, 'grad_norm': 2.363271474838257, 'learning_rate': 2.984187129551228e-05, 'epoch': 0.02}
{'loss': 1.1167, 'grad_norm': 2.8077797889709473, 'learning_rate': 2.9835520745131245e-05, 'epoch': 0.02}
{'loss': 1.0899, 'grad_norm': 1.8548303842544556, 'learning_rate': 2.9829170194750212e-05, 'epoch': 0.02}
{'loss': 1.0929, 'grad_norm': 2.128476858139038, 'learning_rate': 2.982281964436918e-05, 'epoch': 0.02}
{'loss': 1.0846, 'grad_norm': 1.7355762720108032, 'learning_rate': 2.9816469093988148e-05, 'epoch': 0.02}
{'loss': 1.0459, 'grad_norm': 1.9736723899841309, 'learning_rate': 2.981011854360711e-05, 'epoch': 0.03}
{'loss': 1.0525, 'grad_norm': 2.735546112060547, 'learning_rate': 2.980376799322608e-05, 'epoch': 0.03}
{'loss': 1.0875, 'grad_norm': 1.8927018642425537, 'learning_rate': 2.9797417442845047e-05, 'epoch': 0.03}
{'loss': 1.1144, 'grad_norm': 2.2376179695129395, 'learning_rate': 2.9791066892464014e-05, 'epoch': 0.03}
{'loss': 1.0873, 'grad_norm': 2.68056321144104, 'learning_rate': 2.9784716342082984e-05, 'epoch': 0.03}
{'loss': 1.1174, 'grad_norm': 2.5218887329101562, 'learning_rate': 2.9778365791701947e-05, 'epoch': 0.03}
{'loss': 1.0863, 'grad_norm': 2.2011311054229736, 'learning_rate': 2.9772015241320913e-05, 'epoch': 0.03}
{'loss': 1.0938, 'grad_norm': 2.162109613418579, 'learning_rate': 2.9765664690939883e-05, 'epoch': 0.03}
{'loss': 1.0804, 'grad_norm': 1.846325397491455, 'learning_rate': 2.975931414055885e-05, 'epoch': 0.03}
{'loss': 1.0729, 'grad_norm': 1.5710378885269165, 'learning_rate': 2.9752963590177816e-05, 'epoch': 0.03}
{'loss': 1.0757, 'grad_norm': 2.069298505783081, 'learning_rate': 2.9746613039796782e-05, 'epoch': 0.03}
{'loss': 1.0518, 'grad_norm': 2.619649887084961, 'learning_rate': 2.974026248941575e-05, 'epoch': 0.03}
{'loss': 1.08, 'grad_norm': 2.3792941570281982, 'learning_rate': 2.973391193903472e-05, 'epoch': 0.03}
{'loss': 1.0544, 'grad_norm': 1.7744858264923096, 'learning_rate': 2.9727561388653685e-05, 'epoch': 0.03}
{'loss': 1.096, 'grad_norm': 2.064081907272339, 'learning_rate': 2.972121083827265e-05, 'epoch': 0.03}
{'loss': 1.0673, 'grad_norm': 2.3793511390686035, 'learning_rate': 2.9714860287891618e-05, 'epoch': 0.03}
{'loss': 1.0479, 'grad_norm': 2.490527629852295, 'learning_rate': 2.9708509737510584e-05, 'epoch': 0.04}
{'loss': 1.0919, 'grad_norm': 1.9669108390808105, 'learning_rate': 2.970215918712955e-05, 'epoch': 0.04}
{'loss': 1.0651, 'grad_norm': 2.5692787170410156, 'learning_rate': 2.969580863674852e-05, 'epoch': 0.04}
{'loss': 1.0446, 'grad_norm': 1.9911679029464722, 'learning_rate': 2.9689458086367487e-05, 'epoch': 0.04}
{'loss': 1.0775, 'grad_norm': 2.396453380584717, 'learning_rate': 2.9683107535986453e-05, 'epoch': 0.04}
{'loss': 1.0804, 'grad_norm': 2.606339931488037, 'learning_rate': 2.967675698560542e-05, 'epoch': 0.04}
{'loss': 1.0934, 'grad_norm': 2.1065726280212402, 'learning_rate': 2.9670406435224386e-05, 'epoch': 0.04}
{'loss': 1.032, 'grad_norm': 1.9628839492797852, 'learning_rate': 2.9664055884843353e-05, 'epoch': 0.04}
{'loss': 1.052, 'grad_norm': 2.4476349353790283, 'learning_rate': 2.9657705334462322e-05, 'epoch': 0.04}
{'loss': 1.0703, 'grad_norm': 2.4301021099090576, 'learning_rate': 2.965135478408129e-05, 'epoch': 0.04}
{'loss': 1.0648, 'grad_norm': 1.9761780500411987, 'learning_rate': 2.9645004233700255e-05, 'epoch': 0.04}
{'loss': 1.0509, 'grad_norm': 2.5984835624694824, 'learning_rate': 2.963865368331922e-05, 'epoch': 0.04}
{'loss': 1.0826, 'grad_norm': 2.4108059406280518, 'learning_rate': 2.9632303132938188e-05, 'epoch': 0.04}
{'loss': 1.0712, 'grad_norm': 2.240973472595215, 'learning_rate': 2.9625952582557158e-05, 'epoch': 0.04}
{'loss': 1.0677, 'grad_norm': 2.962956190109253, 'learning_rate': 2.9619602032176124e-05, 'epoch': 0.04}
{'loss': 1.0226, 'grad_norm': 2.5757505893707275, 'learning_rate': 2.9613251481795087e-05, 'epoch': 0.04}
{'loss': 1.002, 'grad_norm': 1.820131540298462, 'learning_rate': 2.9606900931414057e-05, 'epoch': 0.05}
{'loss': 1.0122, 'grad_norm': 2.5515904426574707, 'learning_rate': 2.9600550381033024e-05, 'epoch': 0.05}
{'loss': 1.0609, 'grad_norm': 2.3855221271514893, 'learning_rate': 2.959419983065199e-05, 'epoch': 0.05}
{'loss': 1.0659, 'grad_norm': 2.1727123260498047, 'learning_rate': 2.958784928027096e-05, 'epoch': 0.05}
{'loss': 1.0875, 'grad_norm': 2.3179781436920166, 'learning_rate': 2.9581498729889923e-05, 'epoch': 0.05}
{'loss': 1.0629, 'grad_norm': 2.2498719692230225, 'learning_rate': 2.957514817950889e-05, 'epoch': 0.05}
{'loss': 1.0185, 'grad_norm': 2.6589295864105225, 'learning_rate': 2.956879762912786e-05, 'epoch': 0.05}
{'loss': 1.0486, 'grad_norm': 3.0515198707580566, 'learning_rate': 2.9562447078746826e-05, 'epoch': 0.05}
{'loss': 1.0436, 'grad_norm': 2.1008763313293457, 'learning_rate': 2.9556096528365792e-05, 'epoch': 0.05}
{'loss': 1.0802, 'grad_norm': 2.712459087371826, 'learning_rate': 2.954974597798476e-05, 'epoch': 0.05}
{'loss': 1.0396, 'grad_norm': 1.7878366708755493, 'learning_rate': 2.9543395427603725e-05, 'epoch': 0.05}
{'loss': 1.0783, 'grad_norm': 2.8222696781158447, 'learning_rate': 2.9537044877222695e-05, 'epoch': 0.05}
{'loss': 1.0266, 'grad_norm': 2.4172685146331787, 'learning_rate': 2.953069432684166e-05, 'epoch': 0.05}
{'loss': 1.0719, 'grad_norm': 2.337292194366455, 'learning_rate': 2.9524343776460627e-05, 'epoch': 0.05}
{'loss': 1.0655, 'grad_norm': 1.97150719165802, 'learning_rate': 2.9517993226079597e-05, 'epoch': 0.05}
{'loss': 0.9907, 'grad_norm': 2.312532901763916, 'learning_rate': 2.951164267569856e-05, 'epoch': 0.06}
{'loss': 1.0653, 'grad_norm': 2.0114686489105225, 'learning_rate': 2.9505292125317527e-05, 'epoch': 0.06}
{'loss': 1.0396, 'grad_norm': 3.0803422927856445, 'learning_rate': 2.9498941574936497e-05, 'epoch': 0.06}
