                                                                                                                                                 
{'loss': 2.517, 'grad_norm': 1.0637038946151733, 'learning_rate': 2.7e-06, 'epoch': 0.0}
{'loss': 2.4482, 'grad_norm': 0.9616508483886719, 'learning_rate': 5.7000000000000005e-06, 'epoch': 0.0}
{'loss': 2.2748, 'grad_norm': 0.7512243390083313, 'learning_rate': 8.7e-06, 'epoch': 0.0}
{'loss': 2.5352, 'grad_norm': 0.9848512411117554, 'learning_rate': 1.1700000000000001e-05, 'epoch': 0.0}
{'loss': 2.5441, 'grad_norm': 1.2072309255599976, 'learning_rate': 1.47e-05, 'epoch': 0.0}
{'loss': 2.2986, 'grad_norm': 0.8899471759796143, 'learning_rate': 1.77e-05, 'epoch': 0.0}
{'loss': 2.3554, 'grad_norm': 0.9284977316856384, 'learning_rate': 2.07e-05, 'epoch': 0.01}
{'loss': 2.1338, 'grad_norm': 1.1369482278823853, 'learning_rate': 2.37e-05, 'epoch': 0.01}
{'loss': 1.9531, 'grad_norm': 1.4266988039016724, 'learning_rate': 2.6700000000000002e-05, 'epoch': 0.01}
{'loss': 1.8388, 'grad_norm': 1.2385414838790894, 'learning_rate': 2.97e-05, 'epoch': 0.01}
{'loss': 1.7496, 'grad_norm': 1.1072245836257935, 'learning_rate': 2.9993010613512814e-05, 'epoch': 0.01}
{'loss': 1.5626, 'grad_norm': 4.5997114181518555, 'learning_rate': 2.9985244628527052e-05, 'epoch': 0.01}
{'loss': 1.4456, 'grad_norm': 4.694903373718262, 'learning_rate': 2.997747864354129e-05, 'epoch': 0.01}
{'loss': 1.5184, 'grad_norm': 2.491339921951294, 'learning_rate': 2.9969712658555524e-05, 'epoch': 0.01}
{'loss': 1.4052, 'grad_norm': 6.501546859741211, 'learning_rate': 2.9961946673569766e-05, 'epoch': 0.01}
{'loss': 1.3668, 'grad_norm': 5.056972026824951, 'learning_rate': 2.9954180688584003e-05, 'epoch': 0.01}
{'loss': 1.5246, 'grad_norm': 1.0204228162765503, 'learning_rate': 2.994641470359824e-05, 'epoch': 0.01}
