                                                                                                                                                           
{'loss': 3.0703, 'grad_norm': 1.6685614585876465, 'learning_rate': 2.7e-06, 'epoch': 0.0}
{'loss': 3.1946, 'grad_norm': 1.75909423828125, 'learning_rate': 5.7000000000000005e-06, 'epoch': 0.01}
{'loss': 2.9936, 'grad_norm': 0.9162336587905884, 'learning_rate': 8.7e-06, 'epoch': 0.01}
{'loss': 3.0793, 'grad_norm': 0.9862501621246338, 'learning_rate': 1.1700000000000001e-05, 'epoch': 0.01}
{'loss': 3.1048, 'grad_norm': 1.1814594268798828, 'learning_rate': 1.47e-05, 'epoch': 0.01}
{'loss': 2.9482, 'grad_norm': 0.7411383986473083, 'learning_rate': 1.77e-05, 'epoch': 0.02}
{'loss': 2.9017, 'grad_norm': 0.6314902901649475, 'learning_rate': 2.07e-05, 'epoch': 0.02}
{'loss': 2.7321, 'grad_norm': 0.8828563690185547, 'learning_rate': 2.37e-05, 'epoch': 0.02}
{'loss': 2.5866, 'grad_norm': 1.0619863271713257, 'learning_rate': 2.6700000000000002e-05, 'epoch': 0.02}
{'loss': 2.3816, 'grad_norm': 1.3451136350631714, 'learning_rate': 2.97e-05, 'epoch': 0.03}
{'loss': 1.942, 'grad_norm': 2.1078147888183594, 'learning_rate': 2.9975784753363227e-05, 'epoch': 0.03}
{'loss': 1.998, 'grad_norm': 1.6735255718231201, 'learning_rate': 2.9948878923766818e-05, 'epoch': 0.03}
{'loss': 1.7228, 'grad_norm': 2.023973226547241, 'learning_rate': 2.9921973094170404e-05, 'epoch': 0.03}
{'loss': 1.6087, 'grad_norm': 2.307169198989868, 'learning_rate': 2.9895067264573995e-05, 'epoch': 0.04}
{'loss': 1.4846, 'grad_norm': 2.0462076663970947, 'learning_rate': 2.9868161434977578e-05, 'epoch': 0.04}
{'loss': 1.5903, 'grad_norm': 1.2614914178848267, 'learning_rate': 2.9841255605381165e-05, 'epoch': 0.04}
