                                                                                                                                                           
{'loss': 1.4904, 'grad_norm': 0.6910264492034912, 'learning_rate': 2.7e-06, 'epoch': 0.0}
{'loss': 1.5762, 'grad_norm': 0.6914367079734802, 'learning_rate': 5.7000000000000005e-06, 'epoch': 0.01}
{'loss': 1.5407, 'grad_norm': 0.4879246950149536, 'learning_rate': 8.7e-06, 'epoch': 0.01}
{'loss': 1.5636, 'grad_norm': 0.49816980957984924, 'learning_rate': 1.1700000000000001e-05, 'epoch': 0.01}
{'loss': 1.5225, 'grad_norm': 0.4503786563873291, 'learning_rate': 1.47e-05, 'epoch': 0.01}
{'loss': 1.5003, 'grad_norm': 0.5808457732200623, 'learning_rate': 1.77e-05, 'epoch': 0.02}
{'loss': 1.4428, 'grad_norm': 0.5096230506896973, 'learning_rate': 2.07e-05, 'epoch': 0.02}
{'loss': 1.3416, 'grad_norm': 0.568947970867157, 'learning_rate': 2.37e-05, 'epoch': 0.02}
{'loss': 1.2531, 'grad_norm': 0.6562936902046204, 'learning_rate': 2.6700000000000002e-05, 'epoch': 0.03}
{'loss': 1.1747, 'grad_norm': 0.8283164501190186, 'learning_rate': 2.97e-05, 'epoch': 0.03}
{'loss': 1.1164, 'grad_norm': 0.7638701796531677, 'learning_rate': 2.9973666244026138e-05, 'epoch': 0.03}
{'loss': 1.1365, 'grad_norm': 0.85160893201828, 'learning_rate': 2.9944406515166293e-05, 'epoch': 0.03}
{'loss': 1.0911, 'grad_norm': 0.8847641944885254, 'learning_rate': 2.9915146786306445e-05, 'epoch': 0.04}
{'loss': 1.0214, 'grad_norm': 0.6501070857048035, 'learning_rate': 2.98858870574466e-05, 'epoch': 0.04}
{'loss': 0.9869, 'grad_norm': 0.7580230236053467, 'learning_rate': 2.985662732858676e-05, 'epoch': 0.04}
{'loss': 0.9763, 'grad_norm': 0.7018323540687561, 'learning_rate': 2.982736759972691e-05, 'epoch': 0.05}
{'loss': 0.9542, 'grad_norm': 0.628864586353302, 'learning_rate': 2.9798107870867066e-05, 'epoch': 0.05}
{'loss': 0.9524, 'grad_norm': 0.7659925222396851, 'learning_rate': 2.9768848142007218e-05, 'epoch': 0.05}
{'loss': 0.9751, 'grad_norm': 0.7421122193336487, 'learning_rate': 2.9739588413147374e-05, 'epoch': 0.06}
{'loss': 0.9577, 'grad_norm': 0.7919326424598694, 'learning_rate': 2.9710328684287526e-05, 'epoch': 0.06}
{'loss': 0.9764, 'grad_norm': 0.8732537031173706, 'learning_rate': 2.968106895542768e-05, 'epoch': 0.06}
{'loss': 0.9485, 'grad_norm': 1.0083054304122925, 'learning_rate': 2.9651809226567833e-05, 'epoch': 0.06}
{'loss': 0.9597, 'grad_norm': 0.9413350224494934, 'learning_rate': 2.9622549497707988e-05, 'epoch': 0.07}
{'loss': 0.9211, 'grad_norm': 0.7289038300514221, 'learning_rate': 2.959328976884814e-05, 'epoch': 0.07}
{'loss': 0.9577, 'grad_norm': 0.7997011542320251, 'learning_rate': 2.9564030039988296e-05, 'epoch': 0.07}
{'loss': 0.9937, 'grad_norm': 0.8378467559814453, 'learning_rate': 2.953477031112845e-05, 'epoch': 0.08}
{'loss': 0.9722, 'grad_norm': 0.7868074178695679, 'learning_rate': 2.9505510582268606e-05, 'epoch': 0.08}
{'loss': 0.9852, 'grad_norm': 0.7717200517654419, 'learning_rate': 2.947625085340876e-05, 'epoch': 0.08}
{'loss': 0.9317, 'grad_norm': 1.1071149110794067, 'learning_rate': 2.9446991124548914e-05, 'epoch': 0.08}
{'loss': 0.9326, 'grad_norm': 0.7822626233100891, 'learning_rate': 2.941773139568907e-05, 'epoch': 0.09}
{'loss': 0.9092, 'grad_norm': 0.7084053158760071, 'learning_rate': 2.938847166682922e-05, 'epoch': 0.09}
{'loss': 0.9786, 'grad_norm': 1.0141271352767944, 'learning_rate': 2.9359211937969376e-05, 'epoch': 0.09}
{'loss': 0.9281, 'grad_norm': 0.821510374546051, 'learning_rate': 2.9329952209109528e-05, 'epoch': 0.1}
{'loss': 0.9598, 'grad_norm': 1.0398234128952026, 'learning_rate': 2.9300692480249684e-05, 'epoch': 0.1}
{'loss': 0.9543, 'grad_norm': 0.7773541212081909, 'learning_rate': 2.9271432751389836e-05, 'epoch': 0.1}
{'loss': 0.8998, 'grad_norm': 0.8599953651428223, 'learning_rate': 2.924217302252999e-05, 'epoch': 0.1}
{'loss': 0.9148, 'grad_norm': 0.9364563822746277, 'learning_rate': 2.9212913293670146e-05, 'epoch': 0.11}
{'loss': 0.928, 'grad_norm': 0.8514395952224731, 'learning_rate': 2.9183653564810298e-05, 'epoch': 0.11}
{'loss': 0.9668, 'grad_norm': 1.0285131931304932, 'learning_rate': 2.9154393835950457e-05, 'epoch': 0.11}
{'loss': 0.8892, 'grad_norm': 0.8786579966545105, 'learning_rate': 2.912513410709061e-05, 'epoch': 0.12}
{'loss': 0.9529, 'grad_norm': 0.8748263716697693, 'learning_rate': 2.9095874378230764e-05, 'epoch': 0.12}
{'loss': 0.9033, 'grad_norm': 1.207933783531189, 'learning_rate': 2.9066614649370916e-05, 'epoch': 0.12}
{'loss': 0.9332, 'grad_norm': 1.0090701580047607, 'learning_rate': 2.903735492051107e-05, 'epoch': 0.12}
{'loss': 0.9372, 'grad_norm': 1.0470784902572632, 'learning_rate': 2.9008095191651224e-05, 'epoch': 0.13}
{'loss': 0.9275, 'grad_norm': 1.0461698770523071, 'learning_rate': 2.897883546279138e-05, 'epoch': 0.13}
{'loss': 0.939, 'grad_norm': 1.1230888366699219, 'learning_rate': 2.894957573393153e-05, 'epoch': 0.13}
{'loss': 0.8926, 'grad_norm': 1.1646445989608765, 'learning_rate': 2.8920316005071686e-05, 'epoch': 0.14}
{'loss': 0.9218, 'grad_norm': 1.2699614763259888, 'learning_rate': 2.8891056276211842e-05, 'epoch': 0.14}
{'loss': 0.9026, 'grad_norm': 1.0922670364379883, 'learning_rate': 2.8861796547351994e-05, 'epoch': 0.14}
{'loss': 0.9033, 'grad_norm': 1.0282280445098877, 'learning_rate': 2.883253681849215e-05, 'epoch': 0.14}
{'loss': 0.9492, 'grad_norm': 1.3141381740570068, 'learning_rate': 2.8803277089632304e-05, 'epoch': 0.15}
{'loss': 0.8952, 'grad_norm': 0.9391818046569824, 'learning_rate': 2.877401736077246e-05, 'epoch': 0.15}
{'loss': 0.9201, 'grad_norm': 0.958692729473114, 'learning_rate': 2.8744757631912612e-05, 'epoch': 0.15}
{'loss': 0.9322, 'grad_norm': 0.917717456817627, 'learning_rate': 2.8715497903052767e-05, 'epoch': 0.16}
{'loss': 0.9117, 'grad_norm': 1.0045287609100342, 'learning_rate': 2.868623817419292e-05, 'epoch': 0.16}
{'loss': 0.9023, 'grad_norm': 0.9948278069496155, 'learning_rate': 2.8656978445333074e-05, 'epoch': 0.16}
{'loss': 0.8773, 'grad_norm': 1.0290881395339966, 'learning_rate': 2.8627718716473226e-05, 'epoch': 0.17}
{'loss': 0.8826, 'grad_norm': 1.4110438823699951, 'learning_rate': 2.8598458987613382e-05, 'epoch': 0.17}
{'loss': 0.9385, 'grad_norm': 1.3016327619552612, 'learning_rate': 2.8569199258753537e-05, 'epoch': 0.17}
{'loss': 0.9014, 'grad_norm': 1.118533968925476, 'learning_rate': 2.853993952989369e-05, 'epoch': 0.17}
{'loss': 0.911, 'grad_norm': 0.9670349359512329, 'learning_rate': 2.8510679801033844e-05, 'epoch': 0.18}
{'loss': 0.8981, 'grad_norm': 0.9766395688056946, 'learning_rate': 2.8481420072173996e-05, 'epoch': 0.18}
