                                                                                                                                                                                                   
{'loss': 3.2908, 'grad_norm': 1.3306695222854614, 'learning_rate': 2.7e-06, 'epoch': 0.0}
{'loss': 3.3392, 'grad_norm': 1.3910118341445923, 'learning_rate': 5.7000000000000005e-06, 'epoch': 0.0}
{'loss': 3.2992, 'grad_norm': 1.130938172340393, 'learning_rate': 8.7e-06, 'epoch': 0.0}
{'loss': 3.1317, 'grad_norm': 0.5411973595619202, 'learning_rate': 1.1700000000000001e-05, 'epoch': 0.0}
{'loss': 3.312, 'grad_norm': 0.7137883901596069, 'learning_rate': 1.47e-05, 'epoch': 0.0}
{'loss': 3.0542, 'grad_norm': 0.5459734201431274, 'learning_rate': 1.77e-05, 'epoch': 0.0}
{'loss': 3.1065, 'grad_norm': 0.8667612671852112, 'learning_rate': 2.07e-05, 'epoch': 0.0}
{'loss': 2.9737, 'grad_norm': 1.6180427074432373, 'learning_rate': 2.37e-05, 'epoch': 0.0}
{'loss': 2.863, 'grad_norm': 1.5507043600082397, 'learning_rate': 2.6700000000000002e-05, 'epoch': 0.0}
{'loss': 2.6268, 'grad_norm': 1.3886985778808594, 'learning_rate': 2.97e-05, 'epoch': 0.0}
{'loss': 2.3627, 'grad_norm': 1.6535701751708984, 'learning_rate': 2.999788442703232e-05, 'epoch': 0.0}
{'loss': 2.1326, 'grad_norm': 1.795616626739502, 'learning_rate': 2.999553379040157e-05, 'epoch': 0.0}
{'loss': 2.0709, 'grad_norm': 1.4620953798294067, 'learning_rate': 2.9993183153770815e-05, 'epoch': 0.0}
{'loss': 1.9156, 'grad_norm': 1.9377535581588745, 'learning_rate': 2.999083251714006e-05, 'epoch': 0.0}
{'loss': 1.6255, 'grad_norm': 2.7568321228027344, 'learning_rate': 2.9988481880509303e-05, 'epoch': 0.0}
{'loss': 1.77, 'grad_norm': 1.3041900396347046, 'learning_rate': 2.9986131243878552e-05, 'epoch': 0.0}
{'loss': 1.6865, 'grad_norm': 1.5008141994476318, 'learning_rate': 2.9983780607247797e-05, 'epoch': 0.0}
{'loss': 1.5352, 'grad_norm': 2.3584346771240234, 'learning_rate': 2.9981429970617043e-05, 'epoch': 0.0}
{'loss': 1.5976, 'grad_norm': 1.8190429210662842, 'learning_rate': 2.997907933398629e-05, 'epoch': 0.0}
{'loss': 1.4796, 'grad_norm': 2.722283363342285, 'learning_rate': 2.9976728697355534e-05, 'epoch': 0.0}
{'loss': 1.5923, 'grad_norm': 1.853672981262207, 'learning_rate': 2.997437806072478e-05, 'epoch': 0.0}
{'loss': 1.5653, 'grad_norm': 2.6534509658813477, 'learning_rate': 2.9972027424094026e-05, 'epoch': 0.01}
{'loss': 1.5584, 'grad_norm': 2.870692729949951, 'learning_rate': 2.996967678746327e-05, 'epoch': 0.01}
{'loss': 1.5527, 'grad_norm': 2.3701114654541016, 'learning_rate': 2.996732615083252e-05, 'epoch': 0.01}
{'loss': 1.7504, 'grad_norm': 2.872828722000122, 'learning_rate': 2.9964975514201763e-05, 'epoch': 0.01}
{'loss': 1.4757, 'grad_norm': 2.591529369354248, 'learning_rate': 2.9962624877571008e-05, 'epoch': 0.01}
{'loss': 1.6056, 'grad_norm': 2.4553284645080566, 'learning_rate': 2.9960274240940254e-05, 'epoch': 0.01}
{'loss': 1.423, 'grad_norm': 1.8077915906906128, 'learning_rate': 2.9957923604309503e-05, 'epoch': 0.01}
