                                                                                                                                                                                                            
{'loss': 2.9118, 'grad_norm': 0.9293789863586426, 'learning_rate': 2.4000000000000003e-06, 'epoch': 0.0}
{'loss': 2.7035, 'grad_norm': 1.3094398975372314, 'learning_rate': 5.4e-06, 'epoch': 0.0}
{'loss': 2.6848, 'grad_norm': 0.6917069554328918, 'learning_rate': 8.400000000000001e-06, 'epoch': 0.0}
{'loss': 2.7382, 'grad_norm': 0.6283435821533203, 'learning_rate': 1.1400000000000001e-05, 'epoch': 0.0}
{'loss': 2.5173, 'grad_norm': 0.5893833041191101, 'learning_rate': 1.44e-05, 'epoch': 0.0}
{'loss': 2.3983, 'grad_norm': 0.9308087825775146, 'learning_rate': 1.74e-05, 'epoch': 0.0}
{'loss': 2.3199, 'grad_norm': 0.6720496416091919, 'learning_rate': 2.04e-05, 'epoch': 0.0}
{'loss': 2.5726, 'grad_norm': 0.705177366733551, 'learning_rate': 2.3400000000000003e-05, 'epoch': 0.0}
{'loss': 2.1276, 'grad_norm': 0.5583527088165283, 'learning_rate': 2.64e-05, 'epoch': 0.0}
{'loss': 2.1415, 'grad_norm': 1.2375026941299438, 'learning_rate': 2.94e-05, 'epoch': 0.0}
{'loss': 2.1947, 'grad_norm': 1.6871685981750488, 'learning_rate': 2.9998761219991846e-05, 'epoch': 0.0}
{'loss': 1.8332, 'grad_norm': 1.183356761932373, 'learning_rate': 2.9997212744981653e-05, 'epoch': 0.0}
{'loss': 1.845, 'grad_norm': 0.9398878812789917, 'learning_rate': 2.9995664269971457e-05, 'epoch': 0.0}
{'loss': 1.5135, 'grad_norm': 2.0294010639190674, 'learning_rate': 2.9994115794961264e-05, 'epoch': 0.0}
{'loss': 1.5815, 'grad_norm': 2.056433916091919, 'learning_rate': 2.9992567319951068e-05, 'epoch': 0.0}
{'loss': 1.4673, 'grad_norm': 1.330277442932129, 'learning_rate': 2.9991018844940875e-05, 'epoch': 0.0}
{'loss': 1.3815, 'grad_norm': 1.145898699760437, 'learning_rate': 2.9989470369930682e-05, 'epoch': 0.0}
{'loss': 1.4921, 'grad_norm': 1.9492080211639404, 'learning_rate': 2.998792189492049e-05, 'epoch': 0.0}
{'loss': 1.4644, 'grad_norm': 1.4393186569213867, 'learning_rate': 2.9986373419910293e-05, 'epoch': 0.0}
{'loss': 1.5076, 'grad_norm': 1.5623074769973755, 'learning_rate': 2.99848249449001e-05, 'epoch': 0.0}
{'loss': 1.3171, 'grad_norm': 1.4472917318344116, 'learning_rate': 2.9983276469889904e-05, 'epoch': 0.0}
{'loss': 1.4731, 'grad_norm': 1.786587119102478, 'learning_rate': 2.9981727994879707e-05, 'epoch': 0.0}
{'loss': 1.5146, 'grad_norm': 3.0002281665802, 'learning_rate': 2.9980179519869515e-05, 'epoch': 0.0}
{'loss': 1.4057, 'grad_norm': 1.6306660175323486, 'learning_rate': 2.997863104485932e-05, 'epoch': 0.0}
{'loss': 1.306, 'grad_norm': 1.2732411623001099, 'learning_rate': 2.997708256984913e-05, 'epoch': 0.0}
{'loss': 1.277, 'grad_norm': 1.4062086343765259, 'learning_rate': 2.9975534094838933e-05, 'epoch': 0.0}
{'loss': 1.3449, 'grad_norm': 1.4736639261245728, 'learning_rate': 2.997398561982874e-05, 'epoch': 0.0}
{'loss': 1.3219, 'grad_norm': 2.5323948860168457, 'learning_rate': 2.9972437144818543e-05, 'epoch': 0.0}
{'loss': 1.3303, 'grad_norm': 2.2378861904144287, 'learning_rate': 2.997088866980835e-05, 'epoch': 0.0}
{'loss': 1.2705, 'grad_norm': 1.4951406717300415, 'learning_rate': 2.9969340194798154e-05, 'epoch': 0.0}
{'loss': 1.2563, 'grad_norm': 1.464626431465149, 'learning_rate': 2.9967791719787965e-05, 'epoch': 0.0}
{'loss': 1.3819, 'grad_norm': 1.792585849761963, 'learning_rate': 2.996624324477777e-05, 'epoch': 0.0}
{'loss': 1.3528, 'grad_norm': 1.8863691091537476, 'learning_rate': 2.9964694769767576e-05, 'epoch': 0.01}
{'loss': 1.3492, 'grad_norm': 2.424776554107666, 'learning_rate': 2.996314629475738e-05, 'epoch': 0.01}
{'loss': 1.5383, 'grad_norm': 2.015796661376953, 'learning_rate': 2.9961597819747187e-05, 'epoch': 0.01}
{'loss': 1.2784, 'grad_norm': 1.5766215324401855, 'learning_rate': 2.996004934473699e-05, 'epoch': 0.01}
{'loss': 1.3945, 'grad_norm': 1.6540963649749756, 'learning_rate': 2.99585008697268e-05, 'epoch': 0.01}
{'loss': 1.3351, 'grad_norm': 1.981877326965332, 'learning_rate': 2.9956952394716605e-05, 'epoch': 0.01}
{'loss': 1.3847, 'grad_norm': 1.3894907236099243, 'learning_rate': 2.9955403919706412e-05, 'epoch': 0.01}
{'loss': 1.1708, 'grad_norm': 1.6752378940582275, 'learning_rate': 2.9953855444696216e-05, 'epoch': 0.01}
{'loss': 1.3841, 'grad_norm': 1.987499713897705, 'learning_rate': 2.9952306969686023e-05, 'epoch': 0.01}
{'loss': 1.2437, 'grad_norm': 1.6152921915054321, 'learning_rate': 2.9950758494675826e-05, 'epoch': 0.01}
{'loss': 1.4563, 'grad_norm': 2.0003347396850586, 'learning_rate': 2.9949210019665634e-05, 'epoch': 0.01}
{'loss': 1.4079, 'grad_norm': 2.3070998191833496, 'learning_rate': 2.994766154465544e-05, 'epoch': 0.01}
{'loss': 1.2032, 'grad_norm': 1.3119601011276245, 'learning_rate': 2.9946113069645248e-05, 'epoch': 0.01}
{'loss': 1.4302, 'grad_norm': 1.8440574407577515, 'learning_rate': 2.994456459463505e-05, 'epoch': 0.01}
{'loss': 1.2994, 'grad_norm': 2.477747678756714, 'learning_rate': 2.9943016119624855e-05, 'epoch': 0.01}
{'loss': 1.3172, 'grad_norm': 1.1642504930496216, 'learning_rate': 2.9941467644614662e-05, 'epoch': 0.01}
{'loss': 1.3427, 'grad_norm': 2.7848310470581055, 'learning_rate': 2.9939919169604466e-05, 'epoch': 0.01}
{'loss': 1.2077, 'grad_norm': 2.1389334201812744, 'learning_rate': 2.9938370694594273e-05, 'epoch': 0.01}
{'loss': 1.3995, 'grad_norm': 2.3112361431121826, 'learning_rate': 2.993682221958408e-05, 'epoch': 0.01}
{'loss': 1.285, 'grad_norm': 2.213000535964966, 'learning_rate': 2.9935273744573888e-05, 'epoch': 0.01}
{'loss': 1.301, 'grad_norm': 2.3975346088409424, 'learning_rate': 2.993372526956369e-05, 'epoch': 0.01}
{'loss': 1.3222, 'grad_norm': 1.3450312614440918, 'learning_rate': 2.99321767945535e-05, 'epoch': 0.01}
{'loss': 1.2377, 'grad_norm': 1.6964539289474487, 'learning_rate': 2.9930628319543302e-05, 'epoch': 0.01}
{'loss': 1.3216, 'grad_norm': 2.3644967079162598, 'learning_rate': 2.992907984453311e-05, 'epoch': 0.01}
{'loss': 1.3745, 'grad_norm': 1.970975637435913, 'learning_rate': 2.9927531369522913e-05, 'epoch': 0.01}
{'loss': 1.3581, 'grad_norm': 2.4449284076690674, 'learning_rate': 2.9925982894512724e-05, 'epoch': 0.01}
{'loss': 1.2694, 'grad_norm': 2.391282081604004, 'learning_rate': 2.9924434419502527e-05, 'epoch': 0.01}
{'loss': 1.3576, 'grad_norm': 3.136723041534424, 'learning_rate': 2.9922885944492335e-05, 'epoch': 0.01}
{'loss': 1.3065, 'grad_norm': 3.100938558578491, 'learning_rate': 2.992133746948214e-05, 'epoch': 0.01}
{'loss': 1.2749, 'grad_norm': 3.2854232788085938, 'learning_rate': 2.9919788994471945e-05, 'epoch': 0.01}
{'loss': 1.3297, 'grad_norm': 1.2711650133132935, 'learning_rate': 2.991824051946175e-05, 'epoch': 0.01}
{'loss': 1.1486, 'grad_norm': 1.758601188659668, 'learning_rate': 2.9916692044451556e-05, 'epoch': 0.01}
{'loss': 1.2565, 'grad_norm': 3.1819708347320557, 'learning_rate': 2.9915143569441364e-05, 'epoch': 0.01}
{'loss': 1.1778, 'grad_norm': 1.0954262018203735, 'learning_rate': 2.991359509443117e-05, 'epoch': 0.01}
{'loss': 1.2119, 'grad_norm': 1.8710100650787354, 'learning_rate': 2.9912046619420974e-05, 'epoch': 0.01}
{'loss': 1.1229, 'grad_norm': 2.4928297996520996, 'learning_rate': 2.991049814441078e-05, 'epoch': 0.01}
{'loss': 1.1905, 'grad_norm': 2.735212802886963, 'learning_rate': 2.9908949669400585e-05, 'epoch': 0.01}
{'loss': 1.3761, 'grad_norm': 3.066115379333496, 'learning_rate': 2.9907401194390392e-05, 'epoch': 0.01}
{'loss': 1.1788, 'grad_norm': 2.8772833347320557, 'learning_rate': 2.9905852719380196e-05, 'epoch': 0.01}
{'loss': 1.3344, 'grad_norm': 2.1440041065216064, 'learning_rate': 2.9904304244370003e-05, 'epoch': 0.01}
{'loss': 1.3832, 'grad_norm': 5.085113048553467, 'learning_rate': 2.990275576935981e-05, 'epoch': 0.01}
{'loss': 1.2415, 'grad_norm': 2.342639207839966, 'learning_rate': 2.9901207294349614e-05, 'epoch': 0.01}
{'loss': 1.3302, 'grad_norm': 1.9859319925308228, 'learning_rate': 2.989965881933942e-05, 'epoch': 0.01}
{'loss': 1.1293, 'grad_norm': 2.8693759441375732, 'learning_rate': 2.9898110344329225e-05, 'epoch': 0.01}
{'loss': 1.2445, 'grad_norm': 2.0931291580200195, 'learning_rate': 2.9896561869319032e-05, 'epoch': 0.01}
{'loss': 1.2867, 'grad_norm': 2.343360662460327, 'learning_rate': 2.989501339430884e-05, 'epoch': 0.01}
{'loss': 1.2362, 'grad_norm': 1.6369969844818115, 'learning_rate': 2.9893464919298647e-05, 'epoch': 0.01}
{'loss': 1.2978, 'grad_norm': 3.0782437324523926, 'learning_rate': 2.989191644428845e-05, 'epoch': 0.01}
{'loss': 1.2222, 'grad_norm': 1.5003676414489746, 'learning_rate': 2.9890367969278257e-05, 'epoch': 0.01}
{'loss': 1.2745, 'grad_norm': 3.042375326156616, 'learning_rate': 2.988881949426806e-05, 'epoch': 0.01}
