                                                                                                                                                                                                            
{'loss': 2.2561, 'grad_norm': 0.8903734087944031, 'learning_rate': 2.7e-06, 'epoch': 0.0}
{'loss': 2.3311, 'grad_norm': 0.8374077677726746, 'learning_rate': 5.7000000000000005e-06, 'epoch': 0.0}
{'loss': 2.728, 'grad_norm': 0.7136837244033813, 'learning_rate': 8.7e-06, 'epoch': 0.0}
{'loss': 2.4171, 'grad_norm': 0.6985911726951599, 'learning_rate': 1.1700000000000001e-05, 'epoch': 0.0}
{'loss': 2.805, 'grad_norm': 0.8697330355644226, 'learning_rate': 1.47e-05, 'epoch': 0.0}
{'loss': 2.334, 'grad_norm': 0.8520375490188599, 'learning_rate': 1.77e-05, 'epoch': 0.0}
{'loss': 2.5745, 'grad_norm': 0.6905189156532288, 'learning_rate': 2.07e-05, 'epoch': 0.0}
{'loss': 2.5778, 'grad_norm': 0.7559928297996521, 'learning_rate': 2.37e-05, 'epoch': 0.0}
{'loss': 2.2709, 'grad_norm': 0.8383994698524475, 'learning_rate': 2.6700000000000002e-05, 'epoch': 0.0}
{'loss': 2.0901, 'grad_norm': 1.115533471107483, 'learning_rate': 2.97e-05, 'epoch': 0.0}
{'loss': 1.7888, 'grad_norm': 1.7454627752304077, 'learning_rate': 2.9998606372490827e-05, 'epoch': 0.0}
{'loss': 1.8929, 'grad_norm': 1.992876648902893, 'learning_rate': 2.999705789748063e-05, 'epoch': 0.0}
{'loss': 1.5183, 'grad_norm': 1.0806940793991089, 'learning_rate': 2.9995509422470438e-05, 'epoch': 0.0}
{'loss': 1.7439, 'grad_norm': 1.5257259607315063, 'learning_rate': 2.999396094746024e-05, 'epoch': 0.0}
{'loss': 1.6718, 'grad_norm': 1.7298167943954468, 'learning_rate': 2.9992412472450052e-05, 'epoch': 0.0}
{'loss': 1.5014, 'grad_norm': 1.0095951557159424, 'learning_rate': 2.9990863997439856e-05, 'epoch': 0.0}
{'loss': 1.455, 'grad_norm': 1.3655420541763306, 'learning_rate': 2.9989315522429663e-05, 'epoch': 0.0}
{'loss': 1.4605, 'grad_norm': 3.677483320236206, 'learning_rate': 2.9987767047419467e-05, 'epoch': 0.0}
{'loss': 1.5376, 'grad_norm': 1.138513207435608, 'learning_rate': 2.9986218572409274e-05, 'epoch': 0.0}
{'loss': 1.4008, 'grad_norm': 1.3369659185409546, 'learning_rate': 2.9984670097399078e-05, 'epoch': 0.0}
{'loss': 1.4754, 'grad_norm': 0.9818637371063232, 'learning_rate': 2.9983121622388885e-05, 'epoch': 0.0}
{'loss': 1.3025, 'grad_norm': 1.8435468673706055, 'learning_rate': 2.9981573147378692e-05, 'epoch': 0.0}
{'loss': 1.5036, 'grad_norm': 1.2433573007583618, 'learning_rate': 2.99800246723685e-05, 'epoch': 0.0}
{'loss': 1.3703, 'grad_norm': 1.682112693786621, 'learning_rate': 2.9978476197358303e-05, 'epoch': 0.0}
{'loss': 1.4064, 'grad_norm': 1.6452767848968506, 'learning_rate': 2.997692772234811e-05, 'epoch': 0.0}
{'loss': 1.2685, 'grad_norm': 1.3339790105819702, 'learning_rate': 2.9975379247337914e-05, 'epoch': 0.0}
{'loss': 1.3833, 'grad_norm': 1.5309569835662842, 'learning_rate': 2.997383077232772e-05, 'epoch': 0.0}
{'loss': 1.3621, 'grad_norm': 2.786379098892212, 'learning_rate': 2.9972282297317524e-05, 'epoch': 0.0}
{'loss': 1.2491, 'grad_norm': 2.0525243282318115, 'learning_rate': 2.997073382230733e-05, 'epoch': 0.0}
{'loss': 1.3, 'grad_norm': 1.6044657230377197, 'learning_rate': 2.996918534729714e-05, 'epoch': 0.0}
{'loss': 1.5377, 'grad_norm': 2.1155054569244385, 'learning_rate': 2.9967636872286943e-05, 'epoch': 0.0}
{'loss': 1.4487, 'grad_norm': 2.089796781539917, 'learning_rate': 2.996608839727675e-05, 'epoch': 0.0}
{'loss': 1.3421, 'grad_norm': 1.434792160987854, 'learning_rate': 2.9964539922266553e-05, 'epoch': 0.01}
{'loss': 1.3216, 'grad_norm': 2.4385437965393066, 'learning_rate': 2.996299144725636e-05, 'epoch': 0.01}
{'loss': 1.2791, 'grad_norm': 1.5193150043487549, 'learning_rate': 2.9961442972246164e-05, 'epoch': 0.01}
{'loss': 1.372, 'grad_norm': 5.202142238616943, 'learning_rate': 2.9959894497235975e-05, 'epoch': 0.01}
{'loss': 1.3107, 'grad_norm': 1.5402878522872925, 'learning_rate': 2.995834602222578e-05, 'epoch': 0.01}
{'loss': 1.4062, 'grad_norm': 1.6785491704940796, 'learning_rate': 2.9956797547215586e-05, 'epoch': 0.01}
{'loss': 1.3724, 'grad_norm': 2.4734792709350586, 'learning_rate': 2.995524907220539e-05, 'epoch': 0.01}
{'loss': 1.3011, 'grad_norm': 1.6840403079986572, 'learning_rate': 2.9953700597195197e-05, 'epoch': 0.01}
{'loss': 1.2758, 'grad_norm': 2.2523984909057617, 'learning_rate': 2.9952152122185e-05, 'epoch': 0.01}
{'loss': 1.471, 'grad_norm': 2.8004510402679443, 'learning_rate': 2.9950603647174807e-05, 'epoch': 0.01}
{'loss': 1.3313, 'grad_norm': 1.7615174055099487, 'learning_rate': 2.9949055172164615e-05, 'epoch': 0.01}
{'loss': 1.421, 'grad_norm': 1.5374858379364014, 'learning_rate': 2.9947506697154422e-05, 'epoch': 0.01}
{'loss': 1.42, 'grad_norm': 1.2883244752883911, 'learning_rate': 2.9945958222144226e-05, 'epoch': 0.01}
{'loss': 1.3637, 'grad_norm': 1.8142974376678467, 'learning_rate': 2.9944409747134033e-05, 'epoch': 0.01}
{'loss': 1.2813, 'grad_norm': 2.0157647132873535, 'learning_rate': 2.9942861272123836e-05, 'epoch': 0.01}
{'loss': 1.402, 'grad_norm': 3.3335866928100586, 'learning_rate': 2.9941312797113644e-05, 'epoch': 0.01}
{'loss': 1.144, 'grad_norm': 2.8533613681793213, 'learning_rate': 2.9939764322103447e-05, 'epoch': 0.01}
{'loss': 1.2752, 'grad_norm': 1.3429319858551025, 'learning_rate': 2.9938215847093258e-05, 'epoch': 0.01}
{'loss': 1.187, 'grad_norm': 2.240766763687134, 'learning_rate': 2.993666737208306e-05, 'epoch': 0.01}
{'loss': 1.2859, 'grad_norm': 1.0768823623657227, 'learning_rate': 2.993511889707287e-05, 'epoch': 0.01}
{'loss': 1.1953, 'grad_norm': 2.3022971153259277, 'learning_rate': 2.9933570422062672e-05, 'epoch': 0.01}
{'loss': 1.376, 'grad_norm': 3.5798757076263428, 'learning_rate': 2.9932021947052476e-05, 'epoch': 0.01}
{'loss': 1.3091, 'grad_norm': 2.1465041637420654, 'learning_rate': 2.9930473472042283e-05, 'epoch': 0.01}
{'loss': 1.412, 'grad_norm': 3.73159122467041, 'learning_rate': 2.992892499703209e-05, 'epoch': 0.01}
{'loss': 1.3581, 'grad_norm': 3.8139989376068115, 'learning_rate': 2.9927376522021898e-05, 'epoch': 0.01}
{'loss': 1.3575, 'grad_norm': 2.5455613136291504, 'learning_rate': 2.99258280470117e-05, 'epoch': 0.01}
{'loss': 1.3224, 'grad_norm': 4.249660968780518, 'learning_rate': 2.992427957200151e-05, 'epoch': 0.01}
{'loss': 1.1785, 'grad_norm': 1.7621997594833374, 'learning_rate': 2.9922731096991312e-05, 'epoch': 0.01}
{'loss': 1.3831, 'grad_norm': 1.8179877996444702, 'learning_rate': 2.992118262198112e-05, 'epoch': 0.01}
{'loss': 1.1502, 'grad_norm': 3.0362205505371094, 'learning_rate': 2.9919634146970923e-05, 'epoch': 0.01}
{'loss': 1.1941, 'grad_norm': 1.143005132675171, 'learning_rate': 2.9918085671960734e-05, 'epoch': 0.01}
{'loss': 1.3122, 'grad_norm': 3.4973042011260986, 'learning_rate': 2.9916537196950537e-05, 'epoch': 0.01}
{'loss': 1.2504, 'grad_norm': 2.112152576446533, 'learning_rate': 2.9914988721940345e-05, 'epoch': 0.01}
{'loss': 1.1858, 'grad_norm': 3.6883163452148438, 'learning_rate': 2.991344024693015e-05, 'epoch': 0.01}
{'loss': 1.3479, 'grad_norm': 2.423921823501587, 'learning_rate': 2.9911891771919955e-05, 'epoch': 0.01}
{'loss': 1.1597, 'grad_norm': 1.7734237909317017, 'learning_rate': 2.991034329690976e-05, 'epoch': 0.01}
{'loss': 1.5453, 'grad_norm': 2.11332368850708, 'learning_rate': 2.9908794821899566e-05, 'epoch': 0.01}
{'loss': 1.1874, 'grad_norm': 3.4654767513275146, 'learning_rate': 2.9907246346889373e-05, 'epoch': 0.01}
{'loss': 1.2477, 'grad_norm': 4.039347171783447, 'learning_rate': 2.990569787187918e-05, 'epoch': 0.01}
{'loss': 1.1641, 'grad_norm': 1.6618351936340332, 'learning_rate': 2.9904149396868984e-05, 'epoch': 0.01}
{'loss': 1.376, 'grad_norm': 2.286041021347046, 'learning_rate': 2.990260092185879e-05, 'epoch': 0.01}
{'loss': 1.2233, 'grad_norm': 1.566177487373352, 'learning_rate': 2.9901052446848595e-05, 'epoch': 0.01}
{'loss': 1.3079, 'grad_norm': 2.313215732574463, 'learning_rate': 2.9899503971838402e-05, 'epoch': 0.01}
{'loss': 1.128, 'grad_norm': 1.5388263463974, 'learning_rate': 2.9897955496828206e-05, 'epoch': 0.01}
{'loss': 1.2712, 'grad_norm': 2.70001220703125, 'learning_rate': 2.9896407021818017e-05, 'epoch': 0.01}
{'loss': 1.1438, 'grad_norm': 2.723442554473877, 'learning_rate': 2.989485854680782e-05, 'epoch': 0.01}
{'loss': 1.1223, 'grad_norm': 2.7255895137786865, 'learning_rate': 2.9893310071797624e-05, 'epoch': 0.01}
{'loss': 1.3524, 'grad_norm': 3.681668519973755, 'learning_rate': 2.989176159678743e-05, 'epoch': 0.01}
{'loss': 1.4294, 'grad_norm': 2.7300517559051514, 'learning_rate': 2.9890213121777235e-05, 'epoch': 0.01}
{'loss': 1.3617, 'grad_norm': 2.685241222381592, 'learning_rate': 2.9888664646767042e-05, 'epoch': 0.01}
{'loss': 1.2694, 'grad_norm': 4.707027435302734, 'learning_rate': 2.9887116171756846e-05, 'epoch': 0.01}
{'loss': 1.3967, 'grad_norm': 8.041300773620605, 'learning_rate': 2.9885567696746656e-05, 'epoch': 0.01}
{'loss': 1.2374, 'grad_norm': 2.66335391998291, 'learning_rate': 2.988401922173646e-05, 'epoch': 0.01}
{'loss': 1.187, 'grad_norm': 2.417520761489868, 'learning_rate': 2.9882470746726267e-05, 'epoch': 0.01}
{'loss': 1.2228, 'grad_norm': 1.6466290950775146, 'learning_rate': 2.988092227171607e-05, 'epoch': 0.01}
{'loss': 1.2023, 'grad_norm': 1.7324817180633545, 'learning_rate': 2.9879373796705878e-05, 'epoch': 0.01}
{'loss': 1.27, 'grad_norm': 4.12166166305542, 'learning_rate': 2.9877825321695682e-05, 'epoch': 0.01}
{'loss': 1.0925, 'grad_norm': 1.6101104021072388, 'learning_rate': 2.987627684668549e-05, 'epoch': 0.01}
{'loss': 1.2654, 'grad_norm': 1.756758689880371, 'learning_rate': 2.9874728371675296e-05, 'epoch': 0.01}
{'loss': 1.3628, 'grad_norm': 2.3244643211364746, 'learning_rate': 2.9873179896665103e-05, 'epoch': 0.01}
{'loss': 1.3241, 'grad_norm': 2.4054698944091797, 'learning_rate': 2.9871631421654907e-05, 'epoch': 0.01}
{'loss': 1.2565, 'grad_norm': 2.355339288711548, 'learning_rate': 2.9870082946644714e-05, 'epoch': 0.01}
{'loss': 1.2121, 'grad_norm': 1.7803897857666016, 'learning_rate': 2.9868534471634518e-05, 'epoch': 0.01}
{'loss': 1.2656, 'grad_norm': 1.7121895551681519, 'learning_rate': 2.9866985996624325e-05, 'epoch': 0.01}
{'loss': 1.1408, 'grad_norm': 1.9085981845855713, 'learning_rate': 2.986543752161413e-05, 'epoch': 0.02}
{'loss': 1.4072, 'grad_norm': 2.3780505657196045, 'learning_rate': 2.986388904660394e-05, 'epoch': 0.02}
{'loss': 1.4218, 'grad_norm': 2.5629162788391113, 'learning_rate': 2.9862340571593743e-05, 'epoch': 0.02}
{'loss': 1.3967, 'grad_norm': 2.2572367191314697, 'learning_rate': 2.986079209658355e-05, 'epoch': 0.02}
{'loss': 1.2311, 'grad_norm': 1.7653874158859253, 'learning_rate': 2.9859243621573354e-05, 'epoch': 0.02}
{'loss': 1.3127, 'grad_norm': 1.8872917890548706, 'learning_rate': 2.985769514656316e-05, 'epoch': 0.02}
{'loss': 1.3927, 'grad_norm': 2.735900402069092, 'learning_rate': 2.9856146671552965e-05, 'epoch': 0.02}
{'loss': 1.3216, 'grad_norm': 1.5407010316848755, 'learning_rate': 2.9854598196542772e-05, 'epoch': 0.02}
{'loss': 1.2544, 'grad_norm': 3.5382871627807617, 'learning_rate': 2.985304972153258e-05, 'epoch': 0.02}
{'loss': 1.3112, 'grad_norm': 2.059945821762085, 'learning_rate': 2.9851501246522383e-05, 'epoch': 0.02}
{'loss': 1.1635, 'grad_norm': 1.6617357730865479, 'learning_rate': 2.984995277151219e-05, 'epoch': 0.02}
{'loss': 1.3128, 'grad_norm': 2.299898147583008, 'learning_rate': 2.9848404296501994e-05, 'epoch': 0.02}
{'loss': 1.2361, 'grad_norm': 1.4237614870071411, 'learning_rate': 2.98468558214918e-05, 'epoch': 0.02}
