                                                                                                                                                                                                            
{'loss': 2.763, 'grad_norm': 0.5115175247192383, 'learning_rate': 2.4000000000000003e-06, 'epoch': 0.0}
{'loss': 2.8013, 'grad_norm': 0.5536526441574097, 'learning_rate': 5.4e-06, 'epoch': 0.0}
{'loss': 2.3339, 'grad_norm': 0.5471962094306946, 'learning_rate': 8.400000000000001e-06, 'epoch': 0.0}
{'loss': 2.8247, 'grad_norm': 0.6596537828445435, 'learning_rate': 1.1400000000000001e-05, 'epoch': 0.0}
{'loss': 2.9002, 'grad_norm': 0.5303691029548645, 'learning_rate': 1.44e-05, 'epoch': 0.0}
{'loss': 2.4865, 'grad_norm': 1.0266377925872803, 'learning_rate': 1.74e-05, 'epoch': 0.0}
{'loss': 2.7079, 'grad_norm': 0.6757490038871765, 'learning_rate': 2.04e-05, 'epoch': 0.0}
{'loss': 2.3888, 'grad_norm': 0.7484861016273499, 'learning_rate': 2.3400000000000003e-05, 'epoch': 0.0}
{'loss': 2.0901, 'grad_norm': 0.9840059280395508, 'learning_rate': 2.64e-05, 'epoch': 0.0}
{'loss': 2.3623, 'grad_norm': 1.2235761880874634, 'learning_rate': 2.94e-05, 'epoch': 0.0}
{'loss': 1.9406, 'grad_norm': 1.2810251712799072, 'learning_rate': 2.9998761219991846e-05, 'epoch': 0.0}
{'loss': 1.5012, 'grad_norm': 2.263233184814453, 'learning_rate': 2.9997212744981653e-05, 'epoch': 0.0}
{'loss': 1.6185, 'grad_norm': 1.9955108165740967, 'learning_rate': 2.9995664269971457e-05, 'epoch': 0.0}
{'loss': 1.8538, 'grad_norm': 0.9684050679206848, 'learning_rate': 2.9994115794961264e-05, 'epoch': 0.0}
{'loss': 1.7158, 'grad_norm': 1.3912330865859985, 'learning_rate': 2.9992567319951068e-05, 'epoch': 0.0}
{'loss': 1.2625, 'grad_norm': 1.1517486572265625, 'learning_rate': 2.9991018844940875e-05, 'epoch': 0.0}
{'loss': 1.1868, 'grad_norm': 1.0722101926803589, 'learning_rate': 2.9989470369930682e-05, 'epoch': 0.0}
{'loss': 1.4366, 'grad_norm': 1.8850860595703125, 'learning_rate': 2.998792189492049e-05, 'epoch': 0.0}
{'loss': 1.4206, 'grad_norm': 2.1348376274108887, 'learning_rate': 2.9986373419910293e-05, 'epoch': 0.0}
{'loss': 1.5882, 'grad_norm': 2.020841598510742, 'learning_rate': 2.99848249449001e-05, 'epoch': 0.0}
{'loss': 1.5724, 'grad_norm': 2.2651171684265137, 'learning_rate': 2.9983276469889904e-05, 'epoch': 0.0}
{'loss': 1.4756, 'grad_norm': 1.6053963899612427, 'learning_rate': 2.9981727994879707e-05, 'epoch': 0.0}
{'loss': 1.4191, 'grad_norm': 1.6305818557739258, 'learning_rate': 2.9980179519869515e-05, 'epoch': 0.0}
{'loss': 1.3176, 'grad_norm': 1.585888147354126, 'learning_rate': 2.997863104485932e-05, 'epoch': 0.0}
{'loss': 1.5259, 'grad_norm': 1.1234064102172852, 'learning_rate': 2.997708256984913e-05, 'epoch': 0.0}
{'loss': 1.3748, 'grad_norm': 2.306378126144409, 'learning_rate': 2.9975534094838933e-05, 'epoch': 0.0}
{'loss': 1.4657, 'grad_norm': 2.502915620803833, 'learning_rate': 2.997398561982874e-05, 'epoch': 0.0}
{'loss': 1.3056, 'grad_norm': 1.9757884740829468, 'learning_rate': 2.9972437144818543e-05, 'epoch': 0.0}
{'loss': 1.4267, 'grad_norm': 0.9909770488739014, 'learning_rate': 2.997088866980835e-05, 'epoch': 0.0}
{'loss': 1.4022, 'grad_norm': 1.6950268745422363, 'learning_rate': 2.9969340194798154e-05, 'epoch': 0.0}
{'loss': 1.3574, 'grad_norm': 1.5109457969665527, 'learning_rate': 2.9967791719787965e-05, 'epoch': 0.0}
{'loss': 1.2775, 'grad_norm': 1.112306833267212, 'learning_rate': 2.996624324477777e-05, 'epoch': 0.0}
{'loss': 1.1533, 'grad_norm': 1.506690502166748, 'learning_rate': 2.9964694769767576e-05, 'epoch': 0.01}
{'loss': 1.3598, 'grad_norm': 2.7271103858947754, 'learning_rate': 2.996314629475738e-05, 'epoch': 0.01}
{'loss': 1.3104, 'grad_norm': 1.4995626211166382, 'learning_rate': 2.9961597819747187e-05, 'epoch': 0.01}
{'loss': 1.3831, 'grad_norm': 1.6171196699142456, 'learning_rate': 2.996004934473699e-05, 'epoch': 0.01}
{'loss': 1.3294, 'grad_norm': 1.584837555885315, 'learning_rate': 2.99585008697268e-05, 'epoch': 0.01}
{'loss': 1.3247, 'grad_norm': 1.1541929244995117, 'learning_rate': 2.9956952394716605e-05, 'epoch': 0.01}
{'loss': 1.303, 'grad_norm': 1.0468014478683472, 'learning_rate': 2.9955403919706412e-05, 'epoch': 0.01}
{'loss': 1.4775, 'grad_norm': 1.1760997772216797, 'learning_rate': 2.9953855444696216e-05, 'epoch': 0.01}
{'loss': 1.3109, 'grad_norm': 1.0867644548416138, 'learning_rate': 2.9952306969686023e-05, 'epoch': 0.01}
{'loss': 1.283, 'grad_norm': 2.367828845977783, 'learning_rate': 2.9950758494675826e-05, 'epoch': 0.01}
{'loss': 1.4747, 'grad_norm': 3.192671775817871, 'learning_rate': 2.9949210019665634e-05, 'epoch': 0.01}
{'loss': 1.1726, 'grad_norm': 0.8298603892326355, 'learning_rate': 2.994766154465544e-05, 'epoch': 0.01}
{'loss': 1.1805, 'grad_norm': 1.5888168811798096, 'learning_rate': 2.9946113069645248e-05, 'epoch': 0.01}
{'loss': 1.2703, 'grad_norm': 1.1183151006698608, 'learning_rate': 2.994456459463505e-05, 'epoch': 0.01}
{'loss': 1.3902, 'grad_norm': 1.189394235610962, 'learning_rate': 2.9943016119624855e-05, 'epoch': 0.01}
{'loss': 1.5577, 'grad_norm': 2.2616653442382812, 'learning_rate': 2.9941467644614662e-05, 'epoch': 0.01}
{'loss': 1.3149, 'grad_norm': 1.7387137413024902, 'learning_rate': 2.9939919169604466e-05, 'epoch': 0.01}
{'loss': 1.4751, 'grad_norm': 3.225752592086792, 'learning_rate': 2.9938370694594273e-05, 'epoch': 0.01}
{'loss': 1.5027, 'grad_norm': 2.7189037799835205, 'learning_rate': 2.993682221958408e-05, 'epoch': 0.01}
