100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 225/225 [01:54<00:00,  1.97it/s]
{'loss': 4.1637, 'grad_norm': 2.0053765773773193, 'learning_rate': 2.6999999999999996e-05, 'epoch': 0.13}
{'loss': 3.8803, 'grad_norm': 2.641481876373291, 'learning_rate': 5.6999999999999996e-05, 'epoch': 0.27}
{'loss': 3.0547, 'grad_norm': 3.159710168838501, 'learning_rate': 8.699999999999999e-05, 'epoch': 0.4}
{'loss': 1.7247, 'grad_norm': 3.803952932357788, 'learning_rate': 0.000117, 'epoch': 0.53}
{'loss': 0.7817, 'grad_norm': 0.09845580905675888, 'learning_rate': 0.000147, 'epoch': 0.67}
{'loss': 0.7423, 'grad_norm': 0.03230796009302139, 'learning_rate': 0.00017699999999999997, 'epoch': 0.8}
{'loss': 0.7398, 'grad_norm': 0.0348711833357811, 'learning_rate': 0.00020699999999999996, 'epoch': 0.93}
{'loss': 0.7356, 'grad_norm': 0.04770904406905174, 'learning_rate': 0.000237, 'epoch': 1.07}
{'loss': 0.7262, 'grad_norm': 0.07788236439228058, 'learning_rate': 0.000267, 'epoch': 1.2}
{'loss': 0.7001, 'grad_norm': 0.16066701710224152, 'learning_rate': 0.00029699999999999996, 'epoch': 1.33}
{'loss': 0.6092, 'grad_norm': 0.20876958966255188, 'learning_rate': 0.0002784, 'epoch': 1.47}
{'loss': 0.5042, 'grad_norm': 0.02717800997197628, 'learning_rate': 0.00025439999999999995, 'epoch': 1.6}
{'loss': 0.4886, 'grad_norm': 0.00478879502043128, 'learning_rate': 0.0002304, 'epoch': 1.73}
{'loss': 0.4884, 'grad_norm': 0.0034260847605764866, 'learning_rate': 0.00020639999999999998, 'epoch': 1.87}
{'loss': 0.4884, 'grad_norm': 0.00289854034781456, 'learning_rate': 0.0001824, 'epoch': 2.0}
{'loss': 0.4883, 'grad_norm': 0.00253296853043139, 'learning_rate': 0.0001584, 'epoch': 2.13}
{'loss': 0.4883, 'grad_norm': 0.0023127722088247538, 'learning_rate': 0.0001344, 'epoch': 2.27}
{'loss': 0.4883, 'grad_norm': 0.0020954222418367863, 'learning_rate': 0.00011039999999999999, 'epoch': 2.4}
{'loss': 0.4883, 'grad_norm': 0.001920494600199163, 'learning_rate': 8.639999999999999e-05, 'epoch': 2.53}
{'loss': 0.4883, 'grad_norm': 0.0017918548546731472, 'learning_rate': 6.239999999999999e-05, 'epoch': 2.67}
{'loss': 0.4883, 'grad_norm': 0.001893045729957521, 'learning_rate': 3.84e-05, 'epoch': 2.8}
{'loss': 0.4883, 'grad_norm': 0.001801288453862071, 'learning_rate': 1.44e-05, 'epoch': 2.93}
{'train_runtime': 117.4583, 'train_samples_per_second': 30.624, 'train_steps_per_second': 1.916, 'train_loss': 1.044002921846178, 'epoch': 3.0}

 If there's a warning about missing keys above, please disregard :)
