                                                                                                                                                          
{'loss': 2.7684, 'grad_norm': 0.6301401853561401, 'learning_rate': 2.6999999999999996e-05, 'epoch': 0.0}
{'loss': 2.5636, 'grad_norm': 0.8666848540306091, 'learning_rate': 5.6999999999999996e-05, 'epoch': 0.0}
{'loss': 2.3778, 'grad_norm': 0.6717386841773987, 'learning_rate': 8.699999999999999e-05, 'epoch': 0.0}
{'loss': 2.0339, 'grad_norm': 1.114404320716858, 'learning_rate': 0.000117, 'epoch': 0.0}
{'loss': 1.5482, 'grad_norm': 0.6937846541404724, 'learning_rate': 0.000147, 'epoch': 0.0}
{'loss': 1.4429, 'grad_norm': 0.9048432111740112, 'learning_rate': 0.00017699999999999997, 'epoch': 0.0}
{'loss': 1.4133, 'grad_norm': 0.6477141976356506, 'learning_rate': 0.00020699999999999996, 'epoch': 0.0}
{'loss': 1.2968, 'grad_norm': 0.5115437507629395, 'learning_rate': 0.000237, 'epoch': 0.0}
{'loss': 1.254, 'grad_norm': 0.5443816781044006, 'learning_rate': 0.000267, 'epoch': 0.01}
{'loss': 1.3044, 'grad_norm': 0.5772690773010254, 'learning_rate': 0.00029699999999999996, 'epoch': 0.01}
{'loss': 1.2002, 'grad_norm': 0.5492121577262878, 'learning_rate': 0.00029994696731615333, 'epoch': 0.01}
{'loss': 1.2537, 'grad_norm': 0.4956986606121063, 'learning_rate': 0.0002998880421118793, 'epoch': 0.01}
{'loss': 1.2343, 'grad_norm': 0.5730493068695068, 'learning_rate': 0.0002998291169076052, 'epoch': 0.01}
{'loss': 1.1764, 'grad_norm': 0.7993683218955994, 'learning_rate': 0.0002997701917033312, 'epoch': 0.01}
{'loss': 1.2651, 'grad_norm': 0.6307101845741272, 'learning_rate': 0.0002997112664990572, 'epoch': 0.01}
{'loss': 1.1848, 'grad_norm': 0.6157280802726746, 'learning_rate': 0.00029965234129478315, 'epoch': 0.01}
{'loss': 1.2376, 'grad_norm': 0.46344056725502014, 'learning_rate': 0.00029959341609050907, 'epoch': 0.01}
